Date,KBE,AMAT,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,56.85921096801758,15.489999771118164,13.696000051498412,3.103485106214442
2020-01-31,37.1184196472168,54.72639083862305,18.84000015258789,14.014500045776368,3.0745340718383876
2020-02-03,37.53000259399414,56.359031677246094,17.969999313354492,14.211999988555908,3.042157210093154
2020-02-04,38.075992584228516,59.46387481689453,16.049999237060547,14.32199993133545,2.9061876664053754
2020-02-05,38.94956588745117,60.209407806396484,15.149999618530273,14.389999914169312,3.106876091489541
2020-02-06,38.57156753540039,59.63374328613281,14.960000038146973,14.465499925613404,3.0451059813968313
2020-02-07,38.260772705078125,58.23703384399414,15.470000267028809,14.611999940872192,3.085786854516984
2020-02-10,38.243980407714844,59.37894058227539,15.039999961853027,14.735999917984008,2.9673948469712994
2020-02-11,38.56317138671875,60.822837829589844,15.180000305175781,14.878999948501587,2.924678328392685
2020-02-12,38.56317138671875,61.69107437133789,13.739999771118164,14.946499919891357,2.8386728047630565
2020-02-13,38.731178283691406,63.57850646972656,14.149999618530273,15.032999897003174,2.7045078872044415
2020-02-14,38.48757553100586,63.0877685546875,13.680000305175781,15.100999927520752,2.6765618522867185
2020-02-18,37.99198913574219,61.68665313720703,14.829999923706055,15.237499904632568,2.659604443973657
2020-02-19,38.218780517578125,63.81672668457031,14.380000114440918,15.313999891281128,2.5198783099226256
2020-02-20,38.621971130371094,62.860565185546875,15.5600004196167,15.446499919891357,2.74130480796832
2020-02-21,38.10118865966797,60.84409713745117,17.079999923706055,15.651499938964843,2.7773844130343543
2020-02-24,36.91682815551758,57.82414245605469,25.030000686645508,16.174999952316284,2.7043234243380385
2020-02-25,35.42167663574219,55.722476959228516,27.850000381469727,16.655999994277956,2.4426260448223687
2020-02-26,34.86729049682617,56.62183380126953,27.559999465942383,17.219999933242796,2.179310037172976
2020-02-27,33.48133850097656,53.96161651611328,39.15999984741211,18.35849995613098,2.007259819882303
2020-02-28,32.5489616394043,55.02192306518555,40.11000061035156,19.589499998092652,1.6092087812766338
2020-03-02,33.99372482299805,56.95317840576172,33.41999816894531,20.318499898910524,1.8719509812973616
2020-03-03,32.67496109008789,54.94618606567383,36.81999969482422,21.26099991798401,1.6563091547635609
2020-03-04,33.34694290161133,57.29398727416992,31.989999771118164,22.05799994468689,1.6349260932528598
2020-03-05,31.742582321166992,55.978084564208984,39.619998931884766,23.281499910354615,1.2610715531664467
2020-03-06,30.47422218322754,54.70951461791992,41.939998626708984,24.630499839782715,0.9881237099839484
2020-03-09,25.988771438598633,49.294403076171875,54.459999084472656,26.57999978065491,0.11488280503557832
2020-03-10,27.685516357421875,53.175872802734375,47.29999923706055,28.192999744415282,0.2636319184900397
2020-03-11,25.795578002929688,49.69203567504883,53.900001525878906,30.12899980545044,0.014779034336290981
2020-03-12,23.510854721069336,42.70541763305664,75.47000122070312,33.21549987792969,-0.011166055446557405
2020-03-13,26.23236656188965,48.17732238769531,57.83000183105469,35.39949998855591,0.30209327133324193
2020-03-16,22.847274780273438,38.369544982910156,82.69000244140625,38.850000095367434,0.20979127928283117
2020-03-17,24.132434844970703,42.46875,75.91000366210938,41.9040002822876,0.2076226329247361
2020-03-18,21.45291519165039,37.091514587402344,76.44999694824219,45.007500123977664,-0.10181747321106029
2020-03-19,22.83887481689453,38.04767990112305,72.0,47.829500102996825,0.23903462792151212
2020-03-20,21.32692527770996,35.96494674682617,66.04000091552734,50.27750015258789,-0.029817285299084242
2020-03-23,19.553340911865234,38.02873992919922,61.59000015258789,52.10550012588501,-0.7916389786478041
2020-03-24,21.852739334106445,42.733821868896484,61.66999816894531,53.796500015258786,-0.5350781683424449
2020-03-25,22.275421142578125,42.34566116333008,63.95000076293945,55.61600008010864,-0.36379100039192014
2020-03-26,24.23667335510254,46.57740783691406,61.0,56.708000087738036,-0.16661240815003314
2020-03-27,23.340585708618164,42.64860534667969,65.54000091552734,57.97950010299682,-0.059049062970399
2020-03-30,23.40821647644043,44.7786750793457,57.08000183105469,59.16250028610229,-0.24879446832506633
2020-03-31,22.791091918945312,43.377567291259766,53.540000915527344,59.99850034713745,-0.3039486162022411
2020-04-01,21.269432067871094,40.99190139770508,57.060001373291016,61.252000427246095,-0.5458443805086407
2020-04-02,21.624488830566406,40.93509292602539,50.90999984741211,61.81650047302246,-0.42863283246415057
2020-04-03,20.66922950744629,40.02627182006836,46.79999923706055,62.059500503540036,-0.6388179008443269
2020-04-06,22.283876419067383,43.689979553222656,45.2400016784668,61.598500633239745,-0.494298849055235
2020-04-07,23.112335205078125,45.024810791015625,46.70000076293945,61.568500709533694,-0.3661631672052359
2020-04-08,24.219768524169922,48.7169303894043,43.349998474121094,61.041000556945804,-0.38386131988324684
2020-04-09,26.028852462768555,46.94661331176758,41.66999816894531,59.35100040435791,0.36004580749987364
2020-04-13,24.710079193115234,47.22114944458008,41.16999816894531,58.51800022125244,-0.08160200215884217
2020-04-14,24.355024337768555,49.673091888427734,37.7599983215332,56.27150001525879,-0.436069437385501
2020-04-15,22.78264617919922,47.68503189086914,40.84000015258789,54.51799983978272,-0.7332904511970936
2020-04-16,21.99644660949707,49.44588851928711,40.11000061035156,52.70100002288818,-1.154797015750809
2020-04-17,23.8055362701416,50.36418533325195,38.150001525878906,51.00850009918213,-0.6772160254714235
2020-04-20,23.644914627075195,47.931182861328125,43.83000183105469,49.898000144958495,-0.4866871810040411
2020-04-21,22.84181785583496,45.75377655029297,45.40999984741211,49.089000129699706,-0.5233887464261255
2020-04-22,22.89253807067871,49.33229064941406,41.97999954223633,48.104500198364256,-0.8619282391981796
2020-04-23,23.18842124938965,48.186790466308594,41.380001068115234,46.976000213623045,-0.6554699558287723
2020-04-24,23.780176162719727,48.98200988769531,35.93000030517578,45.722500228881835,-0.5482708505919768
2020-04-27,25.242664337158203,48.30984878540039,33.290000915527344,44.11000022888184,-0.022069719430955998
2020-04-28,25.91895294189453,47.732364654541016,33.56999969482422,42.93450012207031,0.24767278857178532
2020-04-29,27.449068069458008,51.44342041015625,31.229999542236328,41.81900005340576,0.360935720837015
2020-04-30,26.46844482421875,47.03181838989258,34.150001525878906,40.673500061035156,0.4897569501939873
2020-05-01,25.23421287536621,44.39052963256836,37.189998626708984,39.9875,0.36351300710312145
2020-05-04,24.96368980407715,45.043758392333984,35.970001220703125,39.44600009918213,0.21378796334576772
2020-05-05,24.57482147216797,46.24605178833008,33.61000061035156,38.86450004577637,-0.027518711709458212
2020-05-06,23.949251174926758,47.808101654052734,34.119998931884766,38.235499954223634,-0.3788507268915672
2020-05-07,24.346572875976562,48.51811981201172,31.440000534057617,37.64000005722046,-0.3243166020957205
2020-05-08,25.386371612548828,50.9416618347168,27.979999542236328,36.95550012588501,-0.23760798858867535
2020-05-11,24.481830596923828,51.13100814819336,27.56999969482422,36.275500202178954,-0.5406356868824982
2020-05-12,23.256053924560547,49.54055404663086,33.040000915527344,36.03950033187866,-0.7683156519892035
2020-05-13,22.030261993408203,48.745338439941406,35.279998779296875,35.76150026321411,-1.0747749167650353
2020-05-14,22.81646156311035,51.52861022949219,32.61000061035156,35.38650026321411,-1.103399307585334
2020-05-15,22.537487030029297,49.26601791381836,31.889999389648438,35.07350015640259,-0.9669458464205124
2020-05-18,24.62554359436035,51.462345123291016,29.299999237060547,34.34700002670288,-0.5282922657680114
2020-05-19,23.695640563964844,52.5131721496582,30.530000686645508,33.60300006866455,-0.9246268298608415
2020-05-20,24.811519622802734,54.062435150146484,27.989999771118164,32.90350008010864,-0.7274042594048848
2020-05-21,24.71853256225586,52.2945671081543,29.530000686645508,32.31100006103516,-0.5815064849434791
2020-05-22,24.431106567382812,51.69577407836914,28.15999984741211,31.92250003814697,-0.6125212248658128
2020-05-26,26.409263610839844,52.408626556396484,28.010000228881836,31.658500003814698,-0.06145632458516262
2020-05-27,28.269081115722656,53.60620880126953,27.6200008392334,31.361000061035156,0.4044016075129935
2020-05-28,27.203916549682617,51.961910247802734,28.59000015258789,31.229000091552734,0.23253116239534777
2020-05-29,26.586801528930664,53.3971061706543,27.510000228881836,30.89700002670288,-0.10357773903974356
2020-06-01,26.950300216674805,52.93138885498047,28.229999542236328,30.449000072479247,0.05679243939507923
2020-06-02,26.992568969726562,53.02642059326172,26.84000015258789,29.992500019073486,0.060662678575607
2020-06-03,28.353609085083008,54.94637680053711,25.65999984741211,29.594999980926513,0.29821236838031295
2020-06-04,29.32577896118164,55.250511169433594,25.809999465942383,29.179500007629393,0.5736108255511296
2020-06-05,30.991159439086914,57.20846939086914,24.520000457763672,28.8335000038147,0.9030416332720181
2020-06-08,31.99713897705078,56.93284225463867,25.809999465942383,28.725,1.2464953515870867
2020-06-09,31.210948944091797,56.82829666137695,27.56999969482422,28.725,1.0097742566099672
2020-06-10,29.283525466918945,56.89482498168945,27.56999969482422,28.451499938964844,0.3974497945069305
2020-06-11,26.612154006958008,52.66524887084961,40.790000915527344,28.727000045776368,-0.023114068840065546
2020-06-12,27.635051727294922,53.748783111572266,36.09000015258789,28.901000022888184,0.19102113885638636
2020-06-15,27.905563354492188,54.224021911621094,34.400001525878906,29.026500129699706,0.22895917369157534
