Date,KO,AVGO,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,117.89543151855469,13.3100004196167,13.347500038146972,-1.0053358027807786
2024-01-31,55.6896858215332,115.14751434326172,14.350000381469727,13.405000066757202,-1.0638290024500037
2024-02-01,57.084495544433594,117.10012817382812,13.880000114440918,13.397000074386597,-0.7569977459154266
2024-02-02,56.672603607177734,119.47431182861328,13.850000381469727,13.383000087738036,-0.882226535379939
2024-02-05,56.20454788208008,121.30496215820312,13.670000076293945,13.399000072479248,-1.0143556891958003
2024-02-06,56.110931396484375,119.30941772460938,13.0600004196167,13.39800009727478,-1.0130742155244412
2024-02-07,56.157737731933594,122.66722869873047,12.829999923706055,13.40150008201599,-1.0414047787446337
2024-02-08,56.00796127319336,124.3944320678711,12.789999961853027,13.406500101089478,-1.0970773100089097
2024-02-09,55.755210876464844,125.241455078125,12.930000305175781,13.431000137329102,-1.1667666327483617
2024-02-12,55.886268615722656,123.4420166015625,13.930000305175781,13.492500162124633,-1.114671801763205
2024-02-13,55.558624267578125,122.1393051147461,15.850000381469727,13.593000173568726,-1.1768444942400789
2024-02-14,55.5024528503418,123.1707534790039,14.380000114440918,13.57250018119812,-1.2022252822155821
2024-02-15,55.60543441772461,123.4488754272461,14.010000228881836,13.566500186920166,-1.1811429804916043
2024-02-16,55.596065521240234,121.5372085571289,14.239999771118164,13.613500165939332,-1.1609290273756374
2024-02-20,56.822383880615234,119.68997955322266,15.420000076293945,13.725000190734864,-0.8493480191433831
2024-02-21,57.327884674072266,119.77780151367188,15.34000015258789,13.864500188827515,-0.7308753064260498
2024-02-22,57.24363708496094,127.3355712890625,14.539999961853027,13.934500169754028,-0.8394641280695927
2024-02-23,57.290443420410156,126.5031967163086,13.75,13.949500179290771,-0.8186329474133208
2024-02-26,56.83173751831055,127.74832153320312,13.739999771118164,13.973500156402588,-0.941682020201952
2024-02-27,56.48537826538086,126.48951721191406,13.430000305175781,13.96500015258789,-1.008794161224367
2024-02-28,56.54155349731445,125.82500457763672,13.84000015258789,13.99150013923645,-0.987717579208992
2024-02-29,56.18582534790039,126.90523529052734,13.399999618530273,13.944000101089477,-1.0844875248160235
2024-03-01,55.72712326049805,136.5347137451172,13.109999656677246,13.905500078201294,-1.3059059091121055
2024-03-04,55.98923873901367,136.83621215820312,13.489999771118164,13.887500047683716,-1.2474777659649225
2024-03-05,55.7177619934082,131.02908325195312,14.460000038146973,13.927000045776367,-1.2435236379815857
2024-03-06,55.74584197998047,131.73655700683594,14.5,13.999000024795532,-1.2451858809293819
2024-03-07,55.64287185668945,137.29974365234375,14.4399995803833,14.079500007629395,-1.3347991766779383
2024-03-08,55.7177619934082,127.70834350585938,14.739999771118164,14.17699999809265,-1.2045627482902912
2024-03-11,56.39176559448242,126.18605041503906,15.220000267028809,14.291499996185303,-1.0273642448870182
2024-03-12,56.635154724121094,126.06504821777344,13.84000015258789,14.286999988555909,-0.9684060828718661
2024-03-13,57.21555709838867,122.74626159667969,13.75,14.181999969482423,-0.792257881880186
2024-03-14,57.08816909790039,123.17562866210938,14.399999618530273,14.18299994468689,-0.8274106759996618
2024-03-15,56.50312805175781,120.56334686279297,14.40999984741211,14.202999925613403,-0.9350686688087434
2024-03-18,56.739036560058594,120.7331314086914,14.329999923706055,14.207499933242797,-0.8812906483645968
2024-03-19,56.83338928222656,120.80827331542969,13.819999694824219,14.127499914169311,-0.8598667694915157
2024-03-20,57.32406997680664,125.04571533203125,13.039999961853027,14.012499904632568,-0.7935834129006739
2024-03-21,57.05985641479492,132.10157775878906,12.920000076293945,13.931499910354614,-0.9388284784685487
2024-03-22,57.078731536865234,132.63763427734375,13.0600004196167,13.896999931335449,-0.9406556318726006
2024-03-25,56.99380874633789,132.4524383544922,13.1899995803833,13.869499921798706,-0.9585590054157542
2024-03-26,57.125911712646484,130.48362731933594,13.239999771118164,13.859999895095825,-0.90422989777694
2024-03-27,57.58827590942383,129.23316955566406,12.779999732971191,13.80699987411499,-0.7802534152571255
2024-03-28,57.72981643676758,129.88780212402344,13.010000228881836,13.787499904632568,-0.7544730151709248
2024-04-01,57.25801467895508,132.3230743408203,13.649999618530273,13.81449990272522,-0.8945815340101199
2024-04-02,56.757904052734375,131.1961212158203,14.609999656677246,13.870499897003175,-0.9995882787666548
2024-04-03,56.45594787597656,133.59213256835938,14.329999923706055,13.863999891281129,-1.0990837617812224
2024-04-04,55.95583724975586,129.11264038085938,16.350000381469727,13.956499910354614,-1.1647565283922348
2024-04-05,56.15399169921875,131.26171875,16.030000686645508,14.035999965667724,-1.1431260193708983
2024-04-08,55.92753601074219,130.93540954589844,15.1899995803833,14.058499956130982,-1.1928329024409008
2024-04-09,56.35215377807617,130.73745727539062,14.979999542236328,14.046499919891357,-1.0901284969402731
