Date,KO,KRE,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,49.64396667480469,13.3100004196167,13.347500038146972,-1.3306151810113247
2024-01-31,55.6896858215332,46.738121032714844,14.350000381469727,13.405000066757202,-1.0399752238959832
2024-02-01,57.084495544433594,45.28049087524414,13.880000114440918,13.397000074386597,-0.5237920300250812
2024-02-02,56.672603607177734,45.48737335205078,13.850000381469727,13.383000087738036,-0.6469722106766199
2024-02-05,56.20454788208008,44.735050201416016,13.670000076293945,13.399000072479248,-0.6577563250870168
2024-02-06,56.110931396484375,44.170814514160156,13.0600004196167,13.39800009727478,-0.6057770202244673
2024-02-07,56.157737731933594,44.057960510253906,12.829999923706055,13.40150008201599,-0.5800894127861314
2024-02-08,56.00796127319336,44.23664855957031,12.789999961853027,13.406500101089478,-0.6384179837667716
2024-02-09,55.755210876464844,45.01717758178711,12.930000305175781,13.431000137329102,-0.7995189962459861
2024-02-12,55.886268615722656,45.98579788208008,13.930000305175781,13.492500162124633,-0.8956709268670452
2024-02-13,55.558624267578125,44.039154052734375,15.850000381469727,13.593000173568726,-0.7174274270128144
2024-02-14,55.5024528503418,44.8573112487793,14.380000114440918,13.57250018119812,-0.8375814406863118
2024-02-15,55.60543441772461,46.28672409057617,14.010000228881836,13.566500186920166,-1.0005743512911807
2024-02-16,55.596065521240234,45.80710983276367,14.239999771118164,13.613500165939332,-0.9400082832965092
2024-02-20,56.822383880615234,45.44976806640625,15.420000076293945,13.725000190734864,-0.6071018713428665
2024-02-21,57.327884674072266,45.148834228515625,15.34000015258789,13.864500188827515,-0.44977318440550473
2024-02-22,57.24363708496094,45.1112174987793,14.539999961853027,13.934500169754028,-0.4645099934641601
2024-02-23,57.290443420410156,45.01717758178711,13.75,13.949500179290771,-0.44128400155168507
2024-02-26,56.83173751831055,44.593990325927734,13.739999771118164,13.973500156402588,-0.4929502024039162
2024-02-27,56.48537826538086,45.148834228515625,13.430000305175781,13.96500015258789,-0.6463657332267148
2024-02-28,56.54155349731445,44.65981674194336,13.84000015258789,13.99150013923645,-0.5692751260163897
2024-02-29,56.18582534790039,45.27109146118164,13.399999618530273,13.944000101089477,-0.7322601677799531
2024-03-01,55.72712326049805,44.77267837524414,13.109999656677246,13.905500078201294,-0.774083009285874
2024-03-04,55.98923873901367,44.763267517089844,13.489999771118164,13.887500047683716,-0.7116890222527175
2024-03-05,55.7177619934082,46.56884002685547,14.460000038146973,13.927000045776367,-1.0112753094546052
2024-03-06,55.74584197998047,46.512420654296875,14.5,13.999000024795532,-0.9973412033713217
2024-03-07,55.64287185668945,46.57825469970703,14.4399995803833,14.079500007629395,-1.029982166913626
2024-03-08,55.7177619934082,46.615867614746094,14.739999771118164,14.17699999809265,-1.0174283500472283
2024-03-11,56.39176559448242,46.380760192871094,15.220000267028809,14.291499996185303,-0.8293934569676551
2024-03-12,56.635154724121094,45.919960021972656,13.84000015258789,14.286999988555909,-0.7123098156429073
2024-03-13,57.21555709838867,45.966983795166016,13.75,14.181999969482423,-0.5830298180695652
2024-03-14,57.08816909790039,44.77267837524414,14.399999618530273,14.18299994468689,-0.4564931755740781
2024-03-15,56.50312805175781,45.00777053833008,14.40999984741211,14.202999925613403,-0.6237673275362743
2024-03-18,56.739036560058594,44.72245407104492,14.329999923706055,14.207499933242797,-0.5313893379816922
2024-03-19,56.83338928222656,44.874122619628906,13.819999694824219,14.127499914169311,-0.5292169930726873
2024-03-20,57.32406997680664,46.27702331542969,13.039999961853027,14.012499904632568,-0.5982743998464177
2024-03-21,57.05985641479492,46.959529876708984,12.920000076293945,13.931499910354614,-0.7492250992911446
2024-03-22,57.078731536865234,45.94526290893555,13.0600004196167,13.896999931335449,-0.6121150980774103
2024-03-25,56.99380874633789,46.01161193847656,13.1899995803833,13.869499921798706,-0.6406122319223546
2024-03-26,57.125911712646484,45.72724151611328,13.239999771118164,13.859999895095825,-0.5725802662307892
2024-03-27,57.58827590942383,47.41452407836914,12.779999732971191,13.80699987411499,-0.6854533423527466
2024-03-28,57.72981643676758,47.66097640991211,13.010000228881836,13.787499904632568,-0.6846714885631817
2024-04-01,57.25801467895508,46.72254943847656,13.649999618530273,13.81449990272522,-0.6719800816230571
2024-04-02,56.757904052734375,45.85994338989258,14.609999656677246,13.870499897003175,-0.6758146672474126
2024-04-03,56.45594787597656,45.76515579223633,14.329999923706055,13.863999891281129,-0.733871964901361
2024-04-04,55.95583724975586,45.67036437988281,16.350000381469727,13.956499910354614,-0.8381666173980465
2024-04-05,56.15399169921875,45.69880294799805,16.030000686645508,14.035999965667724,-0.79564963606094
2024-04-08,55.92753601074219,46.4760856628418,15.1899995803833,14.058499956130982,-0.9501902321950422
2024-04-09,56.35215377807617,46.779415130615234,14.979999542236328,14.046499919891357,-0.890796173723549
2024-04-10,55.59726333618164,44.4570426940918,15.800000190734863,14.144499921798706,-0.7630874046354241
2024-04-11,55.719932556152344,44.49494934082031,14.90999984741211,14.202499914169312,-0.739423128745022
2024-04-12,54.99336624145508,44.096832275390625,17.309999465942383,14.347999906539917,-0.856872704608496
2024-04-15,54.86125183105469,43.926204681396484,19.229999542236328,14.588999891281128,-0.8653758743817566
2024-04-16,54.7857666015625,43.366939544677734,18.399999618530273,14.792499876022339,-0.8098161186056955
2024-04-17,55.21038818359375,43.442771911621094,18.209999084472656,15.01199984550476,-0.7206556864030966
2024-04-18,55.587833404541016,43.708187103271484,18.0,15.259999847412109,-0.6673083232994903
2024-04-19,56.776771545410156,44.855159759521484,18.709999084472656,15.549499797821046,-0.5399472362788764
