Date,PEP,NEE,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,55.481868743896484,13.3100004196167,13.347500038146972,0.9789153881859802
2024-01-31,155.63519287109375,54.873512268066406,14.350000381469727,13.405000066757202,0.902126424350985
2024-02-01,158.56263732910156,55.921749114990234,13.880000114440918,13.397000074386597,1.1392722596399907
2024-02-02,157.8885040283203,54.42426300048828,13.850000381469727,13.383000087738036,1.1087490159938558
2024-02-05,157.84231567382812,52.383941650390625,13.670000076293945,13.399000072479248,1.1438152664058554
2024-02-06,158.30404663085938,52.62727355957031,13.0600004196167,13.39800009727478,1.1797233770769713
2024-02-07,158.3502197265625,52.767669677734375,12.829999923706055,13.40150008201599,1.181088576194465
2024-02-08,160.5481414794922,52.68343734741211,12.789999961853027,13.406500101089478,1.3758443393593913
2024-02-09,154.84100341796875,52.95486068725586,12.930000305175781,13.431000137329102,0.8691295769428713
2024-02-12,157.55606079101562,53.862709045410156,13.930000305175781,13.492500162124633,1.0903041518242016
2024-02-13,155.9584197998047,51.71006774902344,15.850000381469727,13.593000173568726,0.9911916390666595
2024-02-14,154.7024688720703,52.4213752746582,14.380000114440918,13.57250018119812,0.8671860367286479
2024-02-15,155.01644897460938,53.60064697265625,14.010000228881836,13.566500186920166,0.872163170146332
2024-02-16,153.5942840576172,53.37601852416992,14.239999771118164,13.613500165939332,0.7514990744244302
2024-02-20,155.74600219726562,52.98293685913086,15.420000076293945,13.725000190734864,0.9481172000531675
2024-02-21,155.9122314453125,53.44154357910156,15.34000015258789,13.864500188827515,0.9539302558844146
2024-02-22,155.3765869140625,53.039085388183594,14.539999961853027,13.934500169754028,0.9145784426805804
2024-02-23,156.62332153320312,53.14204025268555,13.75,13.949500179290771,1.0221599494039584
2024-02-26,155.38583374023438,52.088932037353516,13.739999771118164,13.973500156402588,0.9336110524854554
2024-02-27,155.29348754882812,52.476173400878906,13.430000305175781,13.96500015258789,0.9180705037755664
2024-02-28,154.2499542236328,51.98503494262695,13.84000015258789,13.99150013923645,0.8357889131012887
2024-02-29,153.8544921875,52.126708984375,13.399999618530273,13.944000101089477,0.7983212898318858
2024-03-01,153.1565704345703,52.14559555053711,13.109999656677246,13.905500078201294,0.7366298337292725
2024-03-04,153.88238525390625,51.91891860961914,13.489999771118164,13.887500047683716,0.8047569386554633
2024-03-05,150.7837371826172,52.32505416870117,14.460000038146973,13.927000045776367,0.5246778187129919
2024-03-06,151.6770477294922,52.447837829589844,14.5,13.999000024795532,0.6008222461531842
2024-03-07,151.77938842773438,53.127872467041016,14.4399995803833,14.079500007629395,0.5967750679707912
2024-03-08,151.7235565185547,54.601287841796875,14.739999771118164,14.17699999809265,0.5636148089075091
2024-03-11,153.286865234375,54.657955169677734,15.220000267028809,14.291499996185303,0.6999026045497928
2024-03-12,153.1100311279297,53.97792053222656,13.84000015258789,14.286999988555909,0.6974037369248515
2024-03-13,153.81729125976562,56.23527145385742,13.75,14.181999969482423,0.7162668758784884
2024-03-14,153.33338928222656,56.23527145385742,14.399999618530273,14.18299994468689,0.673744395196801
2024-03-15,153.2217254638672,56.745296478271484,14.40999984741211,14.202999925613403,0.6541518380941107
2024-03-18,159.36325073242188,56.830291748046875,14.329999923706055,14.207499933242797,1.1922033619694812
2024-03-19,159.86572265625,57.86924362182617,13.819999694824219,14.127499914169311,1.2164348161544507
2024-03-20,159.9215545654297,58.747623443603516,13.039999961853027,14.012499904632568,1.2044972682206911
2024-03-21,160.4705810546875,57.954246520996094,12.920000076293945,13.931499910354614,1.2679562332136662
2024-03-22,160.07044982910156,58.35093307495117,13.0600004196167,13.896999931335449,1.2251882125055766
2024-03-25,160.6101837158203,59.13486862182617,13.1899995803833,13.869499921798706,1.2575841999268869
2024-03-26,160.7311248779297,58.020362854003906,13.239999771118164,13.859999895095825,1.2895834626179832
2024-03-27,161.5127716064453,60.24937438964844,12.779999732971191,13.80699987411499,1.315526694848325
2024-03-28,162.85272216796875,60.36271667480469,13.010000228881836,13.787499904632568,1.4311002861603508
2024-04-01,160.96376037597656,59.862125396728516,13.649999618530273,13.81449990272522,1.2747086439812894
2024-04-02,159.53073120117188,59.3898811340332,14.609999656677246,13.870499897003175,1.157838118643215
2024-04-03,157.89297485351562,59.07819747924805,14.329999923706055,13.863999891281129,1.0198984692328688
2024-04-04,157.86509704589844,60.19270324707031,16.350000381469727,13.956499910354614,0.9960770708143953
2024-04-05,157.39051818847656,60.61772155761719,16.030000686645508,14.035999965667724,0.9462237397169664
2024-04-08,157.7999267578125,61.25998306274414,15.1899995803833,14.058499956130982,0.969884227419328
2024-04-09,158.75839233398438,61.75111389160156,14.979999542236328,14.046499919891357,1.044690707250398
2024-04-10,157.21371459960938,60.45716857910156,15.800000190734863,14.144499921798706,0.9337660215921978
2024-04-11,156.66468811035156,60.39104461669922,14.90999984741211,14.202499914169312,0.8867887660112923
2024-04-12,156.42274475097656,59.57877731323242,17.309999465942383,14.347999906539917,0.8811041587216286
2024-04-15,155.35263061523438,59.267093658447266,19.229999542236328,14.588999891281128,0.793045592899699
2024-04-16,155.8644256591797,58.27537536621094,18.399999618530273,14.792499876022339,0.8570362515870309
2024-04-17,157.70689392089844,60.24937438964844,18.209999084472656,15.01199984550476,0.9810883832225614
2024-04-18,160.30308532714844,60.45716857910156,18.0,15.259999847412109,1.2052418848412705
2024-04-19,162.03387451171875,60.73106384277344,18.709999084472656,15.549499797821046,1.3520813435077823
2024-04-22,164.2020263671875,61.68501281738281,16.940000534057617,15.743499803543092,1.5243130332806039
2024-04-23,159.32603454589844,62.525604248046875,15.6899995803833,15.868499803543092,1.0797202354535798
