Date,PG,CL,VIX,AvgVIX,zscore
2024-01-30,148.4744873046875,79.9580078125,13.3100004196167,13.347500038146972,0.007641431275910494
2024-01-31,148.14451599121094,79.92949676513672,14.350000381469727,13.405000066757202,-0.05632839605873251
2024-02-01,150.06771850585938,81.75214385986328,13.880000114440918,13.397000074386597,-0.0033289248662050604
2024-02-02,149.04013061523438,80.3282241821289,13.850000381469727,13.383000087738036,0.05525309505648319
2024-02-05,149.1532745361328,79.8250961303711,13.670000076293945,13.399000072479248,0.17622233744456567
2024-02-06,149.86033630371094,79.49285125732422,13.0600004196167,13.39800009727478,0.38924484670414994
2024-02-07,150.0111541748047,79.60675811767578,12.829999923706055,13.40150008201599,0.39900547965909283
2024-02-08,149.55862426757812,79.98648071289062,12.789999961853027,13.406500101089478,0.23040694718714752
2024-02-09,148.40847778320312,79.22705078125,12.930000305175781,13.431000137329102,0.13488079848724216
2024-02-12,148.11622619628906,79.32198333740234,13.930000305175781,13.492500162124633,0.0550175664182326
2024-02-13,147.32432556152344,79.23654174804688,15.850000381469727,13.593000173568726,-0.0952182210233616
2024-02-14,146.720947265625,79.46436309814453,14.380000114440918,13.57250018119812,-0.2662476284720571
2024-02-15,148.02195739746094,79.33148193359375,14.010000228881836,13.566500186920166,0.03333538179011165
2024-02-16,148.49330139160156,79.24604034423828,14.239999771118164,13.613500165939332,0.14907364955902433
2024-02-20,149.4360809326172,80.31871795654297,15.420000076293945,13.725000190734864,0.14045529469869622
2024-02-21,151.21788024902344,80.98321533203125,15.34000015258789,13.864500188827515,0.38730504303353236
2024-02-22,151.36874389648438,81.63822174072266,14.539999961853027,13.934500169754028,0.29259657205285655
2024-02-23,151.8118438720703,81.87554168701172,13.75,13.949500179290771,0.3400673779991506
2024-02-26,151.04820251464844,81.78063201904297,13.739999771118164,13.973500156402588,0.19760968772710222
2024-02-27,150.1808624267578,82.02743530273438,13.430000305175781,13.96500015258789,-0.032661581368827304
2024-02-28,150.88792419433594,82.40715026855469,13.84000015258789,13.99150013923645,0.042891457439392065
2024-02-29,149.8414764404297,82.13184356689453,13.399999618530273,13.944000101089477,-0.12427850928974214
2024-03-01,149.75662231445312,82.10337829589844,13.109999656677246,13.905500078201294,-0.1366481593235494
2024-03-04,150.42599487304688,82.42613983154297,13.489999771118164,13.887500047683716,-0.05803361131178049
2024-03-05,150.19970703125,82.3311996459961,14.460000038146973,13.927000045776367,-0.08734652023903273
2024-03-06,150.43540954589844,82.75838470458984,14.5,13.999000024795532,-0.12020319789647271
2024-03-07,151.42530822753906,83.66969299316406,14.4399995803833,14.079500007629395,-0.08774254042471898
2024-03-08,151.17076110839844,83.60324096679688,14.739999771118164,14.17699999809265,-0.1285060576108581
2024-03-11,152.30206298828125,83.66019439697266,15.220000267028809,14.291499996185303,0.09869076182008074
2024-03-12,152.66029357910156,84.25824737548828,13.84000015258789,14.286999988555909,0.058639965268357824
2024-03-13,153.00914001464844,84.67593383789062,13.75,14.181999969482423,0.05143959779220343
2024-03-14,152.2549285888672,83.86903381347656,14.399999618530273,14.18299994468689,0.048442726908566575
2024-03-15,152.1417999267578,83.96395874023438,14.40999984741211,14.202999925613403,0.006295001815642169
2024-03-18,151.98153686523438,83.79309844970703,14.329999923706055,14.207499933242797,0.005542609187052136
2024-03-19,152.56602478027344,84.26773834228516,13.819999694824219,14.127499914169311,0.03695925376943772
2024-03-20,152.71688842773438,83.86903381347656,13.039999961853027,14.012499904632568,0.14570760251249473
2024-03-21,152.59432983398438,84.26773834228516,12.920000076293945,13.931499910354614,0.0429188357428576
2024-03-22,152.40576171875,84.67593383789062,13.0600004196167,13.896999931335449,-0.07560069869024517
2024-03-25,151.0198974609375,84.14432525634766,13.1899995803833,13.869499921798706,-0.2647459434374733
2024-03-26,151.3592987060547,84.39115142822266,13.239999771118164,13.859999895095825,-0.24094425166875033
2024-03-27,153.3013916015625,85.38787841796875,12.779999732971191,13.80699987411499,-0.024493840936126752
2024-03-28,152.9619598388672,85.48283386230469,13.010000228881836,13.787499904632568,-0.11429519991931437
2024-04-01,151.38758850097656,84.54302978515625,13.649999618530273,13.81449990272522,-0.26431346534241656
2024-04-02,151.378173828125,84.54302978515625,14.609999656677246,13.870499897003175,-0.26629570905001765
2024-04-03,147.211181640625,83.63172149658203,14.329999923706055,13.863999891281129,-0.9676881190897717
2024-04-04,146.55125427246094,82.96722412109375,16.350000381469727,13.956499910354614,-0.978329594954662
2024-04-05,147.1640625,83.4228744506836,16.030000686645508,14.035999965667724,-0.9372835371136498
2024-04-08,147.1074676513672,83.27099609375,15.1899995803833,14.058499956130982,-0.9198739054134034
2024-04-09,147.69198608398438,83.20454406738281,14.979999542236328,14.046499919891357,-0.7839735664613292
2024-04-10,148.23878479003906,82.1698226928711,15.800000190734863,14.144499921798706,-0.46905580734922897
2024-04-11,146.9188995361328,81.63822174072266,14.90999984741211,14.202499914169312,-0.6443107557091765
2024-04-12,146.43814086914062,81.49584197998047,17.309999465942383,14.347999906539917,-0.7180421562194405
2024-04-15,146.55125427246094,81.79961395263672,19.229999542236328,14.588999891281128,-0.7528804294415995
2024-04-16,147.02264404296875,81.79961395263672,18.399999618530273,14.792499876022339,-0.6536300974174161
2024-04-17,147.97482299804688,82.3501968383789,18.209999084472656,15.01199984550476,-0.5594602440401645
2024-04-18,149.243408203125,82.31221771240234,18.0,15.259999847412109,-0.2850285022556081
2024-04-19,150.04995727539062,83.19062805175781,18.709999084472656,15.549499797821046,-0.28481966693636324
2024-04-22,152.32717895507812,84.33637237548828,16.940000534057617,15.743499803543092,-0.026581607666353403
2024-04-23,153.238037109375,84.57505798339844,15.6899995803833,15.868499803543092,0.1191112145660899
2024-04-24,154.28176879882812,84.85195922851562,15.970000267028809,16.004999828338622,0.2854014344405114
2024-04-25,154.2343292236328,85.25296020507812,15.369999885559082,16.13449983596802,0.19798544017873598
2024-04-26,153.03880310058594,86.89520263671875,15.029999732971191,16.235499811172485,-0.3708246022908269
2024-04-29,153.38986206054688,86.3987045288086,14.670000076293945,16.28649983406067,-0.20104289347209733
2024-04-30,154.85107421875,87.76405334472656,15.649999618530273,16.33849983215332,-0.157016832340453
2024-05-01,155.0408477783203,87.74495697021484,15.390000343322754,16.391499853134157,-0.11337308267966306
2024-05-02,155.45834350585938,88.70929718017578,14.680000305175781,16.307999849319458,-0.21167063605421815
2024-05-03,156.046630859375,88.68064880371094,13.489999771118164,16.18099980354309,-0.0822761122501364
2024-05-06,156.0276641845703,88.96708679199219,13.489999771118164,16.095999813079835,-0.1415766766697864
2024-05-07,157.28012084960938,89.82638549804688,13.229999542236328,16.008499813079833,-0.043792550819050736
2024-05-08,156.62539672851562,89.24397277832031,13.0,15.868499803543092,-0.06918788870467545
2024-05-09,157.5457763671875,89.82638549804688,12.6899995803833,15.75749979019165,0.012140776489434464
2024-05-10,158.31436157226562,90.80026245117188,12.550000190734863,15.519499826431275,-0.014076882922998243
2024-05-13,157.38450622558594,90.189208984375,13.600000381469727,15.237999868392944,-0.0918705156679483
2024-05-14,157.28012084960938,90.29423522949219,13.420000076293945,14.988999891281129,-0.13412777946753082
2024-05-15,157.9917449951172,90.25605010986328,12.449999809265137,14.700999927520751,0.02307651221678776
2024-05-16,159.27267456054688,90.25605010986328,12.420000076293945,14.42199993133545,0.29277410139343374
2024-05-17,159.06394958496094,89.87413024902344,11.989999771118164,14.085999965667725,0.32257077949467483
2024-05-20,158.75082397460938,90.12237548828125,12.149999618530273,13.846499919891357,0.20871002529124927
2024-05-21,159.7376251220703,90.86711883544922,11.859999656677246,13.654999923706054,0.27267985873381195
2024-05-22,159.22525024414062,90.47566223144531,12.289999961853027,13.470999908447265,0.24038496651463545
2024-05-23,157.02395629882812,89.49222564697266,12.770000457763672,13.340999937057495,-0.03320598513580215
2024-05-24,156.8721160888672,89.08165740966797,11.930000305175781,13.185999965667724,0.014099285876628485
2024-05-28,154.7656707763672,87.78314971923828,12.920000076293945,13.098499965667724,-0.17868562744696456
2024-05-29,153.38037109375,87.16254425048828,14.279999732971191,13.02999997138977,-0.35052794973726853
2024-05-30,154.26280212402344,86.8188247680664,14.470000267028809,12.983999967575073,-0.09836614763068587
2024-05-31,156.12252807617188,88.75703430175781,12.920000076293945,12.895999956130982,-0.08104504903373988
2024-06-03,156.22689819335938,88.2891845703125,13.109999656677246,12.876999950408935,0.03126513416902159
2024-06-04,158.46615600585938,89.56859588623047,13.15999984741211,12.860499954223632,0.25570074081551974
2024-06-05,157.55528259277344,89.42538452148438,12.630000114440918,12.830499982833862,0.09156996709303102
2024-06-06,159.85147094726562,89.73091125488281,12.579999923706055,12.809499979019165,0.5160356735825014
2024-06-07,158.51364135742188,89.64498138427734,12.220000267028809,12.78600001335144,0.2509497330699174
2024-06-10,158.7887725830078,89.65453338623047,12.739999771118164,12.795499992370605,0.30703379718136153
2024-06-11,158.912109375,89.7118148803711,12.850000381469727,12.757999992370605,0.3219418995499803
2024-06-12,156.72979736328125,89.01483154296875,12.039999961853027,12.68899998664856,-0.0029625464076699893
2024-06-13,157.8968505859375,90.47566223144531,11.9399995803833,12.663499975204468,-0.03930737172902362
2024-06-14,158.25741577148438,90.34198760986328,12.65999984741211,12.675499963760377,0.06241972495739884
2024-06-17,158.9311065673828,91.6118392944336,12.75,12.713499975204467,-0.04092636853852119
2024-06-18,159.9368896484375,92.62391662597656,12.300000190734863,12.721000003814698,-0.02457836763426403
2024-06-20,159.09242248535156,92.56664276123047,13.279999732971191,12.792000007629394,-0.1913207431664838
2024-06-21,159.65220642089844,92.87216186523438,13.199999809265137,12.8375,-0.13245062545038253
2024-06-24,159.83248901367188,94.51438903808594,13.329999923706055,12.86549997329712,-0.4115834852014941
2024-06-25,158.31436157226562,94.23751068115234,12.84000015258789,12.910999965667724,-0.6777613608805572
2024-06-26,158.88363647460938,93.78876495361328,12.550000190734863,12.892499971389771,-0.471254964042134
2024-06-27,158.0961456298828,93.73147583007812,12.239999771118164,12.79049997329712,-0.625998124265422
2024-06-28,156.48309326171875,92.65257263183594,12.4399995803833,12.688999938964844,-0.7573025247381192
2024-07-01,154.39564514160156,91.22037506103516,12.220000267028809,12.653999948501587,-0.9202739678796965
2024-07-02,155.5152587890625,91.774169921875,12.029999732971191,12.599999952316285,-0.7914712059407658
2024-07-03,155.44886779785156,91.55455780029297,12.09000015258789,12.546499967575073,-0.7630456947491583
2024-07-05,156.75827026367188,92.66212463378906,12.479999542236328,12.538999938964844,-0.7012088224887097
2024-07-08,158.001220703125,93.16815185546875,12.369999885559082,12.528499937057495,-0.5372144422609256
2024-07-09,157.18524169921875,92.65257263183594,12.510000228881836,12.542999935150146,-0.6094663392454567
2024-07-10,158.2669219970703,92.98673248291016,12.850000381469727,12.548499965667725,-0.44624193762736364
2024-07-11,157.07138061523438,93.34000396728516,12.920000076293945,12.551999950408936,-0.7661729611520463
2024-07-12,158.08663940429688,93.635986328125,12.460000038146973,12.572999954223633,-0.609561959213164
2024-07-15,156.16046142578125,92.85306549072266,13.119999885559082,12.631999969482422,-0.8639444832779809
2024-07-16,158.40924072265625,92.99629211425781,13.1899995803833,12.658499956130981,-0.4181227975867029
2024-07-17,160.77186584472656,94.89630889892578,14.479999542236328,12.744999933242799,-0.28754263057214907
2024-07-18,159.82301330566406,94.05611419677734,15.930000305175781,12.926499938964843,-0.325092128254084
2024-07-19,160.3260498046875,94.12328338623047,16.520000457763672,13.088499975204467,-0.2321480596399266
2024-07-22,160.60289001464844,93.9985122680664,14.90999984741211,13.173999977111816,-0.14976825906020932
2024-07-23,159.04698181152344,92.6550064086914,14.720000267028809,13.243499994277954,-0.21794998381582614
2024-07-24,160.3642578125,92.70298767089844,18.040000915527344,13.503500032424927,0.050135777379955206
2024-07-25,159.31422424316406,92.597412109375,18.459999084472656,13.798999977111816,-0.15056188207945884
2024-07-26,161.4237823486328,95.38043212890625,16.389999389648438,14.00649995803833,-0.24376010836362327
2024-07-29,162.20652770996094,96.81031799316406,16.600000381469727,14.214499998092652,-0.35504530256699474
