Date,KO,GOOGL,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,150.2184600830078,13.3100004196167,13.347500038146972,-1.4112167562222255
2024-01-31,55.6896858215332,138.95155334472656,14.350000381469727,13.405000066757202,-1.3303218341575078
2024-02-01,57.084495544433594,140.0028839111328,13.880000114440918,13.397000074386597,-1.0311399180030636
2024-02-02,56.672603607177734,141.21286010742188,13.850000381469727,13.383000087738036,-1.1420958110988466
2024-02-05,56.20454788208008,142.50221252441406,13.670000076293945,13.399000072479248,-1.2669082689622175
2024-02-06,56.110931396484375,142.9187774658203,13.0600004196167,13.39800009727478,-1.2942314992874446
2024-02-07,56.157737731933594,144.3469696044922,12.829999923706055,13.40150008201599,-1.304902080776745
2024-02-08,56.00796127319336,144.71395874023438,12.789999961853027,13.406500101089478,-1.3441637040124945
2024-02-09,55.755210876464844,147.7786102294922,12.930000305175781,13.431000137329102,-1.4467768465420088
2024-02-12,55.886268615722656,146.32066345214844,13.930000305175781,13.492500162124633,-1.395519305672651
2024-02-13,55.558624267578125,143.95025634765625,15.850000381469727,13.593000173568726,-1.4342256311888644
2024-02-14,55.5024528503418,144.74368286132812,14.380000114440918,13.57250018119812,-1.4587007064008062
2024-02-15,55.60543441772461,141.5996856689453,14.010000228881836,13.566500186920166,-1.388711178277788
2024-02-16,55.596065521240234,139.3681182861328,14.239999771118164,13.613500165939332,-1.3576459254734976
2024-02-20,56.822383880615234,139.9632110595703,15.420000076293945,13.725000190734864,-1.0897095824193772
2024-02-21,57.327884674072266,141.38150024414062,15.34000015258789,13.864500188827515,-0.99670394930631
2024-02-22,57.24363708496094,142.9088592529297,14.539999961853027,13.934500169754028,-1.0384283216275725
2024-02-23,57.290443420410156,142.7799072265625,13.75,13.949500179290771,-1.025946654081854
2024-02-26,56.83173751831055,136.44232177734375,13.739999771118164,13.973500156402588,-1.035248427640316
2024-02-27,56.48537826538086,137.74156188964844,13.430000305175781,13.96500015258789,-1.132740572388922
2024-02-28,56.54155349731445,135.26206970214844,13.84000015258789,13.99150013923645,-1.0831955300325862
2024-02-29,56.18582534790039,137.32504272460938,13.399999618530273,13.944000101089477,-1.1941577578016012
2024-03-01,55.72712326049805,136.0158233642578,13.109999656677246,13.905500078201294,-1.2782224504627007
2024-03-04,55.98923873901367,132.2568817138672,13.489999771118164,13.887500047683716,-1.163172588773325
2024-03-05,55.7177619934082,131.58248901367188,14.460000038146973,13.927000045776367,-1.2144187141749727
2024-03-06,55.74584197998047,130.32290649414062,14.5,13.999000024795532,-1.1893529789794954
2024-03-07,55.64287185668945,133.2784423828125,14.4399995803833,14.079500007629395,-1.2565378052674039
2024-03-08,55.7177619934082,134.3000030517578,14.739999771118164,14.17699999809265,-1.2548238116466965
2024-03-11,56.39176559448242,136.54148864746094,15.220000267028809,14.291499996185303,-1.13602611156569
2024-03-12,56.635154724121094,137.3647003173828,13.84000015258789,14.286999988555909,-1.0933321617752887
2024-03-13,57.21555709838867,138.6441192626953,13.75,14.181999969482423,-0.9813561961371352
2024-03-14,57.08816909790039,141.92697143554688,14.399999618530273,14.18299994468689,-1.058918895162781
