Date,KRE,AMAT,VIX,AvgVIX,zscore
2024-01-30,49.64396667480469,163.11367797851562,13.3100004196167,13.347500038146972,-0.7051966637909833
2024-01-31,46.738121032714844,161.21017456054688,14.350000381469727,13.405000066757202,-1.1299830403876294
2024-02-01,45.28049087524414,163.8299560546875,13.880000114440918,13.397000074386597,-1.3752753797513055
2024-02-02,45.48737335205078,165.0172119140625,13.850000381469727,13.383000087738036,-1.3545098276456644
2024-02-05,44.735050201416016,167.87246704101562,13.670000076293945,13.399000072479248,-1.4946565908587401
2024-02-06,44.170814514160156,165.5274200439453,13.0600004196167,13.39800009727478,-1.5593377198596785
2024-02-07,44.057960510253906,167.68605041503906,12.829999923706055,13.40150008201599,-1.5959527583260322
2024-02-08,44.23664855957031,170.6198272705078,12.789999961853027,13.406500101089478,-1.5952131600205357
2024-02-09,45.01717758178711,182.34506225585938,12.930000305175781,13.431000137329102,-1.5821620607484204
2024-02-12,45.98579788208008,182.0507049560547,13.930000305175781,13.492500162124633,-1.4321958473252885
2024-02-13,44.039154052734375,176.9190673828125,15.850000381469727,13.593000173568726,-1.6820120501181721
2024-02-14,44.8573112487793,182.68850708007812,14.380000114440918,13.57250018119812,-1.609570313641726
2024-02-15,46.28672409057617,184.13087463378906,14.010000228881836,13.566500186920166,-1.405173627195645
2024-02-16,45.80710983276367,195.81687927246094,14.239999771118164,13.613500165939332,-1.583419381873425
2024-02-20,45.44976806640625,185.58302307128906,15.420000076293945,13.725000190734864,-1.545548428475635
2024-02-21,45.148834228515625,187.06712341308594,15.34000015258789,13.864500188827515,-1.6046895904049978
2024-02-22,45.1112174987793,196.30599975585938,14.539999961853027,13.934500169754028,-1.6936624634472177
2024-02-23,45.01717758178711,193.7800750732422,13.75,13.949500179290771,-1.6852034242850307
2024-02-26,44.593990325927734,200.0605010986328,13.739999771118164,13.973500156402588,-1.80615752479848
2024-02-27,45.148834228515625,199.38233947753906,13.430000305175781,13.96500015258789,-1.7156625010431206
2024-02-28,44.65981674194336,194.15350341796875,13.84000015258789,13.99150013923645,-1.7429180422656259
2024-02-29,45.27109146118164,198.16360473632812,13.399999618530273,13.944000101089477,-1.686086799145928
2024-03-01,44.77267837524414,206.6456298828125,13.109999656677246,13.905500078201294,-1.8383204065771734
2024-03-04,44.763267517089844,205.89866638183594,13.489999771118164,13.887500047683716,-1.8330207495593713
2024-03-05,46.56884002685547,203.83468627929688,14.460000038146973,13.927000045776367,-1.5398195406582806
2024-03-06,46.512420654296875,208.53271484375,14.5,13.999000024795532,-1.590734272356359
2024-03-07,46.57825469970703,208.96517944335938,14.4399995803833,14.079500007629395,-1.5846187808101952
2024-03-08,46.615867614746094,202.03602600097656,14.739999771118164,14.17699999809265,-1.516459494513929
2024-03-11,46.380760192871094,197.91786193847656,15.220000267028809,14.291499996185303,-1.5151071378033787
2024-03-12,45.919960021972656,201.42666625976562,13.84000015258789,14.286999988555909,-1.61680644695362
2024-03-13,45.966983795166016,197.12176513671875,13.75,14.181999969482423,-1.5708631432346447
2024-03-14,44.77267837524414,197.30850219726562,14.399999618530273,14.18299994468689,-1.7541831709134206
2024-03-15,45.00777053833008,195.24449157714844,14.40999984741211,14.202999925613403,-1.6998300218741873
2024-03-18,44.72245407104492,197.28884887695312,14.329999923706055,14.207499933242797,-1.7616444959188027
2024-03-19,44.874122619628906,197.88839721679688,13.819999694824219,14.127499914169311,-1.7439803622150942
2024-03-20,46.27702331542969,201.5446014404297,13.039999961853027,14.012499904632568,-1.5635647782863453
2024-03-21,46.959529876708984,207.18621826171875,12.920000076293945,13.931499910354614,-1.51060180966864
2024-03-22,45.94526290893555,206.6456298828125,13.0600004196167,13.896999931335449,-1.6599865204235675
2024-03-25,46.01161193847656,204.88633728027344,13.1899995803833,13.869499921798706,-1.6340426940157284
2024-03-26,45.72724151611328,203.12701416015625,13.239999771118164,13.859999895095825,-1.6614381694284732
2024-03-27,47.41452407836914,204.43423461914062,12.779999732971191,13.80699987411499,-1.4166052499022088
2024-03-28,47.66097640991211,202.694580078125,13.010000228881836,13.787499904632568,-1.3634471621591
2024-04-01,46.72254943847656,205.1123809814453,13.649999618530273,13.81449990272522,-1.5279558242507087
2024-04-02,45.85994338989258,202.57659912109375,14.609999656677246,13.870499897003175,-1.6362962380065045
2024-04-03,45.76515579223633,203.82485961914062,14.329999923706055,13.863999891281129,-1.6619602462214191
2024-04-04,45.67036437988281,199.90325927734375,16.350000381469727,13.956499910354614,-1.641039009227467
2024-04-05,45.69880294799805,204.28680419921875,16.030000686645508,14.035999965667724,-1.6762141972278963
2024-04-08,46.4760856628418,205.45639038085938,15.1899995803833,14.058499956130982,-1.5685394375968877
2024-04-09,46.779415130615234,206.8029022216797,14.979999542236328,14.046499919891357,-1.5345406945010995
2024-04-10,44.4570426940918,205.66278076171875,15.800000190734863,14.144499921798706,-1.8774677339782175
2024-04-11,44.49494934082031,209.32884216308594,14.90999984741211,14.202499914169312,-1.9047376851456184
2024-04-12,44.096832275390625,204.29661560058594,17.309999465942383,14.347999906539917,-1.919940185959389
2024-04-15,43.926204681396484,202.1539764404297,19.229999542236328,14.588999891281128,-1.9265828743260096
2024-04-16,43.366939544677734,205.8888397216797,18.399999618530273,14.792499876022339,-2.045294369064758
2024-04-17,43.442771911621094,196.46324157714844,18.209999084472656,15.01199984550476,-1.9488268685581869
2024-04-18,43.708187103271484,190.9887237548828,18.0,15.259999847412109,-1.8591297878595543
2024-04-19,44.855159759521484,186.51673889160156,18.709999084472656,15.549499797821046,-1.6443938772649749
2024-04-22,45.67036437988281,186.2120819091797,16.940000534057617,15.743499803543092,-1.5176672555646602
2024-04-23,46.191715240478516,189.92726135253906,15.6899995803833,15.868499803543092,-1.4718546343886205
2024-04-24,46.457130432128906,192.69891357421875,15.970000267028809,16.004999828338622,-1.4564641258690074
2024-04-25,45.94526290893555,194.11422729492188,15.369999885559082,16.13449983596802,-1.5470655442686867
2024-04-26,45.67984390258789,199.8934326171875,15.029999732971191,16.235499811172485,-1.6395087565302435
2024-04-29,45.28171920776367,201.74119567871094,14.670000076293945,16.28649983406067,-1.7167082827635947
2024-04-30,44.5707893371582,195.24449157714844,15.649999618530273,16.33849983215332,-1.7662888174168205
2024-05-01,45.71775817871094,190.66439819335938,15.390000343322754,16.391499853134157,-1.550579316728978
2024-05-02,46.466609954833984,194.51718139648438,14.680000305175781,16.307999849319458,-1.4714069065781092
2024-05-03,47.06379699707031,200.5912628173828,13.489999771118164,16.18099980354309,-1.4353168125237912
2024-05-06,47.4334831237793,205.2794647216797,13.489999771118164,16.095999813079835,-1.421338244052893
2024-05-07,47.28181838989258,203.76588439941406,13.229999542236328,16.008499813079833,-1.4307654183883225
2024-05-08,47.556705474853516,203.80519104003906,13.0,15.868499803543092,-1.3893130892573908
2024-05-09,47.784210205078125,202.79286193847656,12.6899995803833,15.75749979019165,-1.3455906285420995
2024-05-10,47.72732925415039,206.1345672607422,12.550000190734863,15.519499826431275,-1.384353676267603
2024-05-13,47.679935455322266,203.0876922607422,13.600000381469727,15.237999868392944,-1.3641061034257096
2024-05-14,48.23920440673828,206.22303771972656,13.420000076293945,14.988999891281129,-1.3073017576786141
2024-05-15,48.409828186035156,213.76153564453125,12.449999809265137,14.700999927520751,-1.3492819512979977
2024-05-16,48.201290130615234,210.36085510253906,12.420000076293945,14.42199993133545,-1.350354034564103
2024-05-17,48.52357482910156,208.44427490234375,11.989999771118164,14.085999965667725,-1.2840686085873905
2024-05-20,47.82211685180664,216.1793670654297,12.149999618530273,13.846499919891357,-1.4604518917317024
2024-05-21,47.88847351074219,216.0319366455078,11.859999656677246,13.654999923706054,-1.4490314603953665
2024-05-22,47.31024932861328,214.8011016845703,12.289999961853027,13.470999908447265,-1.5258802557265099
2024-05-23,46.17275619506836,214.60415649414062,12.770000457763672,13.340999937057495,-1.6971025442829812
2024-05-24,46.37181854248047,217.49905395507812,11.930000305175781,13.185999965667724,-1.6929139532947262
2024-05-28,45.98317337036133,217.92245483398438,12.920000076293945,13.098499965667724,-1.7558367899590224
2024-05-29,44.874122619628906,215.68728637695312,14.279999732971191,13.02999997138977,-1.904366873169547
