Date,KO,CL,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,79.9580078125,13.3100004196167,13.347500038146972,-1.560159951779973
2024-01-31,55.6896858215332,79.92949676513672,14.350000381469727,13.405000066757202,-1.6236400428626623
2024-02-01,57.084495544433594,81.75214385986328,13.880000114440918,13.397000074386597,-1.4173226949527373
2024-02-02,56.672603607177734,80.3282241821289,13.850000381469727,13.383000087738036,-1.465687735338325
2024-02-05,56.20454788208008,79.8250961303711,13.670000076293945,13.399000072479248,-1.5364603096759417
2024-02-06,56.110931396484375,79.49285125732422,13.0600004196167,13.39800009727478,-1.547330795309226
2024-02-07,56.157737731933594,79.60675811767578,12.829999923706055,13.40150008201599,-1.541155327526237
2024-02-08,56.00796127319336,79.98648071289062,12.789999961853027,13.406500101089478,-1.5714710833864236
2024-02-09,55.755210876464844,79.22705078125,12.930000305175781,13.431000137329102,-1.6027709870238507
2024-02-12,55.886268615722656,79.32198333740234,13.930000305175781,13.492500162124633,-1.5823027241710723
2024-02-13,55.558624267578125,79.23654174804688,15.850000381469727,13.593000173568726,-1.635627543967885
2024-02-14,55.5024528503418,79.46436309814453,14.380000114440918,13.57250018119812,-1.6482083627709143
2024-02-15,55.60543441772461,79.33148193359375,14.010000228881836,13.566500186920166,-1.6291824481638746
2024-02-16,55.596065521240234,79.24604034423828,14.239999771118164,13.613500165939332,-1.6295301390621466
2024-02-20,56.822383880615234,80.31871795654297,15.420000076293945,13.725000190734864,-1.4406219029902563
2024-02-21,57.327884674072266,80.98321533203125,15.34000015258789,13.864500188827515,-1.3659051809453435
2024-02-22,57.24363708496094,81.63822174072266,14.539999961853027,13.934500169754028,-1.3892178059193239
2024-02-23,57.290443420410156,81.87554168701172,13.75,13.949500179290771,-1.3847926324963749
2024-02-26,56.83173751831055,81.78063201904297,13.739999771118164,13.973500156402588,-1.459798441933191
2024-02-27,56.48537826538086,82.02743530273438,13.430000305175781,13.96500015258789,-1.5209503995436995
2024-02-28,56.54155349731445,82.40715026855469,13.84000015258789,13.99150013923645,-1.516985271832129
2024-02-29,56.18582534790039,82.13184356689453,13.399999618530273,13.944000101089477,-1.572291912323047
2024-03-01,55.72712326049805,82.10337829589844,13.109999656677246,13.905500078201294,-1.6482394281454118
2024-03-04,55.98923873901367,82.42613983154297,13.489999771118164,13.887500047683716,-1.6091876933311469
2024-03-05,55.7177619934082,82.3311996459961,14.460000038146973,13.927000045776367,-1.653028670987634
2024-03-06,55.74584197998047,82.75838470458984,14.5,13.999000024795532,-1.6544132528313868
2024-03-07,55.64287185668945,83.66969299316406,14.4399995803833,14.079500007629395,-1.684477231254454
2024-03-08,55.7177619934082,83.60324096679688,14.739999771118164,14.17699999809265,-1.6710692761035617
2024-03-11,56.39176559448242,83.66019439697266,15.220000267028809,14.291499996185303,-1.5596887321972652
2024-03-12,56.635154724121094,84.25824737548828,13.84000015258789,14.286999988555909,-1.5276583034625961
2024-03-13,57.21555709838867,84.67593383789062,13.75,14.181999969482423,-1.4369737986247122
2024-03-14,57.08816909790039,83.86903381347656,14.399999618530273,14.18299994468689,-1.4467338204430509
2024-03-15,56.50312805175781,83.96395874023438,14.40999984741211,14.202999925613403,-1.5454604971369832
2024-03-18,56.739036560058594,83.79309844970703,14.329999923706055,14.207499933242797,-1.5037701827062686
