Date,ASML,ADI,VIX,AvgVIX,zscore
2024-01-30,849.9865112304688,187.79685974121094,13.3100004196167,13.347500038146972,0.9825496602465585
2024-01-31,851.7391967773438,185.50172424316406,14.350000381469727,13.405000066757202,1.0691083728025599
2024-02-01,872.0285034179688,185.16419982910156,13.880000114440918,13.397000074386597,1.235669761086185
2024-02-02,872.1461181640625,185.2509765625,13.850000381469727,13.383000087738036,1.2338091831713214
2024-02-05,881.4020385742188,185.69459533691406,13.670000076293945,13.399000072479248,1.29076081961881
2024-02-06,887.6309204101562,182.94619750976562,13.0600004196167,13.39800009727478,1.4261306006016314
2024-02-07,904.6401977539062,185.12564086914062,12.829999923706055,13.40150008201599,1.4873388110633208
2024-02-08,905.336669921875,187.14109802246094,12.789999961853027,13.406500101089478,1.4284959890837143
2024-02-09,931.4880981445312,188.06687927246094,12.930000305175781,13.431000137329102,1.5998397477072843
2024-02-12,911.4871215820312,187.1314697265625,13.930000305175781,13.492500162124633,1.476034937201835
2024-02-13,886.0909423828125,178.10519409179688,15.850000381469727,13.593000173568726,1.568488061377525
2024-02-14,906.80810546875,179.67706298828125,14.380000114440918,13.57250018119812,1.6775218815242718
2024-02-15,912.1050415039062,180.85357666015625,14.010000228881836,13.566500186920166,1.6807282032318749
2024-02-16,911.2222290039062,181.52859497070312,14.239999771118164,13.613500165939332,1.6524496415701169
2024-02-20,892.2217407226562,182.647216796875,15.420000076293945,13.725000190734864,1.4709081249388045
2024-02-21,890.8876953125,186.813232421875,15.34000015258789,13.864500188827515,1.3279776946558066
2024-02-22,933.6953125,185.06776428222656,14.539999961853027,13.934500169754028,1.712310424529231
2024-02-23,915.4500122070312,183.33192443847656,13.75,13.949500179290771,1.6274816316949443
2024-02-26,929.5166015625,182.27114868164062,13.739999771118164,13.973500156402588,1.7692909831805599
2024-02-27,923.4151611328125,182.32904052734375,13.430000305175781,13.96500015258789,1.7205912444872087
2024-02-28,921.5808715820312,181.0657196044922,13.84000015258789,13.99150013923645,1.7467410293327792
2024-02-29,933.5285034179688,184.98098754882812,13.399999618530273,13.944000101089477,1.7137932153581543
2024-03-01,972.0397338867188,189.166259765625,13.109999656677246,13.905500078201294,1.8762406060910612
2024-03-04,979.0043334960938,188.60426330566406,13.489999771118164,13.887500047683716,1.9476244577472828
2024-03-05,950.361328125,183.8954620361328,14.460000038146973,13.927000045776367,1.8776340934492006
2024-03-06,984.7819213867188,185.73635864257812,14.5,13.999000024795532,2.083334771245209
2024-03-07,1027.4129638671875,192.07290649414062,14.4399995803833,14.079500007629395,2.208903066322109
2024-03-08,975.3651123046875,189.84446716308594,14.739999771118164,14.17699999809265,1.8801772057773207
2024-03-11,944.3089599609375,192.04383850097656,15.220000267028809,14.291499996185303,1.571633050297053
2024-03-12,965.5165405273438,193.0030517578125,13.84000015258789,14.286999988555909,1.7039458191454364
2024-03-13,950.3024291992188,192.42169189453125,13.75,14.181999969482423,1.6056253437899795
2024-03-14,941.4740600585938,188.3814239501953,14.399999618530273,14.18299994468689,1.6665086754190732
2024-03-15,922.27734375,189.12750244140625,14.40999984741211,14.202999925613403,1.4953255600241044
2024-03-18,923.3858032226562,185.2712860107422,14.329999923706055,14.207499933242797,1.626656647288154
2024-03-19,933.754150390625,184.6124725341797,13.819999694824219,14.127499914169311,1.7272630985322388
2024-03-20,952.401611328125,188.27487182617188,13.039999961853027,14.012499904632568,1.753820259291074
2024-03-21,971.8926391601562,189.07901000976562,12.920000076293945,13.931499910354614,1.8778898585297608
2024-03-22,961.2691650390625,187.49005126953125,13.0600004196167,13.896999931335449,1.846914658715431
2024-03-25,960.2587280273438,184.69964599609375,13.1899995803833,13.869499921798706,1.928028128351996
2024-03-26,952.7744140625,183.0816192626953,13.239999771118164,13.859999895095825,1.922085858828195
2024-03-27,955.4326782226562,187.31565856933594,12.779999732971191,13.80699987411499,1.8076477811264815
2024-03-28,951.9601440429688,191.63687133789062,13.010000228881836,13.787499904632568,1.6433519053560406
2024-04-01,974.0113525390625,190.5032958984375,13.649999618530273,13.81449990272522,1.8487976428133888
2024-04-02,948.2718505859375,188.8174285888672,14.609999656677246,13.870499897003175,1.704825650914731
2024-04-03,961.5733032226562,189.28250122070312,14.329999923706055,13.863999891281129,1.7921615895857905
2024-04-04,935.2255249023438,185.97857666015625,16.350000381469727,13.956499910354614,1.6950527166857692
2024-04-05,960.8670043945312,188.70115661621094,16.030000686645508,14.035999965667724,1.8052531334307282
2024-04-08,963.966796875,190.5711212158203,15.1899995803833,14.058499956130982,1.7695004397239833
2024-04-09,970.9508666992188,197.76995849609375,14.979999542236328,14.046499919891357,1.593854884897916
2024-04-10,956.0211791992188,190.22232055664062,15.800000190734863,14.144499921798706,1.719591338709163
2024-04-11,973.256103515625,192.46044921875,14.90999984741211,14.202499914169312,1.7806633018843419
2024-04-12,943.4948120117188,186.2886199951172,17.309999465942383,14.347999906539917,1.7486818344047084
2024-04-15,936.6087036132812,184.3701934814453,19.229999542236328,14.588999891281128,1.75690106720738
2024-04-16,958.287109375,185.28097534179688,18.399999618530273,14.792499876022339,1.894372047668995
2024-04-17,890.2991333007812,183.53697204589844,18.209999084472656,15.01199984550476,1.4278052043055278
2024-04-18,872.0735473632812,181.74452209472656,18.0,15.259999847412109,1.3449308130018844
2024-04-19,843.1459350585938,177.6558380126953,18.709999084472656,15.549499797821046,1.253004371867336
2024-04-22,855.4173583984375,180.51405334472656,16.940000534057617,15.743499803543092,1.256209741068588
2024-04-23,884.374267578125,184.02142333984375,15.6899995803833,15.868499803543092,1.3668757490647576
2024-04-24,875.30078125,190.38705444335938,15.970000267028809,16.004999828338622,1.0944536857476106
2024-04-25,885.2962646484375,191.78224182128906,15.369999885559082,16.13449983596802,1.1267777685675218
2024-04-26,903.3170166015625,195.68685913085938,15.029999732971191,16.235499811172485,1.14080759742605
2024-04-29,894.2738037109375,197.5568389892578,14.670000076293945,16.28649983406067,1.011802409626172
2024-04-30,857.6090698242188,194.3691864013672,15.649999618530273,16.33849983215332,0.8317614397806353
2024-05-01,838.3134765625,187.8582305908203,15.390000343322754,16.391499853134157,0.8909521514703524
2024-05-02,855.4564208984375,190.37733459472656,14.680000305175781,16.307999849319458,0.9423688225878367
2024-05-03,886.2724609375,193.419677734375,13.489999771118164,16.18099980354309,1.0821228831677188
2024-05-06,901.3018798828125,196.994873046875,13.489999771118164,16.095999813079835,1.0836727565194575
2024-05-07,892.7501220703125,197.2371063232422,13.229999542236328,16.008499813079833,1.010284657756884
2024-05-08,895.94482421875,198.48696899414062,13.0,15.868499803543092,0.9950107778999365
2024-05-09,897.9795532226562,198.4191436767578,12.6899995803833,15.75749979019165,1.0127966501590613
2024-05-10,914.4442749023438,200.7444610595703,12.550000190734863,15.519499826431275,1.065176934967516
2024-05-13,901.6165161132812,201.89744567871094,13.600000381469727,15.237999868392944,0.9299443530738775
2024-05-14,899.4442138671875,205.34671020507812,13.420000076293945,14.988999891281129,0.8034047308634648
2024-05-15,921.4527587890625,209.03819274902344,12.449999809265137,14.700999927520751,0.8548469922852345
2024-05-16,903.8773193359375,207.45889282226562,12.420000076293945,14.42199993133545,0.7701766614484753
2024-05-17,909.2149047851562,207.42015075683594,11.989999771118164,14.085999965667725,0.812400476951196
2024-05-20,923.4383544921875,210.71435546875,12.149999618530273,13.846499919891357,0.8167103422313469
2024-05-21,909.5098266601562,209.90048217773438,11.859999656677246,13.654999923706054,0.7356679279968892
2024-05-22,906.6199340820312,232.6888427734375,12.289999961853027,13.470999908447265,-0.012323589116324682
2024-05-23,918.3369140625,227.26303100585938,12.770000457763672,13.340999937057495,0.25046633317383327
2024-05-24,939.9326171875,225.2767791748047,11.930000305175781,13.185999965667724,0.4795713692799407
2024-05-28,974.9556884765625,226.1778564453125,12.920000076293945,13.098499965667724,0.7198315737164345
2024-05-29,941.5642700195312,221.0524139404297,14.279999732971191,13.02999997138977,0.6266456786067899
2024-05-30,949.6638793945312,222.84486389160156,14.470000267028809,12.983999967575073,0.6317578010446231
2024-05-31,943.9923095703125,227.1951904296875,12.920000076293945,12.895999956130982,0.4496472076043503
2024-06-03,949.0347900390625,224.9861297607422,13.109999656677246,12.876999950408935,0.558728402553901
2024-06-04,934.61474609375,224.3441162109375,13.15999984741211,12.860499954223632,0.46843774604878585
2024-06-05,1023.6026611328125,229.2564697265625,12.630000114440918,12.830499982833862,0.9953627981807093
2024-06-06,1034.6806640625,230.9393310546875,12.579999923706055,12.809499979019165,1.0268377908931745
2024-06-07,1010.90283203125,228.3712921142578,12.220000267028809,12.78600001335144,0.9260271647535032
2024-06-10,1023.9663696289062,228.95492553710938,12.739999771118164,12.795499992370605,1.007759933047179
2024-06-11,1018.3636474609375,229.85958862304688,12.850000381469727,12.757999992370605,0.9359208246923831
2024-06-12,1050.654052734375,231.94126892089844,12.039999961853027,12.68899998664856,1.1175939111617148
2024-06-13,1034.77880859375,227.65142822265625,11.9399995803833,12.663499975204468,1.1323096588209358
2024-06-14,1010.3916625976562,224.8888397216797,12.65999984741211,12.675499963760377,1.0330161287886623
2024-06-17,1034.5430908203125,226.05615234375,12.75,12.713499975204467,1.1813082593000102
2024-06-18,1043.301513671875,228.96466064453125,12.300000190734863,12.721000003814698,1.1559337920355477
2024-06-20,1032.842529296875,223.25462341308594,13.279999732971191,12.792000007629394,1.2574762124927548
2024-06-21,1018.943359375,224.752685546875,13.199999809265137,12.8375,1.1030251890230707
2024-06-24,984.9427490234375,222.2332763671875,13.329999923706055,12.86549997329712,0.922160071372922
2024-06-25,1005.909423828125,224.06202697753906,12.84000015258789,12.910999965667724,1.0249284500851477
2024-06-26,999.2841186523438,221.63014221191406,12.550000190734863,12.892499971389771,1.0515039222702927
2024-06-27,1010.499755859375,220.50177001953125,12.239999771118164,12.79049997329712,1.1735723489547973
2024-06-28,1005.3097534179688,222.0386962890625,12.4399995803833,12.688999938964844,1.0847654279715484
2024-07-01,1015.8864135742188,219.0426483154297,12.220000267028809,12.653999948501587,1.2614114417971667
2024-07-02,1030.0411376953125,222.01925659179688,12.029999732971191,12.599999952316285,1.2753088281277891
2024-07-03,1053.1605224609375,223.750732421875,12.09000015258789,12.546499967575073,1.3977070635296778
2024-07-05,1056.1781005859375,224.59701538085938,12.479999542236328,12.538999938964844,1.3939267878912411
2024-07-08,1059.0386962890625,226.98023986816406,12.369999885559082,12.528499937057495,1.3399900989489246
