Date,ASML,GILD,VIX,AvgVIX,zscore
2024-01-30,849.9865112304688,73.06415557861328,13.3100004196167,13.347500038146972,0.25465491170840276
2024-01-31,851.7391967773438,72.7295913696289,14.350000381469727,13.405000066757202,0.27111387851124413
2024-02-01,872.0285034179688,72.63666534423828,13.880000114440918,13.397000074386597,0.37519533427564367
2024-02-02,872.1461181640625,71.52146911621094,13.850000381469727,13.383000087738036,0.40129098561931714
2024-02-05,881.4020385742188,71.28912353515625,13.670000076293945,13.399000072479248,0.4531168712147651
2024-02-06,887.6309204101562,72.2277603149414,13.0600004196167,13.39800009727478,0.46295106419460047
2024-02-07,904.6401977539062,69.16096496582031,12.829999923706055,13.40150008201599,0.6185625930037496
2024-02-08,905.336669921875,68.58478546142578,12.789999961853027,13.406500101089478,0.6352397195468071
2024-02-09,931.4880981445312,68.46395111083984,12.930000305175781,13.431000137329102,0.7694173138775546
2024-02-12,911.4871215820312,69.1888427734375,13.930000305175781,13.492500162124633,0.6523316493625654
2024-02-13,886.0909423828125,68.33385467529297,15.850000381469727,13.593000173568726,0.5442664070908096
2024-02-14,906.80810546875,67.87847900390625,14.380000114440918,13.57250018119812,0.6587871445678145
2024-02-15,912.1050415039062,68.1851577758789,14.010000228881836,13.566500186920166,0.6783911246254306
2024-02-16,911.2222290039062,66.52165985107422,14.239999771118164,13.613500165939332,0.7119992092392387
2024-02-20,892.2217407226562,66.94914245605469,15.420000076293945,13.725000190734864,0.6067428877448862
2024-02-21,890.8876953125,68.02716827392578,15.34000015258789,13.864500188827515,0.5753846146722134
2024-02-22,933.6953125,67.6368408203125,14.539999961853027,13.934500169754028,0.7994249096812951
2024-02-23,915.4500122070312,68.3524398803711,13.75,13.949500179290771,0.6913742542173262
2024-02-26,929.5166015625,67.79483795166016,13.739999771118164,13.973500156402588,0.7748129731538415
2024-02-27,923.4151611328125,67.85987854003906,13.430000305175781,13.96500015258789,0.7426650106107242
2024-02-28,921.5808715820312,67.5625,13.84000015258789,13.99150013923645,0.7402485527384502
2024-02-29,933.5285034179688,67.0049057006836,13.399999618530273,13.944000101089477,0.8130390782593734
2024-03-01,972.0397338867188,67.20005798339844,13.109999656677246,13.905500078201294,1.0020995418019867
2024-03-04,979.0043334960938,67.14431762695312,13.489999771118164,13.887500047683716,1.0383722870581154
2024-03-05,950.361328125,67.83201599121094,14.460000038146973,13.927000045776367,0.8787099915862389
2024-03-06,984.7819213867188,67.49745178222656,14.5,13.999000024795532,1.0593291629092751
2024-03-07,1027.4129638671875,68.45466613769531,14.4399995803833,14.079500007629395,1.251663764414531
2024-03-08,975.3651123046875,69.81149291992188,14.739999771118164,14.17699999809265,0.9590862557318423
2024-03-11,944.3089599609375,69.99736785888672,15.220000267028809,14.291499996185303,0.7987743436768086
2024-03-12,965.5165405273438,69.77433776855469,13.84000015258789,14.286999988555909,0.9104457273709896
2024-03-13,950.3024291992188,70.57354736328125,13.75,14.181999969482423,0.8157149853442043
2024-03-14,941.4740600585938,69.67225646972656,14.399999618530273,14.18299994468689,0.7919639496199975
2024-03-15,922.27734375,69.18405151367188,14.40999984741211,14.202999925613403,0.706663402949082
2024-03-18,923.3858032226562,68.78032684326172,14.329999923706055,14.207499933242797,0.7214667605112167
2024-03-19,933.754150390625,68.92117309570312,13.819999694824219,14.127499914169311,0.7703477999428096
2024-03-20,952.401611328125,69.45631408691406,13.039999961853027,14.012499904632568,0.851814840943698
2024-03-21,971.8926391601562,68.62073516845703,12.920000076293945,13.931499910354614,0.9688693771434794
2024-03-22,961.2691650390625,68.17008972167969,13.0600004196167,13.896999931335449,0.9257914250306454
2024-03-25,960.2587280273438,68.14192199707031,13.1899995803833,13.869499921798706,0.9213580543208041
2024-03-26,952.7744140625,67.98231506347656,13.239999771118164,13.859999895095825,0.8873986902773318
2024-03-27,955.4326782226562,68.54562377929688,12.779999732971191,13.80699987411499,0.8878738772096507
2024-03-28,951.9601440429688,68.77094268798828,13.010000228881836,13.787499904632568,0.865270910478736
2024-04-01,974.0113525390625,68.423583984375,13.649999618530273,13.81449990272522,0.9840250318840666
2024-04-02,948.2718505859375,67.68186950683594,14.609999656677246,13.870499897003175,0.8716439747101037
2024-04-03,961.5733032226562,66.55526733398438,14.329999923706055,13.863999891281129,0.9642508677579571
2024-04-04,935.2255249023438,65.29718780517578,16.350000381469727,13.956499910354614,0.860622456132846
2024-04-05,960.8670043945312,65.32536315917969,16.030000686645508,14.035999965667724,0.9888296328170308
2024-04-08,963.966796875,65.17514038085938,15.1899995803833,14.058499956130982,1.0078420729911108
2024-04-09,970.9508666992188,65.6633529663086,14.979999542236328,14.046499919891357,1.0317724130922497
2024-04-10,956.0211791992188,63.95463562011719,15.800000190734863,14.144499921798706,0.9958274161444944
2024-04-11,973.256103515625,64.45223236083984,14.90999984741211,14.202499914169312,1.071054928917778
2024-04-12,943.4948120117188,63.90769958496094,17.309999465942383,14.347999906539917,0.9339543301287522
2024-04-15,936.6087036132812,63.60725402832031,19.229999542236328,14.588999891281128,0.9062220117938924
2024-04-16,958.287109375,63.194156646728516,18.399999618530273,14.792499876022339,1.0246062027627783
2024-04-17,890.2991333007812,62.83740997314453,18.209999084472656,15.01199984550476,0.6911171880062067
2024-04-18,872.0735473632812,62.11448669433594,18.0,15.259999847412109,0.6160647153941032
2024-04-19,843.1459350585938,62.677791595458984,18.709999084472656,15.549499797821046,0.45781712351695925
2024-04-22,855.4173583984375,62.85618209838867,16.940000534057617,15.743499803543092,0.515402712005909
2024-04-23,884.374267578125,62.9312858581543,15.6899995803833,15.868499803543092,0.6591970693773729
2024-04-24,875.30078125,62.978233337402344,15.970000267028809,16.004999828338622,0.6125280059611868
2024-04-25,885.2962646484375,61.278900146484375,15.369999885559082,16.13449983596802,0.7016204041531894
2024-04-26,903.3170166015625,61.41973114013672,15.029999732971191,16.235499811172485,0.7889560561567645
2024-04-29,894.2738037109375,61.90794372558594,14.670000076293945,16.28649983406067,0.7323473537413786
2024-04-30,857.6090698242188,61.21318435668945,15.649999618530273,16.33849983215332,0.5639918120627059
2024-05-01,838.3134765625,61.504234313964844,15.390000343322754,16.391499853134157,0.4603727772734665
2024-05-02,855.4564208984375,61.33523941040039,14.680000305175781,16.307999849319458,0.5503830813172225
2024-05-03,886.2724609375,60.81886672973633,13.489999771118164,16.18099980354309,0.7170469084832495
2024-05-06,901.3018798828125,61.53239440917969,13.489999771118164,16.095999813079835,0.7762531317886389
2024-05-07,892.7501220703125,61.4572868347168,13.229999542236328,16.008499813079833,0.7349972259448868
2024-05-08,895.94482421875,60.9503059387207,13.0,15.868499803543092,0.7626456841439062
2024-05-09,897.9795532226562,60.631099700927734,12.6899995803833,15.75749979019165,0.7801707156040657
2024-05-10,914.4442749023438,61.92671585083008,12.550000190734863,15.519499826431275,0.8332771016972919
2024-05-13,901.6165161132812,63.410099029541016,13.600000381469727,15.237999868392944,0.7348909689057087
2024-05-14,899.4442138671875,63.51337814331055,13.420000076293945,14.988999891281129,0.7216128850196223
2024-05-15,921.4527587890625,62.912506103515625,12.449999809265137,14.700999927520751,0.8459504861538583
2024-05-16,903.8773193359375,63.710533142089844,12.420000076293945,14.42199993133545,0.7393808286120424
