Date,KRE,XLU,VIX,AvgVIX,zscore
2024-01-30,49.64396667480469,28.81212043762207,13.3100004196167,13.347500038146972,1.4867892053898148
2024-01-31,46.738121032714844,28.75129508972168,14.350000381469727,13.405000066757202,0.732587246502651
2024-02-01,45.28049087524414,29.29871368408203,13.880000114440918,13.397000074386597,0.14417150337299217
2024-02-02,45.48737335205078,28.770008087158203,13.850000381469727,13.383000087738036,0.3916400347709458
2024-02-05,44.735050201416016,28.17112159729004,13.670000076293945,13.399000072479248,0.40836382820584727
2024-02-06,44.170814514160156,28.27405548095703,13.0600004196167,13.39800009727478,0.22020574593779138
2024-02-07,44.057960510253906,28.29277229309082,12.829999923706055,13.40150008201599,0.18325207738048596
2024-02-08,44.23664855957031,28.09157943725586,12.789999961853027,13.406500101089478,0.30412863336798496
2024-02-09,45.01717758178711,28.19919204711914,12.930000305175781,13.431000137329102,0.4735314409937297
2024-02-12,45.98579788208008,28.526714324951172,13.930000305175781,13.492500162124633,0.6132408649002112
2024-02-13,44.039154052734375,28.054149627685547,15.850000381469727,13.593000173568726,0.2649735645846086
2024-02-14,44.8573112487793,28.20855140686035,14.380000114440918,13.57250018119812,0.42741983966329206
2024-02-15,46.28672409057617,28.68111228942871,14.010000228881836,13.566500186920166,0.6375072528282801
2024-02-16,45.80710983276367,28.64835548400879,14.239999771118164,13.613500165939332,0.5212834853484631
2024-02-20,45.44976806640625,28.6296443939209,15.420000076293945,13.725000190734864,0.43261953241662254
2024-02-21,45.148834228515625,29.00862693786621,15.34000015258789,13.864500188827515,0.21445297892861787
2024-02-22,45.1112174987793,28.784046173095703,14.539999961853027,13.934500169754028,0.2860445845666835
2024-02-23,45.01717758178711,28.989912033081055,13.75,13.949500179290771,0.18608350824493122
2024-02-26,44.593990325927734,28.419099807739258,13.739999771118164,13.973500156402588,0.2805321264161043
2024-02-27,45.148834228515625,28.95716094970703,13.430000305175781,13.96500015258789,0.23316224664142704
2024-02-28,44.65981674194336,29.046058654785156,13.84000015258789,13.99150013923645,0.07020167278288315
2024-02-29,45.27109146118164,29.0554141998291,13.399999618530273,13.944000101089477,0.2301062862287545
2024-03-01,44.77267837524414,28.87762451171875,13.109999656677246,13.905500078201294,0.1615836468240938
2024-03-04,44.763267517089844,29.364219665527344,13.489999771118164,13.887500047683716,-0.017820914300876598
