Date,JPM,CL,VIX,AvgVIX,zscore
2024-01-30,168.0081024169922,79.9580078125,13.3100004196167,13.347500038146972,-2.440269167589135
2024-01-31,166.1876220703125,79.92949676513672,14.350000381469727,13.405000066757202,-2.4850350782058976
2024-02-01,165.587158203125,81.75214385986328,13.880000114440918,13.397000074386597,-2.359576679300709
2024-02-02,166.54031372070312,80.3282241821289,13.850000381469727,13.383000087738036,-2.4462667892857928
2024-02-05,166.3210906982422,79.8250961303711,13.670000076293945,13.399000072479248,-2.4899038031147964
2024-02-06,166.8929443359375,79.49285125732422,13.0600004196167,13.39800009727478,-2.501957099812481
2024-02-07,167.2074737548828,79.60675811767578,12.829999923706055,13.40150008201599,-2.485881446224456
2024-02-08,166.6070098876953,79.98648071289062,12.789999961853027,13.406500101089478,-2.4708634731499997
2024-02-09,166.80712890625,79.22705078125,12.930000305175781,13.431000137329102,-2.5243086294925203
2024-02-12,167.5506134033203,79.32198333740234,13.930000305175781,13.492500162124633,-2.499651369795567
2024-02-13,166.09231567382812,79.23654174804688,15.850000381469727,13.593000173568726,-2.540302723453868
2024-02-14,167.7793731689453,79.46436309814453,14.380000114440918,13.57250018119812,-2.4834026979521187
2024-02-15,171.43936157226562,79.33148193359375,14.010000228881836,13.566500186920166,-2.4079608526155822
2024-02-16,170.63877868652344,79.24604034423828,14.239999771118164,13.613500165939332,-2.4332272951269425
2024-02-20,171.3059539794922,80.31871795654297,15.420000076293945,13.725000190734864,-2.3355191006301634
2024-02-21,172.42112731933594,80.98321533203125,15.34000015258789,13.864500188827515,-2.2585734053675384
2024-02-22,174.48941040039062,81.63822174072266,14.539999961853027,13.934500169754028,-2.1600595126408346
2024-02-23,175.36627197265625,81.87554168701172,13.75,13.949500179290771,-2.1213841376395908
2024-02-26,174.7658233642578,81.78063201904297,13.739999771118164,13.973500156402588,-2.1426938270730327
2024-02-27,174.85157775878906,82.02743530273438,13.430000305175781,13.96500015258789,-2.1217977568314463
2024-02-28,175.7379913330078,82.40715026855469,13.84000015258789,13.99150013923645,-2.072000131954682
2024-02-29,177.33924865722656,82.13184356689453,13.399999618530273,13.944000101089477,-2.0556161648469686
2024-03-01,176.60533142089844,82.10337829589844,13.109999656677246,13.905500078201294,-2.074962273103015
2024-03-04,177.93019104003906,82.42613983154297,13.489999771118164,13.887500047683716,-2.0192679301141734
2024-03-05,179.7125701904297,82.3311996459961,14.460000038146973,13.927000045776367,-1.9848421326425827
2024-03-06,180.64662170410156,82.75838470458984,14.5,13.999000024795532,-1.9302968592638239
2024-03-07,179.06439208984375,83.66969299316406,14.4399995803833,14.079500007629395,-1.8975566265164932
2024-03-08,179.39801025390625,83.60324096679688,14.739999771118164,14.17699999809265,-1.8948390015645573
2024-03-11,179.46473693847656,83.66019439697266,15.220000267028809,14.291499996185303,-1.8889189914532272
2024-03-12,180.94207763671875,84.25824737548828,13.84000015258789,14.286999988555909,-1.8085872799229756
2024-03-13,182.409912109375,84.67593383789062,13.75,14.181999969482423,-1.7422830591206135
2024-03-14,179.15972900390625,83.86903381347656,14.399999618530273,14.18299994468689,-1.880069150691047
2024-03-15,181.38050842285156,83.96395874023438,14.40999984741211,14.202999925613403,-1.8208563883241244
2024-03-18,183.6299285888672,83.79309844970703,14.329999923706055,14.207499933242797,-1.7813166905401616
2024-03-19,184.70692443847656,84.26773834228516,13.819999694824219,14.127499914169311,-1.7197955806955874
2024-03-20,187.12791442871094,83.86903381347656,13.039999961853027,14.012499904632568,-1.6936816517196054
2024-03-21,189.7299346923828,84.26773834228516,12.920000076293945,13.931499910354614,-1.6023000320077956
2024-03-22,187.40428161621094,84.67593383789062,13.0600004196167,13.896999931335449,-1.6254574593522448
2024-03-25,185.68869018554688,84.14432525634766,13.1899995803833,13.869499921798706,-1.7062765962206452
2024-03-26,186.55599975585938,84.39115142822266,13.239999771118164,13.859999895095825,-1.667097056684023
2024-03-27,190.1683807373047,85.38787841796875,12.779999732971191,13.80699987411499,-1.5063094052583017
2024-03-28,190.9118194580078,85.48283386230469,13.010000228881836,13.787499904632568,-1.4816514644919931
2024-04-01,189.61558532714844,84.54302978515625,13.649999618530273,13.81449990272522,-1.5839042174109494
2024-04-02,189.539306640625,84.54302978515625,14.609999656677246,13.870499897003175,-1.5856884873354007
2024-04-03,189.0055389404297,83.63172149658203,14.329999923706055,13.863999891281129,-1.6679249888371541
2024-04-04,187.56752014160156,82.96722412109375,16.350000381469727,13.956499910354614,-1.7524225110774818
2024-04-05,189.29315185546875,83.4228744506836,16.030000686645508,14.035999965667724,-1.677182308469582
2024-04-08,190.28060913085938,83.27099609375,15.1899995803833,14.058499956130982,-1.6657089026431473
2024-04-09,189.00555419921875,83.20454406738281,14.979999542236328,14.046499919891357,-1.7006204917450627
2024-04-10,187.3949432373047,82.1698226928711,15.800000190734863,14.144499921798706,-1.8174918812098595
2024-04-11,187.3566131591797,81.63822174072266,14.90999984741211,14.202499914169312,-1.859076840537931
2024-04-12,175.23878479003906,81.49584197998047,17.309999465942383,14.347999906539917,-2.153428197493465
2024-04-15,175.3346405029297,81.79961395263672,19.229999542236328,14.588999891281128,-2.127935499291509
2024-04-16,173.33099365234375,81.79961395263672,18.399999618530273,14.792499876022339,-2.1748037265468847
2024-04-17,172.64073181152344,82.3501968383789,18.209999084472656,15.01199984550476,-2.1488087328692407
2024-04-18,173.76242065429688,82.31221771240234,18.0,15.259999847412109,-2.1254776875747674
2024-04-19,178.1244659423828,83.19062805175781,18.709999084472656,15.549499797821046,-1.956210165886149
2024-04-22,181.5853271484375,84.33637237548828,16.940000534057617,15.743499803543092,-1.7875611015020205
2024-04-23,184.20252990722656,84.57505798339844,15.6899995803833,15.868499803543092,-1.7080720766500193
2024-04-24,185.10369873046875,84.85195922851562,15.970000267028809,16.004999828338622,-1.6657985947748168
2024-04-25,185.38168334960938,85.25296020507812,15.369999885559082,16.13449983596802,-1.628603795816411
2024-04-26,185.4967498779297,86.89520263671875,15.029999732971191,16.235499811172485,-1.5002161415023354
2024-04-29,185.29544067382812,86.3987045288086,14.670000076293945,16.28649983406067,-1.5429266737102818
2024-04-30,183.81906127929688,87.76405334472656,15.649999618530273,16.33849983215332,-1.472958507209363
2024-05-01,183.93409729003906,87.74495697021484,15.390000343322754,16.391499853134157,-1.4717292699125295
2024-05-02,183.74237060546875,88.70929718017578,14.680000305175781,16.307999849319458,-1.402404116105835
2024-05-03,182.63986206054688,88.68064880371094,13.489999771118164,16.18099980354309,-1.4303861283624668
2024-05-06,184.06829833984375,88.96708679199219,13.489999771118164,16.095999813079835,-1.3750491547172201
2024-05-07,183.82864379882812,89.82638549804688,13.229999542236328,16.008499813079833,-1.3148849062906145
2024-05-08,187.56752014160156,89.24397277832031,13.0,15.868499803543092,-1.2720045856966615
2024-05-09,189.3411102294922,89.82638549804688,12.6899995803833,15.75749979019165,-1.1859402625104796
2024-05-10,190.55865478515625,90.80026245117188,12.550000190734863,15.519499826431275,-1.082920259773697
2024-05-13,190.52027893066406,90.189208984375,13.600000381469727,15.237999868392944,-1.1305875294396608
2024-05-14,193.18544006347656,90.29423522949219,13.420000076293945,14.988999891281129,-1.0602068817241719
2024-05-15,193.7606658935547,90.25605010986328,12.449999809265137,14.700999927520751,-1.0496741713134239
2024-05-16,194.1057891845703,90.25605010986328,12.420000076293945,14.42199993133545,-1.0416012332955724
2024-05-17,196.32994079589844,89.87413024902344,11.989999771118164,14.085999965667725,-1.0188069549168917
2024-05-20,187.50042724609375,90.12237548828125,12.149999618530273,13.846499919891357,-1.2063416612453148
2024-05-21,191.27764892578125,90.86711883544922,11.859999656677246,13.654999923706054,-1.0609847957341159
2024-05-22,190.1176300048828,90.47566223144531,12.289999961853027,13.470999908447265,-1.1180811461438862
2024-05-23,188.78506469726562,89.49222564697266,12.770000457763672,13.340999937057495,-1.2245233397758553
2024-05-24,192.41851806640625,89.08165740966797,11.930000305175781,13.185999965667724,-1.1709561608025112
2024-05-28,191.25848388671875,87.78314971923828,12.920000076293945,13.098499965667724,-1.2974779200159656
2024-05-29,189.92588806152344,87.16254425048828,14.279999732971191,13.02999997138977,-1.3761499892194649
2024-05-30,191.0955047607422,86.8188247680664,14.470000267028809,12.983999967575073,-1.375098993075871
2024-05-31,194.25917053222656,88.75703430175781,12.920000076293945,12.895999956130982,-1.1527470345966724
2024-06-03,193.48263549804688,88.2891845703125,13.109999656677246,12.876999950408935,-1.2067202128262977
2024-06-04,190.93251037597656,89.56859588623047,13.15999984741211,12.860499954223632,-1.1684461234616064
2024-06-05,189.1110382080078,89.42538452148438,12.630000114440918,12.830499982833862,-1.2220143158071979
2024-06-06,188.77548217773438,89.73091125488281,12.579999923706055,12.809499979019165,-1.20647866043783
2024-06-07,191.6898956298828,89.64498138427734,12.220000267028809,12.78600001335144,-1.1448832835287541
2024-06-10,191.3639373779297,89.65453338623047,12.739999771118164,12.795499992370605,-1.1517768197740226
2024-06-11,186.33082580566406,89.7118148803711,12.850000381469727,12.757999992370605,-1.2651243678032393
2024-06-12,183.6177215576172,89.01483154296875,12.039999961853027,12.68899998664856,-1.3819344543243326
2024-06-13,185.6597137451172,90.47566223144531,11.9399995803833,12.663499975204468,-1.2223583206804218
2024-06-14,185.77476501464844,90.34198760986328,12.65999984741211,12.675499963760377,-1.2298984648621794
2024-06-17,186.92520141601562,91.6118392944336,12.75,12.713499975204467,-1.1057945222301555
2024-06-18,188.8617401123047,92.62391662597656,12.300000190734863,12.721000003814698,-0.9830323659775151
2024-06-20,190.4627685546875,92.56664276123047,13.279999732971191,12.792000007629394,-0.949965672839019
2024-06-21,188.190673828125,92.87216186523438,13.199999809265137,12.8375,-0.9797290708964125
2024-06-24,190.6641082763672,94.51438903808594,13.329999923706055,12.86549997329712,-0.7961769131483792
2024-06-25,189.88755798339844,94.23751068115234,12.84000015258789,12.910999965667724,-0.8355336336816169
2024-06-26,189.27398681640625,93.78876495361328,12.550000190734863,12.892499971389771,-0.8842326419442085
2024-06-27,190.94210815429688,93.73147583007812,12.239999771118164,12.79049997329712,-0.8495977158509578
2024-06-28,193.90444946289062,92.65257263183594,12.4399995803833,12.688999938964844,-0.8628827161133763
2024-07-01,196.9626922607422,91.22037506103516,12.220000267028809,12.653999948501587,-0.9009653430938485
2024-07-02,200.2030792236328,91.774169921875,12.029999732971191,12.599999952316285,-0.7827808887250227
2024-07-03,200.06884765625,91.55455780029297,12.09000015258789,12.546499967575073,-0.8027297184531008
2024-07-05,197.41783142089844,92.66212463378906,12.479999542236328,12.538999938964844,-0.77996847539509
2024-07-08,197.78416442871094,93.16815185546875,12.369999885559082,12.528499937057495,-0.7326684436485378
2024-07-09,200.1555938720703,92.65257263183594,12.510000228881836,12.542999935150146,-0.716659315173272
2024-07-10,200.31947326660156,92.98673248291016,12.850000381469727,12.548499965667725,-0.6872495768413461
2024-07-11,199.98208618164062,93.34000396728516,12.920000076293945,12.551999950408936,-0.6681024028738134
2024-07-12,197.5624237060547,93.635986328125,12.460000038146973,12.572999954223633,-0.7020475617950606
2024-07-15,202.4884796142578,92.85306549072266,13.119999885559082,12.631999969482422,-0.6467441268744674
2024-07-16,205.92996215820312,92.99629211425781,13.1899995803833,12.658499956130981,-0.5552803570281646
2024-07-17,209.0629425048828,94.89630889892578,14.479999542236328,12.744999933242799,-0.3365694216026182
2024-07-18,202.4209747314453,94.05611419677734,15.930000305175781,12.926499938964843,-0.5562426633150642
2024-07-19,202.2281951904297,94.12328338623047,16.520000457763672,13.088499975204467,-0.5556109759442889
2024-07-22,202.71018981933594,93.9985122680664,14.90999984741211,13.173999977111816,-0.5538863109427808
2024-07-23,202.75839233398438,92.6550064086914,14.720000267028809,13.243499994277954,-0.65558977677297
2024-07-24,201.08102416992188,92.70298767089844,18.040000915527344,13.503500032424927,-0.6911534167966875
2024-07-25,201.1581573486328,92.597412109375,18.459999084472656,13.798999977111816,-0.6974298382387615
2024-07-26,204.5996551513672,95.38043212890625,16.389999389648438,14.00649995803833,-0.40391778251611454
2024-07-29,203.25967407226562,96.81031799316406,16.600000381469727,14.214499998092652,-0.32581943986679623
2024-07-30,207.44342041015625,96.43605041503906,17.690000534057617,14.488000011444091,-0.2566016774416169
2024-07-31,205.13949584960938,95.1884994506836,16.360000610351562,14.70450005531311,-0.4059805119834885
2024-08-01,200.4737091064453,96.85830688476562,18.59000015258789,15.029500055313111,-0.38731419484603796
2024-08-02,191.97122192382812,98.66246032714844,23.389999389648438,15.575000047683716,-0.44811115764484283
2024-08-05,187.88385009765625,96.89668273925781,38.56999969482422,16.885000038146973,-0.6788721305260883
2024-08-06,193.12802124023438,98.51850891113281,27.709999084472656,17.644999980926514,-0.4320698715827396
2024-08-07,193.18585205078125,98.29778289794922,27.850000381469727,18.394999980926514,-0.44761133815843335
2024-08-08,196.71409606933594,98.56649780273438,23.790000915527344,18.938500022888185,-0.34451330591565016
2024-08-09,198.3914794921875,97.95230865478516,20.3700008392334,19.334000062942504,-0.352286462110229
2024-08-12,198.76744079589844,97.19418334960938,20.709999084472656,19.713500022888184,-0.40151855529770314
2024-08-13,200.45443725585938,96.53202056884766,18.1200008392334,19.96000008583069,-0.4127387166064288
2024-08-14,202.671630859375,98.0578842163086,16.190000534057617,20.045500135421754,-0.24408678894653227
2024-08-15,203.93447875976562,97.34773254394531,15.229999542236328,20.01050009727478,-0.2689014407583553
2024-08-16,206.26736450195312,97.87554168701172,14.800000190734863,19.92450008392334,-0.17393369439544454
2024-08-19,207.69407653808594,97.7411880493164,14.649999618530273,19.91150007247925,-0.15084414826520395
2024-08-20,206.79757690429688,98.90237426757812,15.880000114440918,19.969500064849854,-0.0829382084883272
2024-08-21,206.8746795654297,99.29582214355469,16.270000457763672,19.88100004196167,-0.05102044102935932
2024-08-22,208.83160400390625,99.7564697265625,17.549999237060547,19.835500049591065,0.030012522596587092
2024-08-23,210.4511260986328,100.0059814453125,15.859999656677246,19.809000062942506,0.08699296196437432
2024-08-26,211.28018188476562,100.85047912597656,16.149999618530273,19.786500024795533,0.17102304630974202
2024-08-27,212.2537841796875,101.64700317382812,15.430000305175781,19.67350001335144,0.2547624165875595
2024-08-28,213.32383728027344,101.52224731445312,17.110000610351562,19.71100001335144,0.27024379631909534
2024-08-29,214.21072387695312,101.54142761230469,15.649999618530273,19.56399998664856,0.29245741609823
2024-08-30,216.70750427246094,102.20359802246094,15.0,19.144500017166138,0.4015428146951994
2024-09-03,212.36947631835938,103.43196105957031,20.719999313354492,18.25199999809265,0.39408804527225394
2024-09-04,211.4344024658203,104.38202667236328,21.31999969482422,17.932500028610228,0.4449326551333256
2024-09-05,209.79559326171875,104.15170288085938,19.899999618530273,17.534999990463255,0.3889696925470972
2024-09-06,204.8117218017578,103.50872802734375,22.3799991607666,17.46449990272522,0.2231768145958541
2024-09-09,209.005126953125,102.78900146484375,19.450000762939453,17.41849989891052,0.2661793232098834
2024-09-10,198.16009521484375,102.52986907958984,19.079999923706055,17.336999940872193,-0.007335624658707317
2024-09-11,199.7699737548828,101.84851837158203,17.690000534057617,17.315499925613402,-0.021828317236423235
2024-09-12,199.1626739501953,102.05005645751953,17.06999969482422,17.359499883651733,-0.020608363682333097
2024-09-13,196.9647674560547,101.46467590332031,16.559999465942383,17.425999879837036,-0.1168252235186014
2024-09-16,200.3773193359375,101.17676544189453,17.139999389648438,17.542999839782716,-0.059037113272688
2024-09-17,201.71728515625,100.34185028076172,17.610000610351562,17.690999889373778,-0.09159717390114461
2024-09-18,200.05917358398438,99.01753234863281,18.229999542236328,17.80849986076355,-0.23174518877839523
2024-09-19,202.9029998779297,97.89473724365234,16.329999923706055,17.81149983406067,-0.2511618840450702
2024-09-20,203.49102783203125,98.90237426757812,16.149999618530273,17.741499853134155,-0.1602832223088404
2024-09-23,203.82843017578125,99.14228820800781,15.890000343322754,17.742999887466432,-0.13402804435113902
2024-09-24,203.9730224609375,99.6029281616211,15.390000343322754,17.704999923706055,-0.09538876164044763
2024-09-25,202.62344360351562,99.56454467773438,15.40999984741211,17.70399990081787,-0.12989522775917875
2024-09-26,202.2281951904297,98.90237426757812,15.369999885559082,17.616999864578247,-0.18982272285245175
2024-09-27,202.9222869873047,99.47817993164062,16.959999084472656,17.682499837875366,-0.1295151412810119
2024-09-30,203.26930236816406,99.62212371826172,16.729999542236328,17.768999814987183,-0.11038058838014952
2024-10-01,199.5868377685547,98.20182037353516,19.260000228881836,17.69599986076355,-0.3052278341767054
2024-10-02,199.82781982421875,97.94271850585938,18.899999618530273,17.574999856948853,-0.31942238643510545
2024-10-03,197.84197998046875,95.9370346069336,20.489999771118164,17.604499864578248,-0.5193877160412167
2024-10-04,204.86412048339844,95.0445556640625,19.209999084472656,17.44599986076355,-0.42343930027237137
2024-10-07,204.58285522460938,94.59349822998047,22.639999389648438,17.605499792099,-0.4645421242199697
2024-10-08,204.40826416015625,96.52242279052734,21.420000076293945,17.722499799728393,-0.3209875357908718
2024-10-09,206.99790954589844,96.92548370361328,20.860000610351562,17.88099980354309,-0.22956194796703125
2024-10-10,206.4353790283203,95.23648071289062,20.93000030517578,18.07399983406067,-0.3719954590428219
2024-10-11,215.60101318359375,96.06178283691406,20.459999084472656,18.268999814987183,-0.09442984091664774
2024-10-14,214.81541442871094,96.66637420654297,19.700000762939453,18.396999883651734,-0.06653114559871791
2024-10-15,215.69801330566406,97.45330047607422,20.639999389648438,18.548499822616577,0.014344914573790408
2024-10-16,216.910400390625,97.1078109741211,19.579999923706055,18.615999841690062,0.01626089648000613
2024-10-17,217.6669158935547,96.47443389892578,19.110000610351562,18.75499987602234,-0.014521336241106221
2024-10-18,218.58831787109375,96.88915252685547,18.030000686645508,18.8489999294281,0.03877387417534566
2024-10-21,216.28965759277344,95.8282699584961,18.3700008392334,18.97299995422363,-0.09619435343978619
2024-10-22,217.37594604492188,96.12723541259766,18.200000762939453,19.11349997520447,-0.04790187394672742
2024-10-23,216.68731689453125,95.4617691040039,19.239999771118164,19.30499997138977,-0.11494423887544093
2024-10-24,218.2100830078125,96.19475555419922,19.079999923706055,19.49049997329712,-0.02322224754687399
2024-10-25,215.6204071044922,92.2115478515625,20.329999923706055,19.65900001525879,-0.3886704652041121
2024-10-28,218.71441650390625,92.33692932128906,19.799999237060547,19.8125,-0.30670045539781066
2024-10-29,216.19265747070312,91.35319519042969,19.34000015258789,19.816499996185303,-0.4409824017290034
2024-10-30,217.6572265625,91.29531860351562,20.350000381469727,19.889000034332277,-0.4111538241047094
2024-10-31,215.2421417236328,90.37908935546875,23.15999984741211,20.022500038146973,-0.5377737289460739
2024-11-01,216.2314453125,90.01260375976562,21.8799991607666,20.15600004196167,-0.5426830221897605
2024-11-04,213.16653442382812,90.28263854980469,21.979999542236328,20.123000049591063,-0.5937074930409063
2024-11-05,214.82508850097656,90.90953826904297,20.489999771118164,20.076500034332277,-0.5069290265810147
2024-11-06,239.62564086914062,87.01313781738281,16.270000457763672,19.84700002670288,-0.22503562068047347
2024-11-07,229.26702880859375,87.54359436035156,15.199999809265137,19.56050000190735,-0.4267379206597367
2024-11-08,229.84896850585938,89.27960968017578,14.9399995803833,19.28450002670288,-0.28025210992570765
2024-11-11,232.08946228027344,88.6912841796875,14.970000267028809,19.048000001907347,-0.272873706890281
2024-11-12,232.35134887695312,88.24764251708984,14.710000038146973,18.751500034332274,-0.300703817437573
2024-11-13,233.9031982421875,87.83292388916016,14.020000457763672,18.473500061035157,-0.2961460654126294
2024-11-14,234.59181213378906,88.19941711425781,14.3100004196167,18.233500051498414,-0.2519872468377054
2024-11-15,237.92831420898438,90.23441314697266,16.139999389648438,18.13899998664856,-0.018184424164711905
2024-11-18,237.65675354003906,91.25674438476562,15.579999923706055,17.99949994087219,0.05371188856927506
2024-11-19,235.77511596679688,90.28263854980469,16.350000381469727,17.906999921798707,-0.06485973857375392
2024-11-20,233.5346221923828,90.57198333740234,17.15999984741211,17.802999925613403,-0.09512191498609125
2024-11-21,237.3948516845703,90.89988708496094,16.8700008392334,17.692499971389772,0.020272014906683244
2024-11-22,241.07081604003906,91.54607391357422,15.239999771118164,17.437999963760376,0.15571687708520296
2024-11-25,242.75843811035156,91.95114135742188,14.600000381469727,17.178000020980836,0.22619640011614828
2024-11-26,242.44808959960938,93.1470718383789,14.100000381469727,16.916000032424925,0.3104725724725686
2024-11-27,242.27349853515625,93.32067108154297,14.100000381469727,16.603500032424925,0.3196757963023254
2024-11-29,242.2056121826172,93.1952896118164,13.510000228881836,16.121000051498413,0.3084912258673316
2024-12-02,238.8400421142578,93.6582260131836,13.34000015258789,15.694000101089477,0.26519845111581947
2024-12-03,237.45306396484375,91.2470932006836,13.300000190734863,15.260000133514405,0.0482085969673582
2024-12-04,236.07579040527344,91.43997955322266,13.449999809265137,14.908000135421753,0.03075554184144871
2024-12-05,238.09320068359375,91.71967315673828,13.539999961853027,14.77150011062622,0.09935326737789425
2024-12-06,239.91664123535156,90.88060760498047,12.770000457763672,14.650000143051148,0.07778471911888016
2024-12-09,236.4734344482422,89.6364517211914,14.1899995803833,14.612500143051147,-0.09798373416851201
2024-12-10,235.55203247070312,90.55268096923828,14.180000305175781,14.573000144958495,-0.04940913072353061
2024-12-11,236.2018585205078,89.46286010742188,13.579999923706055,14.51650013923645,-0.1176228718675351
2024-12-12,234.26205444335938,90.23441314697266,13.920000076293945,14.511500120162964,-0.10394359665676234
2024-12-13,232.7198944091797,90.11868286132812,13.8100004196167,14.486500120162964,-0.14887488764870074
2024-12-16,232.3707275390625,89.6171646118164,14.6899995803833,14.414000129699707,-0.19542826479719586
2024-12-17,231.1874542236328,90.16690826416016,15.869999885559082,14.428500127792358,-0.18102976415685712
2024-12-18,223.43785095214844,89.45320892333984,27.6200008392334,14.992000150680543,-0.4169303525316294
2024-12-19,225.949951171875,89.6171646118164,24.09000015258789,15.338500165939331,-0.3456196050751928
2024-12-20,230.4503173828125,88.75879669189453,18.360000610351562,15.41300015449524,-0.3060483407310514
2024-12-23,231.216552734375,88.64307403564453,16.780000686645508,15.490000200271606,-0.29698230703020234
2024-12-24,235.01858520507812,89.10600280761719,14.270000457763672,15.473500204086303,-0.17261497014467295
2024-12-26,235.82362365722656,89.08670043945312,14.729999542236328,15.505000162124634,-0.15526133422725186
2024-12-27,233.91290283203125,88.54662322998047,15.949999809265137,15.597500133514405,-0.2412930155492635
2024-12-30,232.11856079101562,87.56288146972656,17.399999618530273,15.792000102996827,-0.3585601995920115
2024-12-31,232.49684143066406,87.67860412597656,17.350000381469727,15.992500114440919,-0.34085433206795207
2025-01-02,232.778076171875,87.33140563964844,17.93000030517578,16.224000120162962,-0.36085016839991657
2025-01-03,235.95941162109375,86.94563293457031,16.1299991607666,16.358000087738038,-0.31596085555019215
2025-01-06,234.80897521972656,84.42839813232422,16.040000915527344,16.483000135421754,-0.5355386242464343
2025-01-07,237.07080078125,84.28372192382812,17.81999969482422,16.73550009727478,-0.49370463492331945
2025-01-08,237.0318145751953,84.35123443603516,17.700000762939453,16.911000156402586,-0.4894492190666815
2025-01-10,233.8535614013672,83.29035186767578,19.540000915527344,17.179000186920167,-0.6449924096334
2025-01-13,238.08473205566406,84.00404357910156,19.190000534057617,17.459500217437743,-0.4913936847149528
2025-01-14,241.262939453125,84.55377960205078,18.709999084472656,17.69900016784668,-0.37497436182474353
2025-01-15,246.0205535888672,84.73703002929688,16.1200008392334,17.814500188827516,-0.24966095734559082
2025-01-16,247.8924102783203,85.41213989257812,16.600000381469727,17.910000228881835,-0.15420306063859648
2025-01-17,252.6597442626953,85.53753662109375,15.970000267028809,17.915000247955323,-0.033090376088923304
2025-01-21,256.43267822265625,85.5763168334961,15.0600004196167,17.287000226974488,0.05813227183283489
