Date,KO,ADI,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,187.79685974121094,13.3100004196167,13.347500038146972,-1.3540011230486912
2024-01-31,55.6896858215332,185.50172424316406,14.350000381469727,13.405000066757202,-1.3931529308828532
2024-02-01,57.084495544433594,185.16419982910156,13.880000114440918,13.397000074386597,-1.0310451585273492
2024-02-02,56.672603607177734,185.2509765625,13.850000381469727,13.383000087738036,-1.137650147446247
2024-02-05,56.20454788208008,185.69459533691406,13.670000076293945,13.399000072479248,-1.2675303695451863
2024-02-06,56.110931396484375,182.94619750976562,13.0600004196167,13.39800009727478,-1.2216438878720122
2024-02-07,56.157737731933594,185.12564086914062,12.829999923706055,13.40150008201599,-1.2649843376746435
2024-02-08,56.00796127319336,187.14109802246094,12.789999961853027,13.406500101089478,-1.3540011233575069
2024-02-09,55.755210876464844,188.06687927246094,12.930000305175781,13.431000137329102,-1.441518554259061
2024-02-12,55.886268615722656,187.1314697265625,13.930000305175781,13.492500162124633,-1.3846040657579937
2024-02-13,55.558624267578125,178.10519409179688,15.850000381469727,13.593000173568726,-1.239021557417157
2024-02-14,55.5024528503418,179.67706298828125,14.380000114440918,13.57250018119812,-1.2930751792362722
2024-02-15,55.60543441772461,180.85357666015625,14.010000228881836,13.566500186920166,-1.2967721882410754
2024-02-16,55.596065521240234,181.52859497070312,14.239999771118164,13.613500165939332,-1.3162451455762283
2024-02-20,56.822383880615234,182.647216796875,15.420000076293945,13.725000190734864,-1.0337307746235362
2024-02-21,57.327884674072266,186.813232421875,15.34000015258789,13.864500188827515,-1.0111202974431264
2024-02-22,57.24363708496094,185.06776428222656,14.539999961853027,13.934500169754028,-0.9882630388333616
2024-02-23,57.290443420410156,183.33192443847656,13.75,13.949500179290771,-0.9324299306923766
2024-02-26,56.83173751831055,182.27114868164062,13.739999771118164,13.973500156402588,-1.0218340503693715
2024-02-27,56.48537826538086,182.32904052734375,13.430000305175781,13.96500015258789,-1.1110960723856256
2024-02-28,56.54155349731445,181.0657196044922,13.84000015258789,13.99150013923645,-1.064856959211779
2024-02-29,56.18582534790039,184.98098754882812,13.399999618530273,13.944000101089477,-1.2542006016203462
2024-03-01,55.72712326049805,189.166259765625,13.109999656677246,13.905500078201294,-1.4764853916843046
2024-03-04,55.98923873901367,188.60426330566406,13.489999771118164,13.887500047683716,-1.395808702877491
2024-03-05,55.7177619934082,183.8954620361328,14.460000038146973,13.927000045776367,-1.3453497537326167
2024-03-06,55.74584197998047,185.73635864257812,14.5,13.999000024795532,-1.3848616444054023
2024-03-07,55.64287185668945,192.07290649414062,14.4399995803833,14.079500007629395,-1.5714664976076456
2024-03-08,55.7177619934082,189.84446716308594,14.739999771118164,14.17699999809265,-1.4960371942206623
2024-03-11,56.39176559448242,192.04383850097656,15.220000267028809,14.291499996185303,-1.3808995729908449
2024-03-12,56.635154724121094,193.0030517578125,13.84000015258789,14.286999988555909,-1.343501687776818
2024-03-13,57.21555709838867,192.42169189453125,13.75,14.181999969482423,-1.1816547173613234
2024-03-14,57.08816909790039,188.3814239501953,14.399999618530273,14.18299994468689,-1.111605803270273
2024-03-15,56.50312805175781,189.12750244140625,14.40999984741211,14.202999925613403,-1.2788008897987393
2024-03-18,56.739036560058594,185.2712860107422,14.329999923706055,14.207499933242797,-1.1213250646286608
2024-03-19,56.83338928222656,184.6124725341797,13.819999694824219,14.127499914169311,-1.08072075389519
2024-03-20,57.32406997680664,188.27487182617188,13.039999961853027,14.012499904632568,-1.0491103672303712
2024-03-21,57.05985641479492,189.07901000976562,12.920000076293945,13.931499910354614,-1.136452296069197
2024-03-22,57.078731536865234,187.49005126953125,13.0600004196167,13.896999931335449,-1.0914197082615664
2024-03-25,56.99380874633789,184.69964599609375,13.1899995803833,13.869499921798706,-1.0422654940051173
2024-03-26,57.125911712646484,183.0816192626953,13.239999771118164,13.859999895095825,-0.9677954651328101
2024-03-27,57.58827590942383,187.31565856933594,12.779999732971191,13.80699987411499,-0.9578423430977006
2024-03-28,57.72981643676758,191.63687133789062,13.010000228881836,13.787499904632568,-1.0314201466157527
2024-04-01,57.25801467895508,190.5032958984375,13.649999618530273,13.81449990272522,-1.122299816748996
2024-04-02,56.757904052734375,188.8174285888672,14.609999656677246,13.870499897003175,-1.206365785321446
2024-04-03,56.45594787597656,189.28250122070312,14.329999923706055,13.863999891281129,-1.294686283713738
2024-04-04,55.95583724975586,185.97857666015625,16.350000381469727,13.956499910354614,-1.3377670958592582
2024-04-05,56.15399169921875,188.70115661621094,16.030000686645508,14.035999965667724,-1.3565011846725274
2024-04-08,55.92753601074219,190.5711212158203,15.1899995803833,14.058499956130982,-1.4612694238442854
2024-04-09,56.35215377807617,197.76995849609375,14.979999542236328,14.046499919891357,-1.5359822241481498
2024-04-10,55.59726333618164,190.22232055664062,15.800000190734863,14.144499921798706,-1.5361523349814337
2024-04-11,55.719932556152344,192.46044921875,14.90999984741211,14.202499914169312,-1.5617494444995785
2024-04-12,54.99336624145508,186.2886199951172,17.309999465942383,14.347999906539917,-1.5895889518129498
2024-04-15,54.86125183105469,184.3701934814453,19.229999542236328,14.588999891281128,-1.57448403166819
2024-04-16,54.7857666015625,185.28097534179688,18.399999618530273,14.792499876022339,-1.61668810661968
2024-04-17,55.21038818359375,183.53697204589844,18.209999084472656,15.01199984550476,-1.4648790800335851
2024-04-18,55.587833404541016,181.74452209472656,18.0,15.259999847412109,-1.3238012369391934
2024-04-19,56.776771545410156,177.6558380126953,18.709999084472656,15.549499797821046,-0.9188617498564465
2024-04-22,57.135345458984375,180.51405334472656,16.940000534057617,15.743499803543092,-0.9003681120621675
2024-04-23,57.22026443481445,184.02142333984375,15.6899995803833,15.868499803543092,-0.967683906102739
2024-04-24,58.07894515991211,190.38705444335938,15.970000267028809,16.004999828338622,-0.9112648260950026
2024-04-25,58.258235931396484,191.78224182128906,15.369999885559082,16.13449983596802,-0.9011578442458602
2024-04-26,58.258235931396484,195.68685913085938,15.029999732971191,16.235499811172485,-1.0000612366465005
2024-04-29,58.541316986083984,197.5568389892578,14.670000076293945,16.28649983406067,-0.975671772970593
2024-04-30,58.28654479980469,194.3691864013672,15.649999618530273,16.33849983215332,-0.9595090050293701
2024-05-01,58.43751907348633,187.8582305908203,15.390000343322754,16.391499853134157,-0.7563182639531083
2024-05-02,58.494140625,190.37733459472656,14.680000305175781,16.307999849319458,-0.8057742940607955
2024-05-03,58.66398620605469,193.419677734375,13.489999771118164,16.18099980354309,-0.8397837098489849
2024-05-06,58.83383560180664,196.994873046875,13.489999771118164,16.095999813079835,-0.8872892272462556
2024-05-07,59.08860778808594,197.2371063232422,13.229999542236328,16.008499813079833,-0.828844949514139
2024-05-08,59.305641174316406,198.48696899414062,13.0,15.868499803543092,-0.805489862830149
2024-05-09,59.333946228027344,198.4191436767578,12.6899995803833,15.75749979019165,-0.7965970525668914
2024-05-10,59.6925163269043,200.7444610595703,12.550000190734863,15.519499826431275,-0.7646061536547616
2024-05-13,59.994476318359375,201.89744567871094,13.600000381469727,15.237999868392944,-0.7172698447345786
2024-05-14,59.54153823852539,205.34671020507812,13.420000076293945,14.988999891281129,-0.9194505975871653
2024-05-15,59.56985092163086,209.03819274902344,12.449999809265137,14.700999927520751,-1.0057785784819537
2024-05-16,59.7491340637207,207.45889282226562,12.420000076293945,14.42199993133545,-0.9203301968013536
2024-05-17,59.47549057006836,207.42015075683594,11.989999771118164,14.085999965667725,-0.9887124030101981
2024-05-20,59.04143142700195,210.71435546875,12.149999618530273,13.846499919891357,-1.182180053753093
2024-05-21,59.36225509643555,209.90048217773438,11.859999656677246,13.654999923706054,-1.0802419265059418
2024-05-22,59.44717788696289,232.6888427734375,12.289999961853027,13.470999908447265,-1.6359414602232025
2024-05-23,58.588497161865234,227.26303100585938,12.770000457763672,13.340999937057495,-1.7161660282464002
2024-05-24,58.503578186035156,225.2767791748047,11.930000305175781,13.185999965667724,-1.687379937564792
2024-05-28,58.33372116088867,226.1778564453125,12.920000076293945,13.098499965667724,-1.753259691974154
2024-05-29,58.220497131347656,221.0524139404297,14.279999732971191,13.02999997138977,-1.65213315977555
2024-05-30,58.47526168823242,222.84486389160156,14.470000267028809,12.983999967575073,-1.6329575803856413
2024-05-31,59.381134033203125,227.1951904296875,12.920000076293945,12.895999956130982,-1.5135289287705926
2024-06-03,59.381134033203125,224.9861297607422,13.109999656677246,12.876999950408935,-1.4575737411413188
2024-06-04,60.334171295166016,224.3441162109375,13.15999984741211,12.860499954223632,-1.1997344068735134
2024-06-05,60.31529998779297,229.2564697265625,12.630000114440918,12.830499982833862,-1.3289471372980755
2024-06-06,60.53232955932617,230.9393310546875,12.579999923706055,12.809499979019165,-1.316560811006606
2024-06-07,60.30586242675781,228.3712921142578,12.220000267028809,12.78600001335144,-1.3089179624759888
2024-06-10,60.003910064697266,228.95492553710938,12.739999771118164,12.795499992370605,-1.4002406216229055
2024-06-11,59.96615982055664,229.85958862304688,12.850000381469727,12.757999992370605,-1.4327245918130593
2024-06-12,59.333946228027344,231.94126892089844,12.039999961853027,12.68899998664856,-1.6457076424826815
2024-06-13,59.43775177001953,227.65142822265625,11.9399995803833,12.663499975204468,-1.510733822706296
