Date,PEP,LOW,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,205.50328063964844,13.3100004196167,13.347500038146972,1.0395623835178351
2024-01-31,155.63519287109375,203.89390563964844,14.350000381469727,13.405000066757202,0.9703742337857801
2024-02-01,158.56263732910156,210.9732666015625,13.880000114440918,13.397000074386597,1.141859191780501
2024-02-02,157.8885040283203,210.2643585205078,13.850000381469727,13.383000087738036,1.0909514502054882
2024-02-05,157.84231567382812,208.84657287597656,13.670000076293945,13.399000072479248,1.1044322569294909
2024-02-06,158.30404663085938,208.95193481445312,13.0600004196167,13.39800009727478,1.1440119392788985
2024-02-07,158.3502197265625,212.3719024658203,12.829999923706055,13.40150008201599,1.1057166207852396
2024-02-08,160.5481414794922,211.12652587890625,12.789999961853027,13.406500101089478,1.3157726331980835
2024-02-09,154.84100341796875,212.9179229736328,12.930000305175781,13.431000137329102,0.7882150143375253
2024-02-12,157.55606079101562,220.19851684570312,13.930000305175781,13.492500162124633,0.938399589603669
2024-02-13,155.9584197998047,215.9547119140625,15.850000381469727,13.593000173568726,0.8495251031850728
2024-02-14,154.7024688720703,217.39161682128906,14.380000114440918,13.57250018119812,0.7205052776693086
2024-02-15,155.01644897460938,218.73280334472656,14.010000228881836,13.566500186920166,0.7316862421834328
2024-02-16,153.5942840576172,217.3150177001953,14.239999771118164,13.613500165939332,0.6233268189752954
2024-02-20,155.74600219726562,216.0313262939453,15.420000076293945,13.725000190734864,0.8297664230339763
2024-02-21,155.9122314453125,218.21546936035156,15.34000015258789,13.864500188827515,0.8174175067114888
2024-02-22,155.3765869140625,220.82115173339844,14.539999961853027,13.934500169754028,0.7376947780597715
2024-02-23,156.62332153320312,222.78500366210938,13.75,13.949500179290771,0.8237527345312733
2024-02-26,155.38583374023438,221.5971221923828,13.739999771118164,13.973500156402588,0.72889691972639
2024-02-27,155.29348754882812,225.49607849121094,13.430000305175781,13.96500015258789,0.6723998347161262
2024-02-28,154.2499542236328,228.7627410888672,13.84000015258789,13.99150013923645,0.5395129069587213
2024-02-29,153.8544921875,230.55413818359375,13.399999618530273,13.944000101089477,0.4822945699554014
2024-03-01,153.1565704345703,234.4051513671875,13.109999656677246,13.905500078201294,0.37276902877179774
2024-03-04,153.88238525390625,231.9240264892578,13.489999771118164,13.887500047683716,0.4677873432090317
