Date,PEP,KRE,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,49.64396667480469,13.3100004196167,13.347500038146972,0.39620917488504426
2024-01-31,155.63519287109375,46.738121032714844,14.350000381469727,13.405000066757202,0.21430357260347813
2024-02-01,158.56263732910156,45.28049087524414,13.880000114440918,13.397000074386597,0.427897318565474
2024-02-02,157.8885040283203,45.48737335205078,13.850000381469727,13.383000087738036,0.37461119405065657
2024-02-05,157.84231567382812,44.735050201416016,13.670000076293945,13.399000072479248,0.3465594089581781
2024-02-06,158.30404663085938,44.170814514160156,13.0600004196167,13.39800009727478,0.369605288658176
2024-02-07,158.3502197265625,44.057960510253906,12.829999923706055,13.40150008201599,0.3701134562782101
2024-02-08,160.5481414794922,44.23664855957031,12.789999961853027,13.406500101089478,0.5710067648004836
2024-02-09,154.84100341796875,45.01717758178711,12.930000305175781,13.431000137329102,0.0889839680706469
2024-02-12,157.55606079101562,45.98579788208008,13.930000305175781,13.492500162124633,0.3609527480736556
2024-02-13,155.9584197998047,44.039154052734375,15.850000381469727,13.593000173568726,0.1570908773840194
2024-02-14,154.7024688720703,44.8573112487793,14.380000114440918,13.57250018119812,0.07159101953442791
2024-02-15,155.01644897460938,46.28672409057617,14.010000228881836,13.566500186920166,0.14498094064884187
2024-02-16,153.5942840576172,45.80710983276367,14.239999771118164,13.613500165939332,0.0034054772884592995
2024-02-20,155.74600219726562,45.44976806640625,15.420000076293945,13.725000190734864,0.18313118074564452
2024-02-21,155.9122314453125,45.148834228515625,15.34000015258789,13.864500188827515,0.18831456405719968
2024-02-22,155.3765869140625,45.1112174987793,14.539999961853027,13.934500169754028,0.13954465050284479
2024-02-23,156.62332153320312,45.01717758178711,13.75,13.949500179290771,0.24727770415220035
2024-02-26,155.38583374023438,44.593990325927734,13.739999771118164,13.973500156402588,0.12390035558877419
2024-02-27,155.29348754882812,45.148834228515625,13.430000305175781,13.96500015258789,0.13336181335854555
2024-02-28,154.2499542236328,44.65981674194336,13.84000015258789,13.99150013923645,0.025114565248182792
