Date,KO,TXN,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,152.04049682617188,13.3100004196167,13.347500038146972,-1.0082529006882097
2024-01-31,55.6896858215332,150.22972106933594,14.350000381469727,13.405000066757202,-1.0293923535901897
2024-02-01,57.084495544433594,149.82626342773438,13.880000114440918,13.397000074386597,-0.7510048978620251
2024-02-02,56.672603607177734,149.3665313720703,13.850000381469727,13.383000087738036,-0.8165072098532019
2024-02-05,56.20454788208008,149.08506774902344,13.670000076293945,13.399000072479248,-0.8978951529462788
2024-02-06,56.110931396484375,148.58779907226562,13.0600004196167,13.39800009727478,-0.9014471125187735
2024-02-07,56.157737731933594,148.96311950683594,12.829999923706055,13.40150008201599,-0.9033276824770071
2024-02-08,56.00796127319336,150.3141632080078,12.789999961853027,13.406500101089478,-0.9709623315241919
2024-02-09,55.755210876464844,152.36886596679688,12.930000305175781,13.431000137329102,-1.0785974648069876
2024-02-12,55.886268615722656,151.1304473876953,13.930000305175781,13.492500162124633,-1.0177929686620126
2024-02-13,55.558624267578125,147.16168212890625,15.850000381469727,13.593000173568726,-0.9659123910200373
2024-02-14,55.5024528503418,148.11868286132812,14.380000114440918,13.57250018119812,-1.0042738443843926
2024-02-15,55.60543441772461,150.78326416015625,14.010000228881836,13.566500186920166,-1.061479962446111
2024-02-16,55.596065521240234,150.47366333007812,14.239999771118164,13.613500165939332,-1.0543365322045142
2024-02-20,56.822383880615234,152.6879119873047,15.420000076293945,13.725000190734864,-0.88371889132234
2024-02-21,57.327884674072266,153.94509887695312,15.34000015258789,13.864500188827515,-0.8233295087560653
2024-02-22,57.24363708496094,155.21170043945312,14.539999961853027,13.934500169754028,-0.8759953920556716
2024-02-23,57.290443420410156,153.57920837402344,13.75,13.949500179290771,-0.8199301089831925
2024-02-26,56.83173751831055,154.15151977539062,13.739999771118164,13.973500156402588,-0.9241701013333643
2024-02-27,56.48537826538086,154.7519989013672,13.430000305175781,13.96500015258789,-1.0077378319563086
2024-02-28,56.54155349731445,152.96932983398438,13.84000015258789,13.99150013923645,-0.9455467028948688
2024-02-29,56.18582534790039,156.99436950683594,13.399999618530273,13.944000101089477,-1.1297396153064143
2024-03-01,55.72712326049805,160.484619140625,13.109999656677246,13.905500078201294,-1.3181911339932444
2024-03-04,55.98923873901367,161.7887420654297,13.489999771118164,13.887500047683716,-1.3057013733471639
2024-03-05,55.7177619934082,160.09994506835938,14.460000038146973,13.927000045776367,-1.3088796165672527
2024-03-06,55.74584197998047,161.25393676757812,14.5,13.999000024795532,-1.3368140176252796
2024-03-07,55.64287185668945,164.44393920898438,14.4399995803833,14.079500007629395,-1.4485701182618893
2024-03-08,55.7177619934082,161.65740966796875,14.739999771118164,14.17699999809265,-1.3538283429993772
2024-03-11,56.39176559448242,163.43063354492188,15.220000267028809,14.291499996185303,-1.2761073880309934
2024-03-12,56.635154724121094,164.00296020507812,13.84000015258789,14.286999988555909,-1.2460790764966994
2024-03-13,57.21555709838867,162.01390075683594,13.75,14.181999969482423,-1.0776782153540594
2024-03-14,57.08816909790039,160.5690460205078,14.399999618530273,14.18299994468689,-1.0603411287420144
2024-03-15,56.50312805175781,161.86380004882812,14.40999984741211,14.202999925613403,-1.2095913027872496
2024-03-18,56.739036560058594,158.7582550048828,14.329999923706055,14.207499933242797,-1.074849504942385
2024-03-19,56.83338928222656,156.45956420898438,13.819999694824219,14.127499914169311,-0.990464821885858
2024-03-20,57.32406997680664,159.48068237304688,13.039999961853027,14.012499904632568,-0.9838170311199315
2024-03-21,57.05985641479492,161.92947387695312,12.920000076293945,13.931499910354614,-1.1050178582170374
2024-03-22,57.078731536865234,161.82627868652344,13.0600004196167,13.896999931335449,-1.0984299444957513
2024-03-25,56.99380874633789,160.2969512939453,13.1899995803833,13.869499921798706,-1.0705339086370576
2024-03-26,57.125911712646484,157.53854370117188,13.239999771118164,13.859999895095825,-0.9656623492869162
2024-03-27,57.58827590942383,162.19216918945312,12.779999732971191,13.80699987411499,-1.0115442830331824
2024-03-28,57.72981643676758,163.44940185546875,13.010000228881836,13.787499904632568,-1.0207600297286985
2024-04-01,57.25801467895508,162.4736328125,13.649999618530273,13.81449990272522,-1.082826577296467
2024-04-02,56.757904052734375,159.8372039794922,14.609999656677246,13.870499897003175,-1.102379957124317
2024-04-03,56.45594787597656,159.81846618652344,14.329999923706055,13.863999891281129,-1.1595853189494023
2024-04-04,55.95583724975586,158.12025451660156,16.350000381469727,13.956499910354614,-1.2062158256718538
2024-04-05,56.15399169921875,157.15386962890625,16.030000686645508,14.035999965667724,-1.1404306904286097
2024-04-08,55.92753601074219,158.99281311035156,15.1899995803833,14.058499956130982,-1.2368103662812726
2024-04-09,56.35215377807617,162.7457275390625,14.979999542236328,14.046499919891357,-1.2639162384849458
2024-04-10,55.59726333618164,158.4861602783203,15.800000190734863,14.144499921798706,-1.285349657380833
2024-04-11,55.719932556152344,160.6253204345703,14.90999984741211,14.202499914169312,-1.323626951490501
2024-04-12,54.99336624145508,156.05612182617188,17.309999465942383,14.347999906539917,-1.33070764070024
2024-04-15,54.86125183105469,156.0749053955078,19.229999542236328,14.588999891281128,-1.3565153149594482
2024-04-16,54.7857666015625,157.23829650878906,18.399999618530273,14.792499876022339,-1.404526810159258
2024-04-17,55.21038818359375,155.4650421142578,18.209999084472656,15.01199984550476,-1.2721456629324401
2024-04-18,55.587833404541016,153.56044006347656,18.0,15.259999847412109,-1.144995810574358
2024-04-19,56.776771545410156,149.81687927246094,18.709999084472656,15.549499797821046,-0.809583246533832
2024-04-22,57.135345458984375,153.3352508544922,16.940000534057617,15.743499803543092,-0.8425504023879156
2024-04-23,57.22026443481445,155.24925231933594,15.6899995803833,15.868499803543092,-0.8815489351192118
2024-04-24,58.07894515991211,164.01231384277344,15.970000267028809,16.004999828338622,-0.9702383554592294
2024-04-25,58.258235931396484,164.42515563964844,15.369999885559082,16.13449983596802,-0.9478654585117273
2024-04-26,58.258235931396484,166.5174102783203,15.029999732971191,16.235499811172485,-1.0082483278261198
2024-04-29,58.541316986083984,168.2156219482422,14.670000076293945,16.28649983406067,-1.0031225843036622
2024-04-30,58.28654479980469,165.5229034423828,15.649999618530273,16.33849983215332,-0.9741328785607708
2024-05-01,58.43751907348633,164.37826538085938,15.390000343322754,16.391499853134157,-0.912226065494779
2024-05-02,58.494140625,164.9412078857422,14.680000305175781,16.307999849319458,-0.9176443811279715
2024-05-03,58.66398620605469,167.85910034179688,13.489999771118164,16.18099980354309,-0.9693740250866021
2024-05-06,58.83383560180664,170.44862365722656,13.489999771118164,16.095999813079835,-1.0116261432761353
2024-05-07,59.08860778808594,172.6221160888672,13.229999542236328,16.008499813079833,-1.025630885140978
2024-05-08,59.305641174316406,173.8317108154297,13.0,15.868499803543092,-1.019034527734017
2024-05-09,59.333946228027344,175.12637329101562,12.6899995803833,15.75749979019165,-1.050985672452789
2024-05-10,59.6925163269043,176.7611846923828,12.550000190734863,15.519499826431275,-1.0295936505163832
2024-05-13,59.994476318359375,177.4888458251953,13.600000381469727,15.237999868392944,-0.992847222438763
2024-05-14,59.54153823852539,180.6167755126953,13.420000076293945,14.988999891281129,-1.169739808580867
2024-05-15,59.56985092163086,184.7747344970703,12.449999809265137,14.700999927520751,-1.2843247795110295
2024-05-16,59.7491340637207,184.24554443359375,12.420000076293945,14.42199993133545,-1.2347661218221253
2024-05-17,59.47549057006836,184.29278564453125,11.989999771118164,14.085999965667725,-1.2884611291658359
2024-05-20,59.04143142700195,188.24285888671875,12.149999618530273,13.846499919891357,-1.485470525350648
2024-05-21,59.36225509643555,188.06329345703125,11.859999656677246,13.654999923706054,-1.4189338728376255
2024-05-22,59.44717788696289,191.3991241455078,12.289999961853027,13.470999908447265,-1.4989659395675423
2024-05-23,58.588497161865234,186.43792724609375,12.770000457763672,13.340999937057495,-1.519999059926083
2024-05-24,58.503578186035156,188.2239532470703,11.930000305175781,13.185999965667724,-1.5877840280167104
2024-05-28,58.33372116088867,188.62086486816406,12.920000076293945,13.098499965667724,-1.6317224527235654
2024-05-29,58.220497131347656,184.1888427734375,14.279999732971191,13.02999997138977,-1.5254664247986334
2024-05-30,58.47526168823242,184.91647338867188,14.470000267028809,12.983999967575073,-1.4977447769609475
2024-05-31,59.381134033203125,184.28334045410156,12.920000076293945,12.895999956130982,-1.3062332954196871
2024-06-03,59.381134033203125,183.06430053710938,13.109999656677246,12.876999950408935,-1.271051570099917
2024-06-04,60.334171295166016,182.66738891601562,13.15999984741211,12.860499954223632,-1.0773376560791226
2024-06-05,60.31529998779297,185.2944793701172,12.630000114440918,12.830499982833862,-1.1567649406419809
2024-06-06,60.53232955932617,185.4456787109375,12.579999923706055,12.809499979019165,-1.1196238193565156
2024-06-07,60.30586242675781,184.850341796875,12.220000267028809,12.78600001335144,-1.1457518856608464
2024-06-10,60.003910064697266,186.74977111816406,12.739999771118164,12.795499992370605,-1.2583151880034538
