Date,KO,PEP,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,156.6417999267578,13.3100004196167,13.347500038146972,-1.5790860059825573
2024-01-31,55.6896858215332,155.63519287109375,14.350000381469727,13.405000066757202,-1.6572952168958952
2024-02-01,57.084495544433594,158.56263732910156,13.880000114440918,13.397000074386597,-1.3830813852903916
2024-02-02,56.672603607177734,157.8885040283203,13.850000381469727,13.383000087738036,-1.4614496849079586
2024-02-05,56.20454788208008,157.84231567382812,13.670000076293945,13.399000072479248,-1.5406412052270255
2024-02-06,56.110931396484375,158.30404663085938,13.0600004196167,13.39800009727478,-1.5500277669084965
2024-02-07,56.157737731933594,158.3502197265625,12.829999923706055,13.40150008201599,-1.5415391609417364
2024-02-08,56.00796127319336,160.5481414794922,12.789999961853027,13.406500101089478,-1.536564467694495
2024-02-09,55.755210876464844,154.84100341796875,12.930000305175781,13.431000137329102,-1.6571784763436967
2024-02-12,55.886268615722656,157.55606079101562,13.930000305175781,13.492500162124633,-1.5979832701458625
2024-02-13,55.558624267578125,155.9584197998047,15.850000381469727,13.593000173568726,-1.674864190887421
2024-02-14,55.5024528503418,154.7024688720703,14.380000114440918,13.57250018119812,-1.701499539779675
2024-02-15,55.60543441772461,155.01644897460938,14.010000228881836,13.566500186920166,-1.679913289623452
2024-02-16,55.596065521240234,153.5942840576172,14.239999771118164,13.613500165939332,-1.7009705420717478
2024-02-20,56.822383880615234,155.74600219726562,15.420000076293945,13.725000190734864,-1.4656644415973756
2024-02-21,57.327884674072266,155.9122314453125,15.34000015258789,13.864500188827515,-1.3785434683624054
2024-02-22,57.24363708496094,155.3765869140625,14.539999961853027,13.934500169754028,-1.4000223744982645
2024-02-23,57.290443420410156,156.62332153320312,13.75,13.949500179290771,-1.3750851361912118
2024-02-26,56.83173751831055,155.38583374023438,13.739999771118164,13.973500156402588,-1.4690291121359977
2024-02-27,56.48537826538086,155.29348754882812,13.430000305175781,13.96500015258789,-1.528427435037953
2024-02-28,56.54155349731445,154.2499542236328,13.84000015258789,13.99150013923645,-1.5332961795536844
2024-02-29,56.18582534790039,153.8544921875,13.399999618530273,13.944000101089477,-1.5984199069302165
2024-03-01,55.72712326049805,153.1565704345703,13.109999656677246,13.905500078201294,-1.6849707656419752
2024-03-04,55.98923873901367,153.88238525390625,13.489999771118164,13.887500047683716,-1.6310329434743702
2024-03-05,55.7177619934082,150.7837371826172,14.460000038146973,13.927000045776367,-1.7190516376794673
2024-03-06,55.74584197998047,151.6770477294922,14.5,13.999000024795532,-1.7020996253558507
2024-03-07,55.64287185668945,151.77938842773438,14.4399995803833,14.079500007629395,-1.7179800339779976
2024-03-08,55.7177619934082,151.7235565185547,14.739999771118164,14.17699999809265,-1.706175377345162
2024-03-11,56.39176559448242,153.286865234375,15.220000267028809,14.291499996185303,-1.5716317278258067
2024-03-12,56.635154724121094,153.1100311279297,13.84000015258789,14.286999988555909,-1.5332039419168848
2024-03-13,57.21555709838867,153.81729125976562,13.75,14.181999969482423,-1.4260989039434426
2024-03-14,57.08816909790039,153.33338928222656,14.399999618530273,14.18299994468689,-1.4541096045235447
2024-03-15,56.50312805175781,153.2217254638672,14.40999984741211,14.202999925613403,-1.553833063908488
2024-03-18,56.739036560058594,159.36325073242188,14.329999923706055,14.207499933242797,-1.4300943614633614
2024-03-19,56.83338928222656,159.86572265625,13.819999694824219,14.127499914169311,-1.407373895492065
2024-03-20,57.32406997680664,159.9215545654297,13.039999961853027,14.012499904632568,-1.3242528648921745
2024-03-21,57.05985641479492,160.4705810546875,12.920000076293945,13.931499910354614,-1.3610765069057098
2024-03-22,57.078731536865234,160.07044982910156,13.0600004196167,13.896999931335449,-1.363390608012432
2024-03-25,56.99380874633789,160.6101837158203,13.1899995803833,13.869499921798706,-1.3702493144504437
2024-03-26,57.125911712646484,160.7311248779297,13.239999771118164,13.859999895095825,-1.3464200988791413
2024-03-27,57.58827590942383,161.5127716064453,12.779999732971191,13.80699987411499,-1.258107492241538
2024-03-28,57.72981643676758,162.85272216796875,13.010000228881836,13.787499904632568,-1.2159928890949308
2024-04-01,57.25801467895508,160.96376037597656,13.649999618530273,13.81449990272522,-1.3210605835019025
2024-04-02,56.757904052734375,159.53073120117188,14.609999656677246,13.870499897003175,-1.424633018708778
2024-04-03,56.45594787597656,157.89297485351562,14.329999923706055,13.863999891281129,-1.4977520358714038
2024-04-04,55.95583724975586,157.86509704589844,16.350000381469727,13.956499910354614,-1.5820727977819793
2024-04-05,56.15399169921875,157.39051818847656,16.030000686645508,14.035999965667724,-1.5553165589819824
2024-04-08,55.92753601074219,157.7999267578125,15.1899995803833,14.058499956130982,-1.5877157756387483
2024-04-09,56.35215377807617,158.75839233398438,14.979999542236328,14.046499919891357,-1.5033159917552936
2024-04-10,55.59726333618164,157.21371459960938,15.800000190734863,14.144499921798706,-1.651180469501736
2024-04-11,55.719932556152344,156.66468811035156,14.90999984741211,14.202499914169312,-1.6381136996580248
2024-04-12,54.99336624145508,156.42274475097656,17.309999465942383,14.347999906539917,-1.7633757615683314
2024-04-15,54.86125183105469,155.35263061523438,19.229999542236328,14.588999891281128,-1.800211310411831
2024-04-16,54.7857666015625,155.8644256591797,18.399999618530273,14.792499876022339,-1.8058687959604636
2024-04-17,55.21038818359375,157.70689392089844,18.209999084472656,15.01199984550476,-1.7093568432702972
2024-04-18,55.587833404541016,160.30308532714844,18.0,15.259999847412109,-1.6104363974020297
2024-04-19,56.776771545410156,162.03387451171875,18.709999084472656,15.549499797821046,-1.3871712673074172
2024-04-22,57.135345458984375,164.2020263671875,16.940000534057617,15.743499803543092,-1.2972826677721794
2024-04-23,57.22026443481445,159.32603454589844,15.6899995803833,15.868499803543092,-1.349834728527942
2024-04-24,58.07894515991211,165.0860137939453,15.970000267028809,16.004999828338622,-1.1267971091498021
2024-04-25,58.258235931396484,164.40670776367188,15.369999885559082,16.13449983596802,-1.1060118818363815
2024-04-26,58.258235931396484,163.3831329345703,15.029999732971191,16.235499811172485,-1.1200356579677881
2024-04-29,58.541316986083984,163.90423583984375,14.670000076293945,16.28649983406067,-1.0653836765712748
2024-04-30,58.28654479980469,163.69021606445312,15.649999618530273,16.33849983215332,-1.111077004354256
2024-05-01,58.43751907348633,162.98301696777344,15.390000343322754,16.391499853134157,-1.0954265888329227
2024-05-02,58.494140625,163.26219177246094,14.680000305175781,16.307999849319458,-1.0820982864188884
2024-05-03,58.66398620605469,163.91354370117188,13.489999771118164,16.18099980354309,-1.0446672892140436
2024-05-06,58.83383560180664,163.60650634765625,13.489999771118164,16.095999813079835,-1.020366334878442
2024-05-07,59.08860778808594,165.65365600585938,13.229999542236328,16.008499813079833,-0.9495576932312835
2024-05-08,59.305641174316406,165.0860137939453,13.0,15.868499803543092,-0.9209078451551246
2024-05-09,59.333946228027344,165.6908721923828,12.6899995803833,15.75749979019165,-0.9078700776065233
2024-05-10,59.6925163269043,167.30068969726562,12.550000190734863,15.519499826431275,-0.8256317358454731
2024-05-13,59.994476318359375,168.33358764648438,13.600000381469727,15.237999868392944,-0.7607991117974863
2024-05-14,59.54153823852539,167.37513732910156,13.420000076293945,14.988999891281129,-0.8499519818395656
2024-05-15,59.56985092163086,166.99363708496094,12.449999809265137,14.700999927520751,-0.8504268190230692
2024-05-16,59.7491340637207,170.39007568359375,12.420000076293945,14.42199993133545,-0.773801981443615
2024-05-17,59.47549057006836,169.5339813232422,11.989999771118164,14.085999965667725,-0.831459603015617
2024-05-20,59.04143142700195,167.7845458984375,12.149999618530273,13.846499919891357,-0.9282809379377678
2024-05-21,59.36225509643555,168.50111389160156,11.859999656677246,13.654999923706054,-0.8646161928093624
2024-05-22,59.44717788696289,169.44091796875,12.289999961853027,13.470999908447265,-0.8374866584911813
2024-05-23,58.588497161865234,166.81683349609375,12.770000457763672,13.340999937057495,-1.0175600655309545
2024-05-24,58.503578186035156,165.62576293945312,11.930000305175781,13.185999965667724,-1.0481315069797663
2024-05-28,58.33372116088867,161.3359832763672,12.920000076293945,13.098499965667724,-1.135413732087591
2024-05-29,58.220497131347656,159.26087951660156,14.279999732971191,13.02999997138977,-1.1828478543704386
2024-05-30,58.47526168823242,158.63742065429688,14.470000267028809,12.983999967575073,-1.148629919793048
2024-05-31,59.381134033203125,160.8893280029297,12.920000076293945,12.895999956130982,-0.9657349658385059
2024-06-03,59.381134033203125,159.33531188964844,13.109999656677246,12.876999950408935,-0.9870262026466503
2024-06-04,60.334171295166016,161.810546875,13.15999984741211,12.860499954223632,-0.7931553023826051
