Date,PEP,PG,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,148.4744873046875,13.3100004196167,13.347500038146972,0.7804377654667287
2024-01-31,155.63519287109375,148.14451599121094,14.350000381469727,13.405000066757202,0.6996787917554337
2024-02-01,158.56263732910156,150.06771850585938,13.880000114440918,13.397000074386597,0.912970580964885
2024-02-02,157.8885040283203,149.04013061523438,13.850000381469727,13.383000087738036,0.8769450512340773
2024-02-05,157.84231567382812,149.1532745361328,13.670000076293945,13.399000072479248,0.8703671803374441
2024-02-06,158.30404663085938,149.86033630371094,13.0600004196167,13.39800009727478,0.8949694170237439
2024-02-07,158.3502197265625,150.0111541748047,12.829999923706055,13.40150008201599,0.8956359802256179
2024-02-08,160.5481414794922,149.55862426757812,12.789999961853027,13.406500101089478,1.0982361606294233
2024-02-09,154.84100341796875,148.40847778320312,12.930000305175781,13.431000137329102,0.6242230027120651
2024-02-12,157.55606079101562,148.11622619628906,13.930000305175781,13.492500162124633,0.8685193176208977
2024-02-13,155.9584197998047,147.32432556152344,15.850000381469727,13.593000173568726,0.7463468737113477
2024-02-14,154.7024688720703,146.720947265625,14.380000114440918,13.57250018119812,0.6498747264346143
2024-02-15,155.01644897460938,148.02195739746094,14.010000228881836,13.566500186920166,0.6482404679050312
2024-02-16,153.5942840576172,148.49330139160156,14.239999771118164,13.613500165939332,0.5131507542229248
2024-02-20,155.74600219726562,149.4360809326172,15.420000076293945,13.725000190734864,0.6804646874882058
2024-02-21,155.9122314453125,151.21788024902344,15.34000015258789,13.864500188827515,0.6551275107534197
2024-02-22,155.3765869140625,151.36874389648438,14.539999961853027,13.934500169754028,0.6048442705602353
2024-02-23,156.62332153320312,151.8118438720703,13.75,13.949500179290771,0.7040979122183543
2024-02-26,155.38583374023438,151.04820251464844,13.739999771118164,13.973500156402588,0.6128307593903769
2024-02-27,155.29348754882812,150.1808624267578,13.430000305175781,13.96500015258789,0.6241634682204328
2024-02-28,154.2499542236328,150.88792419433594,13.84000015258789,13.99150013923645,0.5169522758799081
2024-02-29,153.8544921875,149.8414764404297,13.399999618530273,13.944000101089477,0.5057517769222244
2024-03-01,153.1565704345703,149.75662231445312,13.109999656677246,13.905500078201294,0.44653579902612994
2024-03-04,153.88238525390625,150.42599487304688,13.489999771118164,13.887500047683716,0.4951072520733849
2024-03-05,150.7837371826172,150.19970703125,14.460000038146973,13.927000045776367,0.22883038966293198
2024-03-06,151.6770477294922,150.43540954589844,14.5,13.999000024795532,0.3017788119987816
2024-03-07,151.77938842773438,151.42530822753906,14.4399995803833,14.079500007629395,0.28857727995199883
2024-03-08,151.7235565185547,151.17076110839844,14.739999771118164,14.17699999809265,0.28938735650057223
2024-03-11,153.286865234375,152.30206298828125,15.220000267028809,14.291499996185303,0.4009543586890124
2024-03-12,153.1100311279297,152.66029357910156,13.84000015258789,14.286999988555909,0.377448694807668
2024-03-13,153.81729125976562,153.00914001464844,13.75,14.181999969482423,0.431571763855175
2024-03-14,153.33338928222656,152.2549285888672,14.399999618530273,14.18299994468689,0.40608370575838737
2024-03-15,153.2217254638672,152.1417999267578,14.40999984741211,14.202999925613403,0.3988383891377484
2024-03-18,159.36325073242188,151.98153686523438,14.329999923706055,14.207499933242797,0.9402295042092442
2024-03-19,159.86572265625,152.56602478027344,13.819999694824219,14.127499914169311,0.9711437247486961
2024-03-20,159.9215545654297,152.71688842773438,13.039999961853027,14.012499904632568,0.972655068883451
2024-03-21,160.4705810546875,152.59432983398438,12.920000076293945,13.931499910354614,1.0234764084543901
2024-03-22,160.07044982910156,152.40576171875,13.0600004196167,13.896999931335449,0.9926595437180294
2024-03-25,160.6101837158203,151.0198974609375,13.1899995803833,13.869499921798706,1.0709519231348772
2024-03-26,160.7311248779297,151.3592987060547,13.239999771118164,13.859999895095825,1.0739435118324927
2024-03-27,161.5127716064453,153.3013916015625,12.779999732971191,13.80699987411499,1.0989085030572365
2024-03-28,162.85272216796875,152.9619598388672,13.010000228881836,13.787499904632568,1.2238453972907648
2024-04-01,160.96376037597656,151.38758850097656,13.649999618530273,13.81449990272522,1.0936816118569375
2024-04-02,159.53073120117188,151.378173828125,14.609999656677246,13.870499897003175,0.9684044779178969
2024-04-03,157.89297485351562,147.211181640625,14.329999923706055,13.863999891281129,0.9182857996885536
2024-04-04,157.86509704589844,146.55125427246094,16.350000381469727,13.956499910354614,0.9306200287908153
2024-04-05,157.39051818847656,147.1640625,16.030000686645508,14.035999965667724,0.8753414992639251
2024-04-08,157.7999267578125,147.1074676513672,15.1899995803833,14.058499956130982,0.9124598404086979
2024-04-09,158.75839233398438,147.69198608398438,14.979999542236328,14.046499919891357,0.9833039650406409
2024-04-10,157.21371459960938,148.23878479003906,15.800000190734863,14.144499921798706,0.8357966196597905
2024-04-11,156.66468811035156,146.9188995361328,14.90999984741211,14.202499914169312,0.817270870969844
2024-04-12,156.42274475097656,146.43814086914062,17.309999465942383,14.347999906539917,0.8068482474246647
2024-04-15,155.35263061523438,146.55125427246094,19.229999542236328,14.588999891281128,0.7106076233607588
2024-04-16,155.8644256591797,147.02264404296875,18.399999618530273,14.792499876022339,0.7448704641115353
2024-04-17,157.70689392089844,147.97482299804688,18.209999084472656,15.01199984550476,0.8848934642190573
2024-04-18,160.30308532714844,149.243408203125,18.0,15.259999847412109,1.0838345396549394
2024-04-19,162.03387451171875,150.04995727539062,18.709999084472656,15.549499797821046,1.2173385729093724
2024-04-22,164.2020263671875,152.32717895507812,16.940000534057617,15.743499803543092,1.3562140916343148
2024-04-23,159.32603454589844,153.238037109375,15.6899995803833,15.868499803543092,0.9088381388540125
2024-04-24,165.0860137939453,154.28176879882812,15.970000267028809,16.004999828338622,1.3898610830963893
2024-04-25,164.40670776367188,154.2343292236328,15.369999885559082,16.13449983596802,1.331437559383771
2024-04-26,163.3831329345703,153.03880310058594,15.029999732971191,16.235499811172485,1.268572082677456
2024-04-29,163.90423583984375,153.38986206054688,14.670000076293945,16.28649983406067,1.3063441432008347
2024-04-30,163.69021606445312,154.85107421875,15.649999618530273,16.33849983215332,1.254886992148946
2024-05-01,162.98301696777344,155.0408477783203,15.390000343322754,16.391499853134157,1.1887098375737262
2024-05-02,163.26219177246094,155.45834350585938,14.680000305175781,16.307999849319458,1.2038091806976479
2024-05-03,163.91354370117188,156.046630859375,13.489999771118164,16.18099980354309,1.2476755021396413
2024-05-06,163.60650634765625,156.0276641845703,13.489999771118164,16.095999813079835,1.2212134184115206
2024-05-07,165.65365600585938,157.28012084960938,13.229999542236328,16.008499813079833,1.37243695312941
2024-05-08,165.0860137939453,156.62539672851562,13.0,15.868499803543092,1.3373884347382323
2024-05-09,165.6908721923828,157.5457763671875,12.6899995803833,15.75749979019165,1.3697480180157586
2024-05-10,167.30068969726562,158.31436157226562,12.550000190734863,15.519499826431275,1.493508759206994
2024-05-13,168.33358764648438,157.38450622558594,13.600000381469727,15.237999868392944,1.6047768657574808
2024-05-14,167.37513732910156,157.28012084960938,13.420000076293945,14.988999891281129,1.5231841401194168
2024-05-15,166.99363708496094,157.9917449951172,12.449999809265137,14.700999927520751,1.4738439075926666
2024-05-16,170.39007568359375,159.27267456054688,12.420000076293945,14.42199993133545,1.742584882463199
2024-05-17,169.5339813232422,159.06394958496094,11.989999771118164,14.085999965667725,1.6722914046794264
2024-05-20,167.7845458984375,158.75082397460938,12.149999618530273,13.846499919891357,1.526107049261785
2024-05-21,168.50111389160156,159.7376251220703,11.859999656677246,13.654999923706054,1.5667617073448876
2024-05-22,169.44091796875,159.22525024414062,12.289999961853027,13.470999908447265,1.660530564779552
2024-05-23,166.81683349609375,157.02395629882812,12.770000457763672,13.340999937057495,1.4800298197219968
2024-05-24,165.62576293945312,156.8721160888672,11.930000305175781,13.185999965667724,1.3791294258127258
2024-05-28,161.3359832763672,154.7656707763672,12.920000076293945,13.098499965667724,1.050642977292636
2024-05-29,159.26087951660156,153.38037109375,14.279999732971191,13.02999997138977,0.8999458377418862
2024-05-30,158.63742065429688,154.26280212402344,14.470000267028809,12.983999967575073,0.8255934211131096
2024-05-31,160.8893280029297,156.12252807617188,12.920000076293945,12.895999956130982,0.9811507846572721
2024-06-03,159.33531188964844,156.22689819335938,13.109999656677246,12.876999950408935,0.842731446501879
2024-06-04,161.810546875,158.46615600585938,13.15999984741211,12.860499954223632,1.0093477036605318
2024-06-05,161.43833923339844,157.55528259277344,12.630000114440918,12.830499982833862,0.9971481112457372
2024-06-06,161.16848754882812,159.85147094726562,12.579999923706055,12.809499979019165,0.9221071587362921
2024-06-07,160.4134979248047,158.51364135742188,12.220000267028809,12.78600001335144,0.8859473338255194
2024-06-10,155.59283447265625,158.7887725830078,12.739999771118164,12.795499992370605,0.4576499976627919
2024-06-11,154.81442260742188,158.912109375,12.850000381469727,12.757999992370605,0.38672434800146427
2024-06-12,153.6514434814453,156.72979736328125,12.039999961853027,12.68899998664856,0.3337451132802779
