Date,PEP,CVX,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,136.21121215820312,13.3100004196167,13.347500038146972,0.8252812654601749
2024-01-31,155.63519287109375,133.77041625976562,14.350000381469727,13.405000066757202,0.7691198266796503
2024-02-01,158.56263732910156,134.1878204345703,13.880000114440918,13.397000074386597,1.0221888524308909
2024-02-02,157.8885040283203,138.1348114013672,13.850000381469727,13.383000087738036,0.9096051733266295
2024-02-05,157.84231567382812,138.21644592285156,13.670000076293945,13.399000072479248,0.9044273565079103
2024-02-06,158.30404663085938,138.23460388183594,13.0600004196167,13.39800009727478,0.9449830452777399
2024-02-07,158.3502197265625,138.03497314453125,12.829999923706055,13.40150008201599,0.9517444318651396
2024-02-08,160.5481414794922,139.78619384765625,12.789999961853027,13.406500101089478,1.1224354480174519
2024-02-09,154.84100341796875,137.04595947265625,12.930000305175781,13.431000137329102,0.6549465618767061
2024-02-12,157.55606079101562,137.98963928222656,13.930000305175781,13.492500162124633,0.8821796846791568
2024-02-13,155.9584197998047,136.64675903320312,15.850000381469727,13.593000173568726,0.7590460217208829
2024-02-14,154.7024688720703,137.01873779296875,14.380000114440918,13.57250018119812,0.6430709779244582
2024-02-15,155.01644897460938,141.67837524414062,14.010000228881836,13.566500186920166,0.6082269958292258
2024-02-16,153.5942840576172,141.8343048095703,14.239999771118164,13.613500165939332,0.4804668700517111
2024-02-20,155.74600219726562,141.25643920898438,15.420000076293945,13.725000190734864,0.6783593781250822
2024-02-21,155.9122314453125,142.57730102539062,15.34000015258789,13.864500188827515,0.6753060317578766
2024-02-22,155.3765869140625,142.56809997558594,14.539999961853027,13.934500169754028,0.6280988647396856
2024-02-23,156.62332153320312,141.8618621826172,13.75,13.949500179290771,0.7477492820069755
2024-02-26,155.38583374023438,141.669189453125,13.739999771118164,13.973500156402588,0.6409900471270161
2024-02-27,155.29348754882812,139.56871032714844,13.430000305175781,13.96500015258789,0.6610436392585073
2024-02-28,154.2499542236328,139.7338104248047,13.84000015258789,13.99150013923645,0.5666170740980907
2024-02-29,153.8544921875,139.43112182617188,13.399999618530273,13.944000101089477,0.5357388545861957
2024-03-01,153.1565704345703,140.16493225097656,13.109999656677246,13.905500078201294,0.46421242203382557
2024-03-04,153.88238525390625,136.56011962890625,13.489999771118164,13.887500047683716,0.5767666773697673
2024-03-05,150.7837371826172,137.2113800048828,14.460000038146973,13.927000045776367,0.2942154775344766
2024-03-06,151.6770477294922,136.05564880371094,14.5,13.999000024795532,0.3886741176499167
2024-03-07,151.77938842773438,137.0095977783203,14.4399995803833,14.079500007629395,0.38490378660317937
2024-03-08,151.7235565185547,137.47738647460938,14.739999771118164,14.17699999809265,0.3736870439763342
2024-03-11,153.286865234375,139.42193603515625,15.220000267028809,14.291499996185303,0.48570544391620846
2024-03-12,153.1100311279297,139.321044921875,13.84000015258789,14.286999988555909,0.47143514809109344
2024-03-13,153.81729125976562,141.1555633544922,13.75,14.181999969482423,0.5092891021529623
2024-03-14,153.33338928222656,142.81578063964844,14.399999618530273,14.18299994468689,0.4442304968979368
2024-03-15,153.2217254638672,142.67820739746094,14.40999984741211,14.202999925613403,0.4362115063854705
2024-03-18,159.36325073242188,142.54978942871094,14.329999923706055,14.207499933242797,0.9806153883251802
2024-03-19,159.86572265625,143.65963745117188,13.819999694824219,14.127499914169311,1.0101075252791591
2024-03-20,159.9215545654297,141.76092529296875,13.039999961853027,14.012499904632568,1.0405443457298025
2024-03-21,160.4705810546875,142.0452880859375,12.920000076293945,13.931499910354614,1.0852380166673428
2024-03-22,160.07044982910156,141.8618621826172,13.0600004196167,13.896999931335449,1.0523452877326471
2024-03-25,160.6101837158203,143.52206420898438,13.1899995803833,13.869499921798706,1.0777376536376184
2024-03-26,160.7311248779297,142.42137145996094,13.239999771118164,13.859999895095825,1.1032087253721956
2024-03-27,161.5127716064453,143.41200256347656,12.779999732971191,13.80699987411499,1.158970690162623
