Date,PEP,UPS,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,127.704345703125,13.3100004196167,13.347500038146972,-0.24820269772251352
2024-01-31,155.63519287109375,124.92242431640625,14.350000381469727,13.405000066757202,-0.20524730736050623
2024-02-01,158.56263732910156,125.37140655517578,13.880000114440918,13.397000074386597,0.11430761878533928
2024-02-02,157.8885040283203,124.87841033935547,13.850000381469727,13.383000087738036,0.06338231641157756
2024-02-05,157.84231567382812,122.43983459472656,13.670000076293945,13.399000072479248,0.19977206215562834
2024-02-06,158.30404663085938,128.46145629882812,13.0600004196167,13.39800009727478,-0.09596425562515744
2024-02-07,158.3502197265625,129.62351989746094,12.829999923706055,13.40150008201599,-0.15810544430188755
2024-02-08,160.5481414794922,130.22215270996094,12.789999961853027,13.406500101089478,0.06660326308082516
2024-02-09,154.84100341796875,128.76077270507812,12.930000305175781,13.431000137329102,-0.5222883066480658
2024-02-12,157.55606079101562,129.8083953857422,13.930000305175781,13.492500162124633,-0.2626327792806649
2024-02-13,155.9584197998047,127.56349182128906,15.850000381469727,13.593000173568726,-0.32070277798713936
2024-02-14,154.7024688720703,126.96482849121094,14.380000114440918,13.57250018119812,-0.4341824225514279
2024-02-15,155.01644897460938,129.39463806152344,14.010000228881836,13.566500186920166,-0.5384415985586847
2024-02-16,153.5942840576172,132.11874389648438,14.239999771118164,13.613500165939332,-0.8648218324599525
2024-02-20,155.74600219726562,132.323486328125,15.420000076293945,13.725000190734864,-0.622657556616631
2024-02-21,155.9122314453125,131.9940948486328,15.34000015258789,13.864500188827515,-0.5838697385250776
2024-02-22,155.3765869140625,133.29380798339844,14.539999961853027,13.934500169754028,-0.722718169271765
2024-02-23,156.62332153320312,132.31460571289062,13.75,13.949500179290771,-0.5185477185906916
2024-02-26,155.38583374023438,131.30860900878906,13.739999771118164,13.973500156402588,-0.6061540550773613
2024-02-27,155.29348754882812,131.9940948486328,13.430000305175781,13.96500015258789,-0.6569306057572202
2024-02-28,154.2499542236328,131.5489959716797,13.84000015258789,13.99150013923645,-0.7542604418836081
2024-02-29,153.8544921875,131.9851837158203,13.399999618530273,13.944000101089477,-0.8263278894853734
2024-03-01,153.1565704345703,131.80714416503906,13.109999656677246,13.905500078201294,-0.8983820716961096
2024-03-04,153.88238525390625,134.0772247314453,13.489999771118164,13.887500047683716,-0.9447211871085172
2024-03-05,150.7837371826172,133.2314910888672,14.460000038146973,13.927000045776367,-1.2614140455982448
2024-03-06,151.6770477294922,135.80426025390625,14.5,13.999000024795532,-1.3055817407090498
2024-03-07,151.77938842773438,136.5698699951172,14.4399995803833,14.079500007629395,-1.3380303272466794
2024-03-08,151.7235565185547,137.0594940185547,14.739999771118164,14.17699999809265,-1.373102681798108
2024-03-11,153.286865234375,137.76275634765625,15.220000267028809,14.291499996185303,-1.229414601413705
2024-03-12,153.1100311279297,140.1040802001953,13.84000015258789,14.286999988555909,-1.3864818798707395
2024-03-13,153.81729125976562,137.7716522216797,13.75,14.181999969482423,-1.1672996922416086
2024-03-14,153.33338928222656,136.99717712402344,14.399999618530273,14.18299994468689,-1.1793899399002052
2024-03-15,153.2217254638672,136.53424072265625,14.40999984741211,14.202999925613403,-1.1656476972844836
2024-03-18,159.36325073242188,135.0386505126953,14.329999923706055,14.207499933242797,-0.3534671008717264
2024-03-19,159.86572265625,136.38290405273438,13.819999694824219,14.127499914169311,-0.37232619545553
2024-03-20,159.9215545654297,137.7716522216797,13.039999961853027,14.012499904632568,-0.44651234636364573
2024-03-21,160.4705810546875,138.27020263671875,12.920000076293945,13.931499910354614,-0.4106826418067723
2024-03-22,160.07044982910156,139.11593627929688,13.0600004196167,13.896999931335449,-0.5071233126107914
2024-03-25,160.6101837158203,139.38299560546875,13.1899995803833,13.869499921798706,-0.45892582508410834
2024-03-26,160.7311248779297,128.005859375,13.239999771118164,13.859999895095825,0.2171240469691102
2024-03-27,161.5127716064453,131.1572723388672,12.779999732971191,13.80699987411499,0.12611342586309793
2024-03-28,162.85272216796875,132.31460571289062,13.010000228881836,13.787499904632568,0.21701575976990511
2024-04-01,160.96376037597656,131.41543579101562,13.649999618530273,13.81449990272522,0.046270057681946794
2024-04-02,159.53073120117188,132.77748107910156,14.609999656677246,13.870499897003175,-0.20216660295984903
2024-04-03,157.89297485351562,135.5549774169922,14.329999923706055,13.863999891281129,-0.5571092729182526
2024-04-04,157.86509704589844,133.53416442871094,16.350000381469727,13.956499910354614,-0.44285726502100387
2024-04-05,157.39051818847656,134.74490356445312,16.030000686645508,14.035999965667724,-0.5693197875349446
2024-04-08,157.7999267578125,133.63211059570312,15.1899995803833,14.058499956130982,-0.45624972378874157
2024-04-09,158.75839233398438,134.04161071777344,14.979999542236328,14.046499919891357,-0.36689397262944806
2024-04-10,157.21371459960938,131.0949249267578,15.800000190734863,14.144499921798706,-0.3778898260951209
2024-04-11,156.66468811035156,132.65286254882812,14.90999984741211,14.202499914169312,-0.5333384274505958
2024-04-12,156.42274475097656,129.0029296875,17.309999465942383,14.347999906539917,-0.3496027893864066
