Date,KO,UPS,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,127.704345703125,13.3100004196167,13.347500038146972,-1.1887249441666576
2024-01-31,55.6896858215332,124.92242431640625,14.350000381469727,13.405000066757202,-1.3972365393271928
2024-02-01,57.084495544433594,125.37140655517578,13.880000114440918,13.397000074386597,-1.0880936713522158
2024-02-02,56.672603607177734,124.87841033935547,13.850000381469727,13.383000087738036,-1.1961208116918731
2024-02-05,56.20454788208008,122.43983459472656,13.670000076293945,13.399000072479248,-1.4061025532514506
2024-02-06,56.110931396484375,128.46145629882812,13.0600004196167,13.39800009727478,-1.145828560925241
2024-02-07,56.157737731933594,129.62351989746094,12.829999923706055,13.40150008201599,-1.0821918670555837
2024-02-08,56.00796127319336,130.22215270996094,12.789999961853027,13.406500101089478,-1.0853507405600622
2024-02-09,55.755210876464844,128.76077270507812,12.930000305175781,13.431000137329102,-1.2054533123408289
2024-02-12,55.886268615722656,129.8083953857422,13.930000305175781,13.492500162124633,-1.1297169159174143
2024-02-13,55.558624267578125,127.56349182128906,15.850000381469727,13.593000173568726,-1.3016835089696441
2024-02-14,55.5024528503418,126.96482849121094,14.380000114440918,13.57250018119812,-1.3410934839911381
2024-02-15,55.60543441772461,129.39463806152344,14.010000228881836,13.566500186920166,-1.2069761064425
2024-02-16,55.596065521240234,132.11874389648438,14.239999771118164,13.613500165939332,-1.082414364987652
2024-02-20,56.822383880615234,132.323486328125,15.420000076293945,13.725000190734864,-0.8194386952487976
2024-02-21,57.327884674072266,131.9940948486328,15.34000015258789,13.864500188827515,-0.730252395930968
2024-02-22,57.24363708496094,133.29380798339844,14.539999961853027,13.934500169754028,-0.6873113031587211
2024-02-23,57.290443420410156,132.31460571289062,13.75,13.949500179290771,-0.7231077069919938
2024-02-26,56.83173751831055,131.30860900878906,13.739999771118164,13.973500156402588,-0.8646328368078711
2024-02-27,56.48537826538086,131.9940948486328,13.430000305175781,13.96500015258789,-0.9043903110734639
2024-02-28,56.54155349731445,131.5489959716797,13.84000015258789,13.99150013923645,-0.9134483113284007
2024-02-29,56.18582534790039,131.9851837158203,13.399999618530273,13.944000101089477,-0.9667188006693297
2024-03-01,55.72712326049805,131.80714416503906,13.109999656677246,13.905500078201294,-1.069795630341348
2024-03-04,55.98923873901367,134.0772247314453,13.489999771118164,13.887500047683716,-0.9102040857416512
2024-03-05,55.7177619934082,133.2314910888672,14.460000038146973,13.927000045776367,-1.005588691180908
2024-03-06,55.74584197998047,135.80426025390625,14.5,13.999000024795532,-0.8803141880579541
2024-03-07,55.64287185668945,136.5698699951172,14.4399995803833,14.079500007629395,-0.8660448051872465
2024-03-08,55.7177619934082,137.0594940185547,14.739999771118164,14.17699999809265,-0.8278292663470914
2024-03-11,56.39176559448242,137.76275634765625,15.220000267028809,14.291499996185303,-0.65586214108738
2024-03-12,56.635154724121094,140.1040802001953,13.84000015258789,14.286999988555909,-0.49683285575613023
2024-03-13,57.21555709838867,137.7716522216797,13.75,14.181999969482423,-0.48517932140677256
2024-03-14,57.08816909790039,136.99717712402344,14.399999618530273,14.18299994468689,-0.5474731744566921
2024-03-15,56.50312805175781,136.53424072265625,14.40999984741211,14.202999925613403,-0.6898926832288912
2024-03-18,56.739036560058594,135.0386505126953,14.329999923706055,14.207499933242797,-0.7105827973861223
