Date,KO,XLU,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,28.81212043762207,13.3100004196167,13.347500038146972,0.14746388514172523
2024-01-31,55.6896858215332,28.75129508972168,14.350000381469727,13.405000066757202,0.043328170385756856
2024-02-01,57.084495544433594,29.29871368408203,13.880000114440918,13.397000074386597,0.30702502949484706
2024-02-02,56.672603607177734,28.770008087158203,13.850000381469727,13.383000087738036,0.35820802319668593
2024-02-05,56.20454788208008,28.17112159729004,13.670000076293945,13.399000072479248,0.4156981736682931
2024-02-06,56.110931396484375,28.27405548095703,13.0600004196167,13.39800009727478,0.3488901798792247
2024-02-07,56.157737731933594,28.29277229309082,12.829999923706055,13.40150008201599,0.357617252089782
2024-02-08,56.00796127319336,28.09157943725586,12.789999961853027,13.406500101089478,0.3793719989629291
2024-02-09,55.755210876464844,28.19919204711914,12.930000305175781,13.431000137329102,0.25887488762356714
2024-02-12,55.886268615722656,28.526714324951172,13.930000305175781,13.492500162124633,0.18658138756048567
2024-02-13,55.558624267578125,28.054149627685547,15.850000381469727,13.593000173568726,0.24557831760830154
2024-02-14,55.5024528503418,28.20855140686035,14.380000114440918,13.57250018119812,0.17292069408007996
2024-02-15,55.60543441772461,28.68111228942871,14.010000228881836,13.566500186920166,0.04045005729891831
2024-02-16,55.596065521240234,28.64835548400879,14.239999771118164,13.613500165939332,0.048903147338623665
2024-02-20,56.822383880615234,28.6296443939209,15.420000076293945,13.725000190734864,0.45654431250365046
2024-02-21,57.327884674072266,29.00862693786621,15.34000015258789,13.864500188827515,0.4886176846906999
2024-02-22,57.24363708496094,28.784046173095703,14.539999961853027,13.934500169754028,0.5400264681195482
2024-02-23,57.290443420410156,28.989912033081055,13.75,13.949500179290771,0.48295275374286356
2024-02-26,56.83173751831055,28.419099807739258,13.739999771118164,13.973500156402588,0.5336299371642512
2024-02-27,56.48537826538086,28.95716094970703,13.430000305175781,13.96500015258789,0.2311746094397012
2024-02-28,56.54155349731445,29.046058654785156,13.84000015258789,13.99150013923645,0.21829044613941187
2024-02-29,56.18582534790039,29.0554141998291,13.399999618530273,13.944000101089477,0.09866163414163269
2024-03-01,55.72712326049805,28.87762451171875,13.109999656677246,13.905500078201294,0.011155060233844325
2024-03-04,55.98923873901367,29.364219665527344,13.489999771118164,13.887500047683716,-0.07420586704031158
2024-03-05,55.7177619934082,29.279998779296875,14.460000038146973,13.927000045776367,-0.1333795364565425
2024-03-06,55.74584197998047,29.560726165771484,14.5,13.999000024795532,-0.2228986122586604
2024-03-07,55.64287185668945,29.7525634765625,14.4399995803833,14.079500007629395,-0.3240237312729296
2024-03-08,55.7177619934082,29.82741928100586,14.739999771118164,14.17699999809265,-0.32585019030140766
2024-03-11,56.39176559448242,29.977140426635742,15.220000267028809,14.291499996185303,-0.1580613559691289
2024-03-12,56.635154724121094,29.687057495117188,13.84000015258789,14.286999988555909,0.023529957995850337
2024-03-13,57.21555709838867,29.88824462890625,13.75,14.181999969482423,0.14261167579083928
