Date,BAC,MS,VIX,AvgVIX,zscore
2024-01-30,32.9722785949707,82.146728515625,13.3100004196167,13.347500038146972,-1.2180414521323197
2024-01-31,32.2330322265625,81.79046630859375,14.350000381469727,13.405000066757202,-1.669631986458459
2024-02-01,31.797061920166016,81.39671325683594,13.880000114440918,13.397000074386597,-1.9111913885201839
2024-02-02,31.72124481201172,81.818603515625,13.850000381469727,13.383000087738036,-2.0193283442694296
2024-02-05,31.266324996948242,80.5248031616211,13.670000076293945,13.399000072479248,-2.1523183864962854
2024-02-06,31.3137149810791,80.7216796875,13.0600004196167,13.39800009727478,-2.146838884736393
2024-02-07,31.446393966674805,80.62792205810547,12.829999923706055,13.40150008201599,-2.044521327976961
2024-02-08,31.389530181884766,80.29978942871094,12.789999961853027,13.406500101089478,-2.0387032181073432
2024-02-09,31.34214210510254,80.5248031616211,12.930000305175781,13.431000137329102,-2.1010758587850447
2024-02-12,31.86341094970703,81.44359588623047,13.930000305175781,13.492500162124633,-1.8726704567991286
2024-02-13,31.038862228393555,78.7247314453125,15.850000381469727,13.593000173568726,-2.0633032530354147
2024-02-14,31.39900779724121,78.75285339355469,14.380000114440918,13.57250018119812,-1.8236839911443432
2024-02-15,32.28989791870117,80.31855010986328,14.010000228881836,13.566500186920166,-1.4327014425007576
2024-02-16,32.3088493347168,81.09669494628906,14.239999771118164,13.613500165939332,-1.5248302356431644
2024-02-20,32.18564224243164,80.0185317993164,15.420000076293945,13.725000190734864,-1.462705486360528
2024-02-21,31.93922996520996,80.12165832519531,15.34000015258789,13.864500188827515,-1.6431554429674942
2024-02-22,31.853933334350586,80.4873046875,14.539999961853027,13.934500169754028,-1.750114499803333
2024-02-23,32.147735595703125,81.14358520507812,13.75,13.949500179290771,-1.6400456506465402
2024-02-26,31.853933334350586,80.31855010986328,13.739999771118164,13.973500156402588,-1.7273569343620412
2024-02-27,32.488922119140625,80.14979553222656,13.430000305175781,13.96500015258789,-1.2754293412970197
2024-02-28,32.517356872558594,80.67481231689453,13.84000015258789,13.99150013923645,-1.3270127951077246
2024-02-29,32.94684982299805,80.66543579101562,13.399999618530273,13.944000101089477,-1.035466807395221
2024-03-01,32.78459548950195,81.07795715332031,13.109999656677246,13.905500078201294,-1.2007606602959657
2024-03-04,33.54814147949219,84.41556549072266,13.489999771118164,13.887500047683716,-1.134799115233616
2024-03-05,33.77720260620117,83.56240844726562,14.460000038146973,13.927000045776367,-0.8649301779107129
2024-03-06,33.80583190917969,80.3091812133789,14.5,13.999000024795532,-0.40686330819755806
