Date,PEP,INTC,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,42.3527717590332,13.3100004196167,13.347500038146972,0.34817014122749057
2024-01-31,155.63519287109375,42.51066589355469,14.350000381469727,13.405000066757202,0.2522338274301845
2024-02-01,158.56263732910156,42.786964416503906,13.880000114440918,13.397000074386597,0.5108514770083652
2024-02-02,157.8885040283203,42.03700256347656,13.850000381469727,13.383000087738036,0.4703215210760088
2024-02-05,157.84231567382812,42.20475769042969,13.670000076293945,13.399000072479248,0.4614702616767556
2024-02-06,158.30404663085938,42.29877853393555,13.0600004196167,13.39800009727478,0.5008625107348706
2024-02-07,158.3502197265625,42.33836364746094,12.829999923706055,13.40150008201599,0.5039650878534722
2024-02-08,160.5481414794922,42.061256408691406,12.789999961853027,13.406500101089478,0.711566268860125
2024-02-09,154.84100341796875,42.86289596557617,12.930000305175781,13.431000137329102,0.1702319067321207
2024-02-12,157.55606079101562,43.57545852661133,13.930000305175781,13.492500162124633,0.39743824636681824
2024-02-13,155.9584197998047,42.71444320678711,15.850000381469727,13.593000173568726,0.2759855808583357
2024-02-14,154.7024688720703,43.73380661010742,14.380000114440918,13.57250018119812,0.13349009169569195
2024-02-15,155.01644897460938,43.595252990722656,14.010000228881836,13.566500186920166,0.16588988730058377
2024-02-16,153.5942840576172,43.060829162597656,14.239999771118164,13.613500165939332,0.0513454521918044
2024-02-20,155.74600219726562,44.060401916503906,15.420000076293945,13.725000190734864,0.21935553581557932
2024-02-21,155.9122314453125,43.021240234375,15.34000015258789,13.864500188827515,0.26328019873925596
2024-02-22,155.3765869140625,42.53630065917969,14.539999961853027,13.934500169754028,0.22800080376131832
2024-02-23,156.62332153320312,42.54619598388672,13.75,13.949500179290771,0.3411278171196488
2024-02-26,155.38583374023438,42.54619598388672,13.739999771118164,13.973500156402588,0.22856759267849283
2024-02-27,155.29348754882812,42.28887939453125,13.430000305175781,13.96500015258789,0.2273005034366563
2024-02-28,154.2499542236328,41.556522369384766,13.84000015258789,13.99150013923645,0.152682427570018
2024-02-29,153.8544921875,42.60557556152344,13.399999618530273,13.944000101089477,0.0876328744973649
2024-03-01,153.1565704345703,43.36762619018555,13.109999656677246,13.905500078201294,0.0030274584952200987
2024-03-04,153.88238525390625,45.1391487121582,13.489999771118164,13.887500047683716,0.01994150665670222
2024-03-05,150.7837371826172,42.71444320678711,14.460000038146973,13.927000045776367,-0.19469658676534302
2024-03-06,151.6770477294922,44.05050277709961,14.5,13.999000024795532,-0.15047669155553403
2024-03-07,151.77938842773438,45.67357635498047,14.4399995803833,14.079500007629395,-0.18615813255072375
2024-03-08,151.7235565185547,43.54576873779297,14.739999771118164,14.17699999809265,-0.13225551824663614
2024-03-11,153.286865234375,44.39689254760742,15.220000267028809,14.291499996185303,-0.013651486100546919
2024-03-12,153.1100311279297,44.77296829223633,13.84000015258789,14.286999988555909,-0.04016057687614705
2024-03-13,153.81729125976562,42.78371810913086,13.75,14.181999969482423,0.07931116891431744
2024-03-14,153.33338928222656,42.30867385864258,14.399999618530273,14.18299994468689,0.04846391704675554
2024-03-15,153.2217254638672,42.199806213378906,14.40999984741211,14.202999925613403,0.0413248445225237
2024-03-18,159.36325073242188,42.26908493041992,14.329999923706055,14.207499933242797,0.598029371836542
2024-03-19,159.86572265625,41.61589813232422,13.819999694824219,14.127499914169311,0.6618393219929907
2024-03-20,159.9215545654297,41.76435470581055,13.039999961853027,14.012499904632568,0.6628026279130678
2024-03-21,160.4705810546875,41.98208236694336,12.920000076293945,13.931499910354614,0.7067061137969033
2024-03-22,160.07044982910156,42.13053512573242,13.0600004196167,13.896999931335449,0.666195732278948
2024-03-25,160.6101837158203,41.39817428588867,13.1899995803833,13.869499921798706,0.7355896172478827
2024-03-26,160.7311248779297,41.556522369384766,13.239999771118164,13.859999895095825,0.7422009889927184
2024-03-27,161.5127716064453,43.318145751953125,12.779999732971191,13.80699987411499,0.7644678281725096
2024-03-28,162.85272216796875,43.714012145996094,13.010000228881836,13.787499904632568,0.8753748498591966
2024-04-01,160.96376037597656,44.060401916503906,13.649999618530273,13.81449990272522,0.6939557985514329
2024-04-02,159.53073120117188,43.48638916015625,14.609999656677246,13.870499897003175,0.5795205364459143
2024-04-03,157.89297485351562,39.913658142089844,14.329999923706055,13.863999891281129,0.5295854749780999
2024-04-04,157.86509704589844,39.31985092163086,16.350000381469727,13.956499910354614,0.5435095760479273
2024-04-05,157.39051818847656,38.31037902832031,16.030000686645508,14.035999965667724,0.5283242204063431
2024-04-08,157.7999267578125,37.58791732788086,15.1899995803833,14.058499956130982,0.5855894941877711
2024-04-09,158.75839233398438,37.93430709838867,14.979999542236328,14.046499919891357,0.6631686046893744
