Date,NEE,TXN,VIX,AvgVIX,zscore
2024-01-30,55.481868743896484,152.04049682617188,13.3100004196167,13.347500038146972,-1.0812228398183863
2024-01-31,54.873512268066406,150.22972106933594,14.350000381469727,13.405000066757202,-1.0873772555463876
2024-02-01,55.921749114990234,149.82626342773438,13.880000114440918,13.397000074386597,-0.9350769258795861
2024-02-02,54.42426300048828,149.3665313720703,13.850000381469727,13.383000087738036,-1.1109836521175296
2024-02-05,52.383941650390625,149.08506774902344,13.670000076293945,13.399000072479248,-1.364526806630512
2024-02-06,52.62727355957031,148.58779907226562,13.0600004196167,13.39800009727478,-1.3129417555641523
2024-02-07,52.767669677734375,148.96311950683594,12.829999923706055,13.40150008201599,-1.309809560909803
2024-02-08,52.68343734741211,150.3141632080078,12.789999961853027,13.406500101089478,-1.3750750590142247
2024-02-09,52.95486068725586,152.36886596679688,12.930000305175781,13.431000137329102,-1.4224685276079139
2024-02-12,53.862709045410156,151.1304473876953,13.930000305175781,13.492500162124633,-1.2548153835444225
2024-02-13,51.71006774902344,147.16168212890625,15.850000381469727,13.593000173568726,-1.3746577893866316
2024-02-14,52.4213752746582,148.11868286132812,14.380000114440918,13.57250018119812,-1.3208051275874104
2024-02-15,53.60064697265625,150.78326416015625,14.010000228881836,13.566500186920166,-1.2748730150786933
2024-02-16,53.37601852416992,150.47366333007812,14.239999771118164,13.613500165939332,-1.2915825854398166
2024-02-20,52.98293685913086,152.6879119873047,15.420000076293945,13.725000190734864,-1.4316539931402879
2024-02-21,53.44154357910156,153.94509887695312,15.34000015258789,13.864500188827515,-1.4226771032129053
2024-02-22,53.039085388183594,155.21170043945312,14.539999961853027,13.934500169754028,-1.5258569603804815
2024-02-23,53.14204025268555,153.57920837402344,13.75,13.949500179290771,-1.446842831936656
2024-02-26,52.088932037353516,154.15151977539062,13.739999771118164,13.973500156402588,-1.6065658307784334
2024-02-27,52.476173400878906,154.7519989013672,13.430000305175781,13.96500015258789,-1.5804442553128448
2024-02-28,51.98503494262695,152.96932983398438,13.84000015258789,13.99150013923645,-1.572512434348484
2024-02-29,52.126708984375,156.99436950683594,13.399999618530273,13.944000101089477,-1.7159844385786522
2024-03-01,52.14559555053711,160.484619140625,13.109999656677246,13.905500078201294,-1.8538898689296015
2024-03-04,51.91891860961914,161.7887420654297,13.489999771118164,13.887500047683716,-1.9357597735560599
2024-03-05,52.32505416870117,160.09994506835938,14.460000038146973,13.927000045776367,-1.8151243433150543
2024-03-06,52.447837829589844,161.25393676757812,14.5,13.999000024795532,-1.8455920357330227
2024-03-07,53.127872467041016,164.44393920898438,14.4399995803833,14.079500007629395,-1.8855971307349453
2024-03-08,54.601287841796875,161.65740966796875,14.739999771118164,14.17699999809265,-1.5822697053892019
2024-03-11,54.657955169677734,163.43063354492188,15.220000267028809,14.291499996185303,-1.6462220636206433
2024-03-12,53.97792053222656,164.00296020507812,13.84000015258789,14.286999988555909,-1.7575155614048905
2024-03-13,56.23527145385742,162.01390075683594,13.75,14.181999969482423,-1.3844919742984159
2024-03-14,56.23527145385742,160.5690460205078,14.399999618530273,14.18299994468689,-1.3263884744487902
2024-03-15,56.745296478271484,161.86380004882812,14.40999984741211,14.202999925613403,-1.3122475046605486
2024-03-18,56.830291748046875,158.7582550048828,14.329999923706055,14.207499933242797,-1.1763273140810246
2024-03-19,57.86924362182617,156.45956420898438,13.819999694824219,14.127499914169311,-0.9490172501551415
2024-03-20,58.747623443603516,159.48068237304688,13.039999961853027,14.012499904632568,-0.9564828692806205
2024-03-21,57.954246520996094,161.92947387695312,12.920000076293945,13.931499910354614,-1.1579500666293365
2024-03-22,58.35093307495117,161.82627868652344,13.0600004196167,13.896999931335449,-1.1023047614465702
2024-03-25,59.13486862182617,160.2969512939453,13.1899995803833,13.869499921798706,-0.9390385860775426
2024-03-26,58.020362854003906,157.53854370117188,13.239999771118164,13.859999895095825,-0.9727900465035801
2024-03-27,60.24937438964844,162.19216918945312,12.779999732971191,13.80699987411499,-0.8705747485631833
2024-03-28,60.36271667480469,163.44940185546875,13.010000228881836,13.787499904632568,-0.9064198024480495
2024-04-01,59.862125396728516,162.4736328125,13.649999618530273,13.81449990272522,-0.9321638281884614
2024-04-02,59.3898811340332,159.8372039794922,14.609999656677246,13.870499897003175,-0.8874461180084366
2024-04-03,59.07819747924805,159.81846618652344,14.329999923706055,13.863999891281129,-0.9271534478247334
2024-04-04,60.19270324707031,158.12025451660156,16.350000381469727,13.956499910354614,-0.714183156502295
2024-04-05,60.61772155761719,157.15386962890625,16.030000686645508,14.035999965667724,-0.6201476200435755
2024-04-08,61.25998306274414,158.99281311035156,15.1899995803833,14.058499956130982,-0.6107246012336845
2024-04-09,61.75111389160156,162.7457275390625,14.979999542236328,14.046499919891357,-0.6978890115808298
2024-04-10,60.45716857910156,158.4861602783203,15.800000190734863,14.144499921798706,-0.6945664580808429
2024-04-11,60.39104461669922,160.6253204345703,14.90999984741211,14.202499914169312,-0.7891746152988338
2024-04-12,59.57877731323242,156.05612182617188,17.309999465942383,14.347999906539917,-0.710872049698671
2024-04-15,59.267093658447266,156.0749053955078,19.229999542236328,14.588999891281128,-0.7520882664737829
2024-04-16,58.27537536621094,157.23829650878906,18.399999618530273,14.792499876022339,-0.9276117286502111
2024-04-17,60.24937438964844,155.4650421142578,18.209999084472656,15.01199984550476,-0.6000495413057703
2024-04-18,60.45716857910156,153.56044006347656,18.0,15.259999847412109,-0.49648316529958586
2024-04-19,60.73106384277344,149.81687927246094,18.709999084472656,15.549499797821046,-0.3103839261852345
2024-04-22,61.68501281738281,153.3352508544922,16.940000534057617,15.743499803543092,-0.3280362105255443
2024-04-23,62.525604248046875,155.24925231933594,15.6899995803833,15.868499803543092,-0.295885609536973
2024-04-24,62.8656120300293,164.01231384277344,15.970000267028809,16.004999828338622,-0.6041463251306552
2024-04-25,63.1867561340332,164.42515563964844,15.369999885559082,16.13449983596802,-0.5790594268711933
2024-04-26,62.32726287841797,166.5174102783203,15.029999732971191,16.235499811172485,-0.7747716384504925
2024-04-29,63.677886962890625,168.2156219482422,14.670000076293945,16.28649983406067,-0.6677339514133954
2024-04-30,63.25286865234375,165.5229034423828,15.649999618530273,16.33849983215332,-0.61462202167252
2024-05-01,64.80184173583984,164.37826538085938,15.390000343322754,16.391499853134157,-0.3675133104678773
2024-05-02,65.02851867675781,164.9412078857422,14.680000305175781,16.307999849319458,-0.36072571909097156
2024-05-03,66.24691772460938,167.85910034179688,13.489999771118164,16.18099980354309,-0.3199010093732131
2024-05-06,67.2953109741211,170.44862365722656,13.489999771118164,16.095999813079835,-0.28794034362568893
2024-05-07,67.9564437866211,172.6221160888672,13.229999542236328,16.008499813079833,-0.2895211451893935
2024-05-08,68.8064956665039,173.8317108154297,13.0,15.868499803543092,-0.22781538001180987
2024-05-09,70.44048309326172,175.12637329101562,12.6899995803833,15.75749979019165,-0.06776485025398454
2024-05-10,69.69432067871094,176.7611846923828,12.550000190734863,15.519499826431275,-0.2303694922416166
2024-05-13,70.44048309326172,177.4888458251953,13.600000381469727,15.237999868392944,-0.16276950302849044
2024-05-14,71.23385620117188,180.6167755126953,13.420000076293945,14.988999891281129,-0.1855654971633308
2024-05-15,72.77339172363281,184.7747344970703,12.449999809265137,14.700999927520751,-0.15292095876494874
2024-05-16,72.16891479492188,184.24554443359375,12.420000076293945,14.42199993133545,-0.21010954153237327
2024-05-17,71.86665344238281,184.29278564453125,11.989999771118164,14.085999965667725,-0.2512470108429481
2024-05-20,71.65888214111328,188.24285888671875,12.149999618530273,13.846499919891357,-0.4370671519629164
2024-05-21,72.67892456054688,188.06329345703125,11.859999656677246,13.654999923706054,-0.2974304679505002
2024-05-22,72.08390045166016,191.3991241455078,12.289999961853027,13.470999908447265,-0.5088201865927106
2024-05-23,71.139404296875,186.43792724609375,12.770000457763672,13.340999937057495,-0.4319189067490956
2024-05-24,72.35780334472656,188.2239532470703,11.930000305175781,13.185999965667724,-0.34557723207362834
2024-05-28,73.22673034667969,188.62086486816406,12.920000076293945,13.098499965667724,-0.24873991366386952
2024-05-29,72.42391967773438,184.1888427734375,14.279999732971191,13.02999997138977,-0.17472617290460768
2024-05-30,73.85011291503906,184.91647338867188,14.470000267028809,12.983999967575073,-0.018847542342933593
2024-05-31,75.57852935791016,184.28334045410156,12.920000076293945,12.895999956130982,0.23098569420892734
2024-06-03,73.87217712402344,183.06430053710938,13.109999656677246,12.876999950408935,0.058500119370542204
2024-06-04,73.33983612060547,182.66738891601562,13.15999984741211,12.860499954223632,0.005356322758463791
2024-06-05,73.2447738647461,185.2944793701172,12.630000114440918,12.830499982833862,-0.11263009217405155
2024-06-06,72.91205596923828,185.4456787109375,12.579999923706055,12.809499979019165,-0.16190182261268385
2024-06-07,71.66675567626953,184.850341796875,12.220000267028809,12.78600001335144,-0.2996181140975694
2024-06-10,73.1687240600586,186.74977111816406,12.739999771118164,12.795499992370605,-0.18102562418522433
2024-06-11,69.14762878417969,186.5796661376953,12.850000381469727,12.757999992370605,-0.6961788381498308
2024-06-12,68.69132995605469,188.03494262695312,12.039999961853027,12.68899998664856,-0.8139353433778084
2024-06-13,69.56590270996094,185.4834747314453,11.9399995803833,12.663499975204468,-0.597798766839914
2024-06-14,69.45182800292969,183.234375,12.65999984741211,12.675499963760377,-0.5221617727527288
2024-06-17,68.7388687133789,184.1793670654297,12.75,12.713499975204467,-0.6527157415006198
2024-06-18,66.96122741699219,185.45510864257812,12.300000190734863,12.721000003814698,-0.9347809589686794
2024-06-20,68.88146209716797,182.15707397460938,13.279999732971191,12.792000007629394,-0.552880496046031
2024-06-21,69.21417236328125,184.7747344970703,13.199999809265137,12.8375,-0.6149569001916796
2024-06-24,70.20281219482422,183.2438507080078,13.329999923706055,12.86549997329712,-0.4250546860077307
2024-06-25,69.37578582763672,183.7730255126953,12.84000015258789,12.910999965667724,-0.5536944329977275
2024-06-26,69.74651336669922,182.47837829589844,12.550000190734863,12.892499971389771,-0.45350582356631686
2024-06-27,70.07923889160156,182.7902374267578,12.239999771118164,12.79049997329712,-0.4228545718357207
2024-06-28,67.31294250488281,183.82974243164062,12.4399995803833,12.688999938964844,-0.8237608697308388
2024-07-01,66.44788360595703,183.8958740234375,12.220000267028809,12.653999948501587,-0.9387169103144124
2024-07-02,66.98973083496094,187.5057830810547,12.029999732971191,12.599999952316285,-1.0135468008541042
2024-07-03,68.2825698852539,187.99716186523438,12.09000015258789,12.546499967575073,-0.8654787403574655
2024-07-05,68.52972412109375,187.85540771484375,12.479999542236328,12.538999938964844,-0.8276941869744276
2024-07-08,68.54874420166016,190.38800048828125,12.369999885559082,12.528499937057495,-0.9270709984339147
2024-07-09,68.55825805664062,189.15005493164062,12.510000228881836,12.542999935150146,-0.876053130229166
2024-07-10,69.29973602294922,192.41973876953125,12.850000381469727,12.548499965667725,-0.9112863444431469
2024-07-11,71.01083374023438,188.98941040039062,12.920000076293945,12.551999950408936,-0.5512146851731896
2024-07-12,72.24662017822266,190.76597595214844,12.460000038146973,12.572999954223633,-0.46223544333838934
2024-07-15,67.46504211425781,190.6620330810547,13.119999885559082,12.631999969482422,-1.078770498342186
2024-07-16,68.34911346435547,195.25469970703125,13.1899995803833,12.658499956130981,-1.1486956494126177
2024-07-17,67.39850616455078,193.02450561523438,14.479999542236328,12.744999933242799,-1.1824124384117838
2024-07-18,68.1304702758789,194.54595947265625,15.930000305175781,12.926499938964843,-1.1485772273721604
2024-07-19,68.44417572021484,188.1483612060547,16.520000457763672,13.088499975204467,-0.8505804079106951
2024-07-22,69.29973602294922,194.55540466308594,14.90999984741211,13.173999977111816,-0.997170177471483
2024-07-23,68.54874420166016,187.3828887939453,14.720000267028809,13.243499994277954,-0.8062232048877676
