Date,KRE,AMD,VIX,AvgVIX,zscore
2024-01-30,49.64396667480469,172.05999755859375,13.3100004196167,13.347500038146972,-1.1439494368709888
2024-01-31,46.738121032714844,167.69000244140625,14.350000381469727,13.405000066757202,-1.519419112833751
2024-02-01,45.28049087524414,170.47999572753906,13.880000114440918,13.397000074386597,-1.7509306157306546
2024-02-02,45.48737335205078,177.66000366210938,13.850000381469727,13.383000087738036,-1.7837161612834012
2024-02-05,44.735050201416016,174.22999572753906,13.670000076293945,13.399000072479248,-1.8610082711692435
2024-02-06,44.170814514160156,167.8800048828125,13.0600004196167,13.39800009727478,-1.886245419072636
2024-02-07,44.057960510253906,170.94000244140625,12.829999923706055,13.40150008201599,-1.9288121818627146
2024-02-08,44.23664855957031,169.35000610351562,12.789999961853027,13.406500101089478,-1.8896182247569093
2024-02-09,45.01717758178711,172.47999572753906,12.930000305175781,13.431000137329102,-1.8057144569975205
2024-02-12,45.98579788208008,171.91000366210938,13.930000305175781,13.492500162124633,-1.6629966855322622
2024-02-13,44.039154052734375,171.5399932861328,15.850000381469727,13.593000173568726,-1.93668603282494
2024-02-14,44.8573112487793,178.6999969482422,14.380000114440918,13.57250018119812,-1.8823490296113956
2024-02-15,46.28672409057617,176.75999450683594,14.010000228881836,13.566500186920166,-1.6622161902451895
2024-02-16,45.80710983276367,173.8699951171875,14.239999771118164,13.613500165939332,-1.7053965600537724
2024-02-20,45.44976806640625,165.69000244140625,15.420000076293945,13.725000190734864,-1.685348089397971
2024-02-21,45.148834228515625,164.2899932861328,15.34000015258789,13.864500188827515,-1.7160229194905188
2024-02-22,45.1112174987793,181.86000061035156,14.539999961853027,13.934500169754028,-1.8736134420465924
2024-02-23,45.01717758178711,176.52000427246094,13.75,13.949500179290771,-1.8407201453217859
2024-02-26,44.593990325927734,176.00999450683594,13.739999771118164,13.973500156402588,-1.896496229256098
2024-02-27,45.148834228515625,178.0,13.430000305175781,13.96500015258789,-1.8348167825759019
2024-02-28,44.65981674194336,176.5399932861328,13.84000015258789,13.99150013923645,-1.8917252283596109
2024-02-29,45.27109146118164,192.52999877929688,13.399999618530273,13.944000101089477,-1.943325507946833
2024-03-01,44.77267837524414,202.63999938964844,13.109999656677246,13.905500078201294,-2.1018216973589463
2024-03-04,44.763267517089844,205.36000061035156,13.489999771118164,13.887500047683716,-2.126728467851783
2024-03-05,46.56884002685547,205.1300048828125,14.460000038146973,13.927000045776367,-1.8679065448670156
