Date,KDP,GILD,VIX,AvgVIX,zscore
2024-01-30,29.754362106323242,73.06415557861328,13.3100004196167,13.347500038146972,-0.7867037548801815
2024-01-31,29.41752052307129,72.7295913696289,14.350000381469727,13.405000066757202,-0.929896357149232
2024-02-01,29.92278480529785,72.63666534423828,13.880000114440918,13.397000074386597,-0.7268894626627828
2024-02-02,29.614013671875,71.52146911621094,13.850000381469727,13.383000087738036,-0.8741663143802778
2024-02-05,29.043254852294922,71.28912353515625,13.670000076293945,13.399000072479248,-1.1101702842514753
2024-02-06,29.10875129699707,72.2277603149414,13.0600004196167,13.39800009727478,-1.065021318620666
2024-02-07,29.249099731445312,69.16096496582031,12.829999923706055,13.40150008201599,-1.0688752456602617
2024-02-08,29.464303970336914,68.58478546142578,12.789999961853027,13.406500101089478,-0.9930400712285902
2024-02-09,29.146175384521484,68.46395111083984,12.930000305175781,13.431000137329102,-1.1244118065070143
2024-02-12,29.30524253845215,69.1888427734375,13.930000305175781,13.492500162124633,-1.04556115706333
2024-02-13,28.930971145629883,68.33385467529297,15.850000381469727,13.593000173568726,-1.2142387136323112
2024-02-14,29.099393844604492,67.87847900390625,14.380000114440918,13.57250018119812,-1.1549768479647191
2024-02-15,29.090038299560547,68.1851577758789,14.010000228881836,13.566500186920166,-1.152694356181092
2024-02-16,28.97775650024414,66.52165985107422,14.239999771118164,13.613500165939332,-1.2311712868866589
2024-02-20,29.22102928161621,66.94914245605469,15.420000076293945,13.725000190734864,-1.1240732419986335
2024-02-21,29.567230224609375,68.02716827392578,15.34000015258789,13.864500188827515,-0.9623576998369094
2024-02-22,28.416351318359375,67.6368408203125,14.539999961853027,13.934500169754028,-1.4366877627271815
2024-02-23,28.24793243408203,68.3524398803711,13.75,13.949500179290771,-1.490792906776126
2024-02-26,27.60232162475586,67.79483795166016,13.739999771118164,13.973500156402588,-1.7635874141601091
2024-02-27,27.60232162475586,67.85987854003906,13.430000305175781,13.96500015258789,-1.762298922686212
2024-02-28,28.098224639892578,67.5625,13.84000015258789,13.99150013923645,-1.5671376611322252
2024-02-29,27.985942840576172,67.0049057006836,13.399999618530273,13.944000101089477,-1.6237060047860705
2024-03-01,27.39647102355957,67.20005798339844,13.109999656677246,13.905500078201294,-1.8588277515708627
2024-03-04,27.228050231933594,67.14431762695312,13.489999771118164,13.887500047683716,-1.928214346506164
