Date,CVX,LOW,VIX,AvgVIX,zscore
2024-01-30,136.21121215820312,205.50328063964844,13.3100004196167,13.347500038146972,-0.27497812690539164
2024-01-31,133.77041625976562,203.89390563964844,14.350000381469727,13.405000066757202,-0.40324656583052115
2024-02-01,134.1878204345703,210.9732666015625,13.880000114440918,13.397000074386597,-0.5173461624946796
2024-02-02,138.1348114013672,210.2643585205078,13.850000381469727,13.383000087738036,-0.24371929076354548
2024-02-05,138.21644592285156,208.84657287597656,13.670000076293945,13.399000072479248,-0.2100073314927849
2024-02-06,138.23460388183594,208.95193481445312,13.0600004196167,13.39800009727478,-0.21092022456700948
2024-02-07,138.03497314453125,212.3719024658203,12.829999923706055,13.40150008201599,-0.2924181836849484
2024-02-08,139.78619384765625,211.12652587890625,12.789999961853027,13.406500101089478,-0.15240369080610636
2024-02-09,137.04595947265625,212.9179229736328,12.930000305175781,13.431000137329102,-0.3683471298411903
2024-02-12,137.98963928222656,220.19851684570312,13.930000305175781,13.492500162124633,-0.45187547647045007
2024-02-13,136.64675903320312,215.9547119140625,15.850000381469727,13.593000173568726,-0.45530283265377997
2024-02-14,137.01873779296875,217.39161682128906,14.380000114440918,13.57250018119812,-0.4595789760285986
2024-02-15,141.67837524414062,218.73280334472656,14.010000228881836,13.566500186920166,-0.18009409186453484
2024-02-16,141.8343048095703,217.3150177001953,14.239999771118164,13.613500165939332,-0.14149838100395648
2024-02-20,141.25643920898438,216.0313262939453,15.420000076293945,13.725000190734864,-0.1538193107364442
2024-02-21,142.57730102539062,218.21546936035156,15.34000015258789,13.864500188827515,-0.11066056192781121
2024-02-22,142.56809997558594,220.82115173339844,14.539999961853027,13.934500169754028,-0.1633607266915164
2024-02-23,141.8618621826172,222.78500366210938,13.75,13.949500179290771,-0.24904819212436097
2024-02-26,141.669189453125,221.5971221923828,13.739999771118164,13.973500156402588,-0.23796416570444653
2024-02-27,139.56871032714844,225.49607849121094,13.430000305175781,13.96500015258789,-0.4539899533644364
2024-02-28,139.7338104248047,228.7627410888672,13.84000015258789,13.99150013923645,-0.508447469828357
2024-02-29,139.43112182617188,230.55413818359375,13.399999618530273,13.944000101089477,-0.564159924016733
2024-03-01,140.16493225097656,234.4051513671875,13.109999656677246,13.905500078201294,-0.5929164262862544
2024-03-04,136.56011962890625,231.9240264892578,13.489999771118164,13.887500047683716,-0.7802721136224299
2024-03-05,137.2113800048828,230.6978302001953,14.460000038146973,13.927000045776367,-0.7129464936199987
2024-03-06,136.05564880371094,230.9852294921875,14.5,13.999000024795532,-0.7946639351973823
2024-03-07,137.0095977783203,231.55999755859375,14.4399995803833,14.079500007629395,-0.7434478472119085
2024-03-08,137.47738647460938,231.7803192138672,14.739999771118164,14.17699999809265,-0.7171028507713579
2024-03-11,139.42193603515625,230.83197021484375,15.220000267028809,14.291499996185303,-0.5703184362491379
2024-03-12,139.321044921875,233.03526306152344,13.84000015258789,14.286999988555909,-0.6210008434387114
2024-03-13,141.1555633544922,237.01083374023438,13.75,14.181999969482423,-0.5798930702196442
2024-03-14,142.81578063964844,234.34768676757812,14.399999618530273,14.18299994468689,-0.41751520111913143
2024-03-15,142.67820739746094,234.4434814453125,14.40999984741211,14.202999925613403,-0.42847373728308524
2024-03-18,142.54978942871094,233.24600219726562,14.329999923706055,14.207499933242797,-0.41297406468856507
2024-03-19,143.65963745117188,237.59519958496094,13.819999694824219,14.127499914169311,-0.4269720865721122
2024-03-20,141.76092529296875,241.3695831298828,13.039999961853027,14.012499904632568,-0.6272442328313745
2024-03-21,142.0452880859375,250.02960205078125,12.920000076293945,13.931499910354614,-0.7816912976303078
2024-03-22,141.8618621826172,247.63470458984375,13.0600004196167,13.896999931335449,-0.7458675968480604
2024-03-25,143.52206420898438,243.32382202148438,13.1899995803833,13.869499921798706,-0.5505475971685164
2024-03-26,142.42137145996094,240.852294921875,13.239999771118164,13.859999895095825,-0.5734879692190966
2024-03-27,143.41200256347656,242.68199157714844,12.779999732971191,13.80699987411499,-0.5449503514919759
2024-03-28,144.68698120117188,244.02317810058594,13.010000228881836,13.787499904632568,-0.48795450540526086
2024-04-01,145.91610717773438,238.80223083496094,13.649999618530273,13.81449990272522,-0.30277619856293997
2024-04-02,146.55816650390625,234.17523193359375,14.609999656677246,13.870499897003175,-0.16806324997439923
2024-04-03,147.1635284423828,230.58285522460938,14.329999923706055,13.863999891281129,-0.05644776157114747
2024-04-04,147.39285278320312,228.00592041015625,16.350000381469727,13.956499910354614,0.010147360418450638
2024-04-05,148.22755432128906,229.26087951660156,16.030000686645508,14.035999965667724,0.039925730094013276
2024-04-08,147.92486572265625,232.39341735839844,15.1899995803833,14.058499956130982,-0.04260011511053121
2024-04-09,148.59445190429688,234.11776733398438,14.979999542236328,14.046499919891357,-0.033060048843320804
2024-04-10,149.20901489257812,227.19166564941406,15.800000190734863,14.144499921798706,0.14581134056604894
2024-04-11,148.49354553222656,225.54393005371094,14.90999984741211,14.202499914169312,0.1317234147590929
2024-04-12,145.80601501464844,222.2964324951172,17.309999465942383,14.347999906539917,0.019986926065074843
2024-04-15,144.54937744140625,220.34219360351562,19.229999542236328,14.588999891281128,-0.023546538758977564
