Date,KO,META,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,396.9449768066406,13.3100004196167,13.347500038146972,-0.5559543965258081
2024-01-31,55.6896858215332,387.1021728515625,14.350000381469727,13.405000066757202,-0.5638365317550895
2024-02-01,57.084495544433594,391.70611572265625,13.880000114440918,13.397000074386597,-0.32258559209020976
2024-02-02,56.672603607177734,471.2915344238281,13.850000381469727,13.383000087738036,-0.9460039910105404
2024-02-05,56.20454788208008,455.8328552246094,13.670000076293945,13.399000072479248,-0.9320461960866286
2024-02-06,56.110931396484375,451.17938232421875,13.0600004196167,13.39800009727478,-0.9186020982632784
2024-02-07,56.157737731933594,465.9336242675781,12.829999923706055,13.40150008201599,-1.0101002881649668
2024-02-08,56.00796127319336,466.34039306640625,12.789999961853027,13.406500101089478,-1.0421534035045734
2024-02-09,55.755210876464844,464.4651184082031,12.930000305175781,13.431000137329102,-1.0787686148561644
2024-02-12,55.886268615722656,465.24896240234375,13.930000305175781,13.492500162124633,-1.0584965461316214
2024-02-13,55.558624267578125,456.5373229980469,15.850000381469727,13.593000173568726,-1.0631169128742253
2024-02-14,55.5024528503418,469.5948791503906,14.380000114440918,13.57250018119812,-1.163171034312804
2024-02-15,55.60543441772461,480.26116943359375,14.010000228881836,13.566500186920166,-1.215801625205506
2024-02-16,55.596065521240234,469.63458251953125,14.239999771118164,13.613500165939332,-1.1451424774586032
2024-02-20,56.822383880615234,468.0767517089844,15.420000076293945,13.725000190734864,-0.8947949152117691
2024-02-21,57.327884674072266,464.8784484863281,15.34000015258789,13.864500188827515,-0.7741620341450761
2024-02-22,57.24363708496094,482.8565673828125,14.539999961853027,13.934500169754028,-0.9132707119607553
2024-02-23,57.290443420410156,480.7707214355469,13.75,13.949500179290771,-0.8898921563010989
2024-02-26,56.83173751831055,478.49609375,13.739999771118164,13.973500156402588,-0.9640432991723535
2024-02-27,56.48537826538086,483.7703857421875,13.430000305175781,13.96500015258789,-1.0677288176689148
2024-02-28,56.54155349731445,480.7607727050781,13.84000015258789,13.99150013923645,-1.036217239153012
2024-02-29,56.18582534790039,486.8296813964844,13.399999618530273,13.944000101089477,-1.1471547651180556
2024-03-01,55.72712326049805,498.9176940917969,13.109999656677246,13.905500078201294,-1.319281692779646
2024-03-04,55.98923873901367,494.8353576660156,13.489999771118164,13.887500047683716,-1.240195213910181
2024-03-05,55.7177619934082,486.91900634765625,14.460000038146973,13.927000045776367,-1.2392610978619787
2024-03-06,55.74584197998047,492.7495422363281,14.5,13.999000024795532,-1.2735457468719964
2024-03-07,55.64287185668945,508.7411193847656,14.4399995803833,14.079500007629395,-1.4027628637374512
2024-03-08,55.7177619934082,502.54315185546875,14.739999771118164,14.17699999809265,-1.3458431418377466
2024-03-11,56.39176559448242,480.33367919921875,15.220000267028809,14.291499996185303,-1.0625842965792538
2024-03-12,56.635154724121094,496.3849182128906,13.84000015258789,14.286999988555909,-1.1245021219141083
2024-03-13,57.21555709838867,492.2330322265625,13.75,14.181999969482423,-0.9827225021686181
2024-03-14,57.08816909790039,488.5181884765625,14.399999618530273,14.18299994468689,-0.9822830327139036
2024-03-15,56.50312805175781,480.84027099609375,14.40999984741211,14.202999925613403,-1.0442709499801364
2024-03-18,56.739036560058594,493.6335754394531,14.329999923706055,14.207499933242797,-1.085426682408256
2024-03-19,56.83338928222656,492.8984680175781,13.819999694824219,14.127499914169311,-1.0619679925958037
2024-03-20,57.32406997680664,502.1159973144531,13.039999961853027,14.012499904632568,-1.028928282918394
2024-03-21,57.05985641479492,504.3409423828125,12.920000076293945,13.931499910354614,-1.0957544697782577
2024-03-22,57.078731536865234,506.148681640625,13.0600004196167,13.896999931335449,-1.104396479522627
2024-03-25,56.99380874633789,499.6328125,13.1899995803833,13.869499921798706,-1.0765483721489468
2024-03-26,57.125911712646484,492.5509033203125,13.239999771118164,13.859999895095825,-1.0024147728923523
2024-03-27,57.58827590942383,490.5345458984375,12.779999732971191,13.80699987411499,-0.898277020392301
2024-03-28,57.72981643676758,482.310302734375,13.010000228881836,13.787499904632568,-0.8145059945925502
2024-04-01,57.25801467895508,488.04144287109375,13.649999618530273,13.81449990272522,-0.9458294513050325
2024-04-02,56.757904052734375,494.0209045410156,14.609999656677246,13.870499897003175,-1.0843806797162179
2024-04-03,56.45594787597656,503.32781982421875,14.329999923706055,13.863999891281129,-1.2068953273231475
2024-04-04,55.95583724975586,507.47967529296875,16.350000381469727,13.956499910354614,-1.3329793136437955
2024-04-05,56.15399169921875,523.7890625,16.030000686645508,14.035999965667724,-1.4055006009474424
2024-04-08,55.92753601074219,515.7535400390625,15.1899995803833,14.058499956130982,-1.3949528311158548
2024-04-09,56.35215377807617,513.4193725585938,14.979999542236328,14.046499919891357,-1.2960257672987494
2024-04-10,55.59726333618164,516.3297119140625,15.800000190734863,14.144499921798706,-1.4634449380624157
2024-04-11,55.719932556152344,519.6372680664062,14.90999984741211,14.202499914169312,-1.4620284716009584
2024-04-12,54.99336624145508,508.4530944824219,17.309999465942383,14.347999906539917,-1.5277633780456912
2024-04-15,54.86125183105469,496.8616638183594,19.229999542236328,14.588999891281128,-1.4745167135443624
2024-04-16,54.7857666015625,496.3948059082031,18.399999618530273,14.792499876022339,-1.4860878318169297
2024-04-17,55.21038818359375,490.84246826171875,18.209999084472656,15.01199984550476,-1.3652068758744098
2024-04-18,55.587833404541016,498.4210205078125,18.0,15.259999847412109,-1.343121943621213
2024-04-19,56.776771545410156,477.8306884765625,18.709999084472656,15.549499797821046,-0.9702488991804546
2024-04-22,57.135345458984375,478.4862060546875,16.940000534057617,15.743499803543092,-0.9046265902038586
2024-04-23,57.22026443481445,492.75946044921875,15.6899995803833,15.868499803543092,-0.985393407706674
2024-04-24,58.07894515991211,490.177001953125,15.970000267028809,16.004999828338622,-0.7999219996000498
2024-04-25,58.258235931396484,438.4079284667969,15.369999885559082,16.13449983596802,-0.4117251047093756
2024-04-26,58.258235931396484,440.3050537109375,15.029999732971191,16.235499811172485,-0.4246665795629866
2024-04-29,58.541316986083984,429.70684814453125,14.670000076293945,16.28649983406067,-0.2970329428655551
2024-04-30,58.28654479980469,427.2734069824219,15.649999618530273,16.33849983215332,-0.3302357715483417
2024-05-01,58.43751907348633,436.232666015625,15.390000343322754,16.391499853134157,-0.3618400264733127
2024-05-02,58.494140625,438.7058410644531,14.680000305175781,16.307999849319458,-0.36764271952954575
2024-05-03,58.66398620605469,448.91668701171875,13.489999771118164,16.18099980354309,-0.40409586779104284
2024-05-06,58.83383560180664,462.5442810058594,13.489999771118164,16.095999813079835,-0.46385604039697653
2024-05-07,59.08860778808594,465.0870361328125,13.229999542236328,16.008499813079833,-0.4313989104663118
2024-05-08,59.305641174316406,469.417724609375,13.0,15.868499803543092,-0.4185155673268057
2024-05-09,59.333946228027344,472.21868896484375,12.6899995803833,15.75749979019165,-0.43208962273558527
2024-05-10,59.6925163269043,472.993408203125,12.550000190734863,15.519499826431275,-0.36728120834624645
2024-05-13,59.994476318359375,464.8586120605469,13.600000381469727,15.237999868392944,-0.25276157095308444
2024-05-14,59.54153823852539,468.6727294921875,13.420000076293945,14.988999891281129,-0.3673203493766053
2024-05-15,59.56985092163086,478.2974548339844,12.449999809265137,14.700999927520751,-0.4274420442330694
2024-05-16,59.7491340637207,470.0434265136719,12.420000076293945,14.42199993133545,-0.33608991163175106
2024-05-17,59.47549057006836,468.73236083984375,11.989999771118164,14.085999965667725,-0.3806381255730797
2024-05-20,59.04143142700195,465.6830749511719,12.149999618530273,13.846499919891357,-0.4446868948357236
2024-05-21,59.36225509643555,461.5013427734375,11.859999656677246,13.654999923706054,-0.35344610251187686
2024-05-22,59.44717788696289,464.6301574707031,12.289999961853027,13.470999908447265,-0.35818899843895763
2024-05-23,58.588497161865234,462.64361572265625,12.770000457763672,13.340999937057495,-0.5124924054089572
2024-05-24,58.503578186035156,474.9998474121094,11.930000305175781,13.185999965667724,-0.6133819258758643
2024-05-28,58.33372116088867,476.68841552734375,12.920000076293945,13.098499965667724,-0.6581043417362411
2024-05-29,58.220497131347656,471.16583251953125,14.279999732971191,13.02999997138977,-0.6425643829642534
2024-05-30,58.47526168823242,463.905029296875,14.470000267028809,12.983999967575073,-0.5432325567588089
2024-05-31,59.381134033203125,463.6865234375,12.920000076293945,12.895999956130982,-0.364662129866653
2024-06-03,59.381134033203125,474.2747497558594,13.109999656677246,12.876999950408935,-0.43689102728216145
2024-06-04,60.334171295166016,473.7781066894531,13.15999984741211,12.860499954223632,-0.2472034583316329
2024-06-05,60.31529998779297,491.7264404296875,12.630000114440918,12.830499982833862,-0.3733292020710524
2024-06-06,60.53232955932617,490.43524169921875,12.579999923706055,12.809499979019165,-0.32209620465109823
2024-06-07,60.30586242675781,489.6405944824219,12.220000267028809,12.78600001335144,-0.3609451993294036
2024-06-10,60.003910064697266,499.2156982421875,12.739999771118164,12.795499992370605,-0.48528858215349596
2024-06-11,59.96615982055664,504.0528564453125,12.850000381469727,12.757999992370605,-0.5256652710867631
2024-06-12,59.333946228027344,505.4136657714844,12.039999961853027,12.68899998664856,-0.6585332689504032
2024-06-13,59.43775177001953,500.7055969238281,11.9399995803833,12.663499975204468,-0.6061246940807364
2024-06-14,59.480533599853516,501.2623596191406,12.65999984741211,12.675499963760377,-0.601559730695483
2024-06-17,59.547096252441406,503.71820068359375,12.75,12.713499975204467,-0.6053008920932441
2024-06-18,59.556610107421875,496.61920166015625,12.300000190734863,12.721000003814698,-0.5550144231870352
2024-06-20,59.12868881225586,498.8165588378906,13.279999732971191,12.792000007629394,-0.653653991964686
2024-06-21,59.68973922729492,491.9362487792969,13.199999809265137,12.8375,-0.4970450090600151
2024-06-24,60.83085632324219,496.0425720214844,13.329999923706055,12.86549997329712,-0.30199131227981857
2024-06-25,60.707237243652344,507.66534423828125,12.84000015258789,12.910999965667724,-0.4054425416524306
2024-06-26,60.90692901611328,510.1708984375,12.550000190734863,12.892499971389771,-0.38349875639358477
2024-06-27,60.77379608154297,516.5739135742188,12.239999771118164,12.79049997329712,-0.4532025339632613
2024-06-28,60.52655792236328,501.322021484375,12.4399995803833,12.688999938964844,-0.3974899607092215
2024-07-01,60.17470932006836,501.77935791015625,12.220000267028809,12.653999948501587,-0.4693890777503646
2024-07-02,60.05108642578125,506.5716552734375,12.029999732971191,12.599999952316285,-0.5262461225018605
2024-07-03,60.222259521484375,507.02899169921875,12.09000015258789,12.546499967575073,-0.4959049949059246
2024-07-05,60.63115310668945,536.806884765625,12.479999542236328,12.538999938964844,-0.6191080919082063
2024-07-08,59.87041473388672,526.2777709960938,12.369999885559082,12.528499937057495,-0.6959915215291789
2024-07-09,59.61365509033203,526.953857421875,12.510000228881836,12.542999935150146,-0.750794885844199
2024-07-10,59.746795654296875,531.616943359375,12.850000381469727,12.548499965667725,-0.7565783961389242
2024-07-11,60.003543853759766,509.7532958984375,12.920000076293945,12.551999950408936,-0.5572436967671855
2024-07-12,60.574100494384766,496.0027770996094,12.460000038146973,12.572999954223633,-0.35191045760739265
2024-07-15,60.298336029052734,493.3083801269531,13.119999885559082,12.631999969482422,-0.38743671313210193
2024-07-16,61.11612319946289,486.9750061035156,13.1899995803833,12.658499956130981,-0.1843718393084559
2024-07-17,62.010005950927734,459.3347473144531,14.479999542236328,12.744999933242799,0.1789157470881427
2024-07-18,61.9909782409668,473.1151123046875,15.930000305175781,12.926499938964843,0.08119174490464227
2024-07-19,62.08607482910156,474.0496520996094,16.520000457763672,13.088499975204467,0.09340614027189276
2024-07-22,61.591590881347656,484.5986633300781,14.90999984741211,13.173999977111816,-0.07521693379597476
2024-07-23,61.772274017333984,485.88128662109375,14.720000267028809,13.243499994277954,-0.04864658077733647
2024-07-24,62.5805549621582,458.6188659667969,18.040000915527344,13.503500032424927,0.2953301008545913
2024-07-25,62.82780838012695,450.8040466308594,18.459999084472656,13.798999977111816,0.3969729396983118
2024-07-26,63.75971984863281,463.0234375,16.389999389648438,14.00649995803833,0.4957868393818677
2024-07-29,63.550506591796875,463.0333557128906,16.600000381469727,14.214499998092652,0.45482218837311117
2024-07-30,64.35880279541016,460.52783203125,17.690000534057617,14.488000011444091,0.6299196134066187
2024-07-31,63.46491622924805,472.1009216308594,16.360000610351562,14.70450005531311,0.37623546621157733
2024-08-01,64.62504577636719,494.8792724609375,18.59000015258789,15.029500055313111,0.447632166473661
2024-08-02,65.9278335571289,485.33447265625,23.389999389648438,15.575000047683716,0.7674120641753406
