Date,PEP,KDP,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,29.754362106323242,13.3100004196167,13.347500038146972,0.6460123432095284
2024-01-31,155.63519287109375,29.41752052307129,14.350000381469727,13.405000066757202,0.5692225812342766
2024-02-01,158.56263732910156,29.92278480529785,13.880000114440918,13.397000074386597,0.8072440169804147
2024-02-02,157.8885040283203,29.614013671875,13.850000381469727,13.383000087738036,0.7583950236299263
2024-02-05,157.84231567382812,29.043254852294922,13.670000076293945,13.399000072479248,0.7720793123367012
2024-02-06,158.30404663085938,29.10875129699707,13.0600004196167,13.39800009727478,0.8100611431665417
2024-02-07,158.3502197265625,29.249099731445312,12.829999923706055,13.40150008201599,0.8097131503441233
2024-02-08,160.5481414794922,29.464303970336914,12.789999961853027,13.406500101089478,0.9935059842539806
2024-02-09,154.84100341796875,29.146175384521484,12.930000305175781,13.431000137329102,0.5088103215079217
2024-02-12,157.55606079101562,29.30524253845215,13.930000305175781,13.492500162124633,0.7391552921628499
2024-02-13,155.9584197998047,28.930971145629883,15.850000381469727,13.593000173568726,0.61230917546733
2024-02-14,154.7024688720703,29.099393844604492,14.380000114440918,13.57250018119812,0.49825523906740027
2024-02-15,155.01644897460938,29.090038299560547,14.010000228881836,13.566500186920166,0.5257531963695805
2024-02-16,153.5942840576172,28.97775650024414,14.239999771118164,13.613500165939332,0.4059944443548307
2024-02-20,155.74600219726562,29.22102928161621,15.420000076293945,13.725000190734864,0.5849136973776341
2024-02-21,155.9122314453125,29.567230224609375,15.34000015258789,13.864500188827515,0.5885902221177342
2024-02-22,155.3765869140625,28.416351318359375,14.539999961853027,13.934500169754028,0.5778373727017964
2024-02-23,156.62332153320312,28.24793243408203,13.75,13.949500179290771,0.6910925487184543
2024-02-26,155.38583374023438,27.60232162475586,13.739999771118164,13.973500156402588,0.6038639271357912
2024-02-27,155.29348754882812,27.60232162475586,13.430000305175781,13.96500015258789,0.595861638343829
2024-02-28,154.2499542236328,28.098224639892578,13.84000015258789,13.99150013923645,0.4900668107781006
2024-02-29,153.8544921875,27.985942840576172,13.399999618530273,13.944000101089477,0.45927732572567215
2024-03-01,153.1565704345703,27.39647102355957,13.109999656677246,13.905500078201294,0.4170653290827297
2024-03-04,153.88238525390625,27.228050231933594,13.489999771118164,13.887500047683716,0.48518009211786506
2024-03-05,150.7837371826172,27.21869468688965,14.460000038146973,13.927000045776367,0.21695566205680228
2024-03-06,151.6770477294922,27.321617126464844,14.5,13.999000024795532,0.29117639842204807
2024-03-07,151.77938842773438,27.097055435180664,14.4399995803833,14.079500007629395,0.3070035139856704
2024-03-08,151.7235565185547,27.265474319458008,14.739999771118164,14.17699999809265,0.29694639371030024
2024-03-11,153.286865234375,27.415184020996094,15.220000267028809,14.291499996185303,0.4277761856671283
2024-03-12,153.1100311279297,27.40582847595215,13.84000015258789,14.286999988555909,0.4127424804970256
2024-03-13,153.81729125976562,27.04091453552246,13.75,14.181999969482423,0.4853383387446423
2024-03-14,153.33338928222656,27.134483337402344,14.399999618530273,14.18299994468689,0.4405061345811121
2024-03-15,153.2217254638672,27.022201538085938,14.40999984741211,14.202999925613403,0.43430927498170824
2024-03-18,159.36325073242188,27.61167335510254,14.329999923706055,14.207499933242797,0.9482384776904307
2024-03-19,159.86572265625,27.424537658691406,13.819999694824219,14.127499914169311,0.9975793307127508
2024-03-20,159.9215545654297,27.798809051513672,13.039999961853027,14.012499904632568,0.9908194876106758
2024-03-21,160.4705810546875,27.677173614501953,12.920000076293945,13.931499910354614,1.0421648100699554
2024-03-22,160.07044982910156,27.883020401000977,13.0600004196167,13.896999931335449,1.001112501113481
2024-03-25,160.6101837158203,28.519277572631836,13.1899995803833,13.869499921798706,1.0281668863341396
2024-03-26,160.7311248779297,28.753192901611328,13.239999771118164,13.859999895095825,1.0313984800363445
2024-03-27,161.5127716064453,28.823863983154297,12.779999732971191,13.80699987411499,1.0969423621220713
2024-03-28,162.85272216796875,28.899242401123047,13.010000228881836,13.787499904632568,1.2107203700550102
2024-04-01,160.96376037597656,29.42691421508789,13.649999618530273,13.81449990272522,1.0306802118844214
2024-04-02,159.53073120117188,29.134811401367188,14.609999656677246,13.870499897003175,0.9155523332612564
2024-04-03,157.89297485351562,29.219614028930664,14.329999923706055,13.863999891281129,0.7710041565656971
2024-04-04,157.86509704589844,28.908666610717773,16.350000381469727,13.956499910354614,0.7782240789733014
2024-04-05,157.39051818847656,28.99346923828125,16.030000686645508,14.035999965667724,0.7344714202240868
2024-04-08,157.7999267578125,29.021738052368164,15.1899995803833,14.058499956130982,0.7690728528953575
2024-04-09,158.75839233398438,29.219614028930664,14.979999542236328,14.046499919891357,0.8459971855024003
2024-04-10,157.21371459960938,28.880399703979492,15.800000190734863,14.144499921798706,0.7226542633926545
2024-04-11,156.66468811035156,29.040584564208984,14.90999984741211,14.202499914169312,0.6701143659320695
2024-04-12,156.42274475097656,28.475223541259766,17.309999465942383,14.347999906539917,0.6666681743078304
2024-04-15,155.35263061523438,28.6731014251709,19.229999542236328,14.588999891281128,0.5678052231818885
2024-04-16,155.8644256591797,28.682523727416992,18.399999618530273,14.792499876022339,0.6118630069871107
2024-04-17,157.70689392089844,29.097118377685547,18.209999084472656,15.01199984550476,0.7586751663908605
2024-04-18,160.30308532714844,29.332685470581055,18.0,15.259999847412109,0.976349177651023
2024-04-19,162.03387451171875,29.681324005126953,18.709999084472656,15.549499797821046,1.1155276083379262
2024-04-22,164.2020263671875,29.926311492919922,16.940000534057617,15.743499803543092,1.2958177947022664
2024-04-23,159.32603454589844,29.926311492919922,15.6899995803833,15.868499803543092,0.8732871617977889
2024-04-24,165.0860137939453,30.472827911376953,15.970000267028809,16.004999828338622,1.3554844798928323
2024-04-25,164.40670776367188,31.8862247467041,15.369999885559082,16.13449983596802,1.252820456420565
2024-04-26,163.3831329345703,31.773151397705078,15.029999732971191,16.235499811172485,1.1676261847821372
2024-04-29,163.90423583984375,31.754302978515625,14.670000076293945,16.28649983406067,1.2133666014225093
2024-04-30,163.69021606445312,31.754302978515625,15.649999618530273,16.33849983215332,1.194820649242063
2024-05-01,162.98301696777344,31.415088653564453,15.390000343322754,16.391499853134157,1.1440497067005335
2024-05-02,163.26219177246094,31.62238883972168,14.680000305175781,16.307999849319458,1.1618178412032834
2024-05-03,163.91354370117188,31.876800537109375,13.489999771118164,16.18099980354309,1.2103772053846105
2024-05-06,163.60650634765625,31.62238883972168,13.489999771118164,16.095999813079835,1.1916545309902342
2024-05-07,165.65365600585938,31.85796356201172,13.229999542236328,16.008499813079833,1.3617509173113989
2024-05-08,165.0860137939453,31.754302978515625,13.0,15.868499803543092,1.3157739485224236
2024-05-09,165.6908721923828,32.02756118774414,12.6899995803833,15.75749979019165,1.3597203825620239
2024-05-10,167.30068969726562,32.06525421142578,12.550000190734863,15.519499826431275,1.4980515972519732
2024-05-13,168.33358764648438,32.15005111694336,13.600000381469727,15.237999868392944,1.584930001296373
2024-05-14,167.37513732910156,32.197174072265625,13.420000076293945,14.988999891281129,1.5004149292495785
2024-05-15,166.99363708496094,31.85796356201172,12.449999809265137,14.700999927520751,1.4778674068757982
2024-05-16,170.39007568359375,32.16889953613281,12.420000076293945,14.42199993133545,1.7625515532915312
2024-05-17,169.5339813232422,31.801416397094727,11.989999771118164,14.085999965667725,1.6997540420154744
2024-05-20,167.7845458984375,31.735462188720703,12.149999618530273,13.846499919891357,1.550199953364144
2024-05-21,168.50111389160156,31.999290466308594,11.859999656677246,13.654999923706054,1.6041188341728125
2024-05-22,169.44091796875,32.2913932800293,12.289999961853027,13.470999908447265,1.6765061339936997
2024-05-23,166.81683349609375,32.01813507080078,12.770000457763672,13.340999937057495,1.4575830177964775
2024-05-24,165.62576293945312,32.21601104736328,11.930000305175781,13.185999965667724,1.3482386083841384
2024-05-28,161.3359832763672,31.76372718811035,12.920000076293945,13.098499965667724,0.9905218142565902
2024-05-29,159.26087951660156,31.71661376953125,14.279999732971191,13.02999997138977,0.8121629906677791
2024-05-30,158.63742065429688,31.942760467529297,14.470000267028809,12.983999967575073,0.7511290972860036
2024-05-31,160.8893280029297,32.27254867553711,12.920000076293945,12.895999956130982,0.9360493259737216
2024-06-03,159.33531188964844,32.385623931884766,13.109999656677246,12.876999950408935,0.797881569871429
2024-06-04,161.810546875,32.80963897705078,13.15999984741211,12.860499954223632,0.9992344118324307
2024-06-05,161.43833923339844,32.77194595336914,12.630000114440918,12.830499982833862,0.9681486762136099
2024-06-06,161.16848754882812,32.517539978027344,12.579999923706055,12.809499979019165,0.9526481605555502
2024-06-07,160.4134979248047,32.630611419677734,12.220000267028809,12.78600001335144,0.8837204189939601
2024-06-10,155.59283447265625,32.187747955322266,12.739999771118164,12.795499992370605,0.479707799564472
2024-06-11,154.81442260742188,31.876800537109375,12.850000381469727,12.757999992370605,0.42188995283621294
2024-06-12,153.6514434814453,31.66950225830078,12.039999961853027,12.68899998664856,0.3275354127115422
2024-06-13,153.1824951171875,32.09352493286133,11.9399995803833,12.663499975204468,0.2737588671597293
2024-06-14,153.6326904296875,32.07468032836914,12.65999984741211,12.675499963760377,0.3133546454284095
2024-06-17,155.81793212890625,32.68714141845703,12.75,12.713499975204467,0.4837384335012303
2024-06-18,156.1367950439453,32.498695373535156,12.300000190734863,12.721000003814698,0.5172091943283393
2024-06-20,156.32435607910156,32.234859466552734,13.279999732971191,12.792000007629394,0.5416381404543341
2024-06-21,156.88710021972656,32.39504623413086,13.199999809265137,12.8375,0.5854390238870986
2024-06-24,157.6374053955078,32.66830062866211,13.329999923706055,12.86549997329712,0.6419893132099439
2024-06-25,156.9527587890625,32.42331314086914,12.84000015258789,12.910999965667724,0.5902527493209738
2024-06-26,156.38064575195312,32.37620162963867,12.550000190734863,12.892499971389771,0.542136009060592
2024-06-27,155.93048095703125,32.15005111694336,12.239999771118164,12.79049997329712,0.5101348187870408
2024-06-28,154.68310546875,31.671199798583984,12.4399995803833,12.688999938964844,0.4168818090117588
2024-07-01,152.7698516845703,31.14018440246582,12.220000267028809,12.653999948501587,0.2675433700947174
2024-07-02,153.41697692871094,31.083288192749023,12.029999732971191,12.599999952316285,0.32538332320696983
2024-07-03,152.49786376953125,31.026395797729492,12.09000015258789,12.546499967575073,0.24750026765098426
2024-07-05,154.1766357421875,30.969499588012695,12.479999542236328,12.538999938964844,0.3947378984275757
2024-07-08,152.04766845703125,30.618650436401367,12.369999885559082,12.528499937057495,0.22112371982572965
2024-07-09,151.8413543701172,30.296249389648438,12.510000228881836,12.542999935150146,0.2132361159709902
2024-07-10,153.4263458251953,30.296249389648438,12.850000381469727,12.548499965667725,0.3505840581349496
2024-07-11,153.7639923095703,30.751401901245117,12.920000076293945,12.551999950408936,0.3657385917080005
2024-07-12,156.0430145263672,30.931568145751953,12.460000038146973,12.572999954223633,0.5576449746342106
2024-07-15,153.6795654296875,30.978981018066406,13.119999885559082,12.631999969482422,0.3513702994004895
2024-07-16,154.52365112304688,30.969499588012695,13.1899995803833,12.658499956130981,0.4248086273943312
2024-07-17,159.33493041992188,31.367759704589844,14.479999542236328,12.744999933242799,0.8293902347184835
2024-07-18,159.78512573242188,31.42465591430664,15.930000305175781,12.926499938964843,0.866638945880053
2024-07-19,158.837890625,31.272933959960938,16.520000457763672,13.088499975204467,0.7892575657442514
2024-07-22,157.24346923828125,31.13070297241211,14.90999984741211,13.173999977111816,0.6554999438750908
2024-07-23,155.94921875,30.94105339050293,14.720000267028809,13.243499994277954,0.5492231414818003
2024-07-24,157.72181701660156,31.073806762695312,18.040000915527344,13.503500032424927,0.6987144316324367
2024-07-25,160.39474487304688,31.491029739379883,18.459999084472656,13.798999977111816,0.917408886235719
2024-07-26,162.01727294921875,31.99359703063965,16.389999389648438,14.00649995803833,1.042435949728251
2024-07-29,162.4486846923828,32.3918571472168,16.600000381469727,14.214499998092652,1.067478731448299
2024-07-30,162.4205322265625,32.35392379760742,17.690000534057617,14.488000011444091,1.066214654531104
2024-07-31,161.9422149658203,32.50564193725586,16.360000610351562,14.70450005531311,1.0200644558533143
2024-08-01,164.08995056152344,32.77115249633789,18.59000015258789,15.029500055313111,1.1979494928412557
2024-08-02,166.97857666015625,33.25475311279297,23.389999389648438,15.575000047683716,1.4332784279749327
2024-08-05,163.22708129882812,32.52460861206055,38.56999969482422,16.885000038146973,1.1308172174309776
2024-08-06,161.77340698242188,32.69529342651367,27.709999084472656,17.644999980926514,0.9995593987052409
2024-08-07,161.1168975830078,32.79011917114258,27.850000381469727,18.394999980926514,0.9397308927978553
2024-08-08,161.66085815429688,32.74270248413086,23.790000915527344,18.938500022888185,0.9883373253478476
2024-08-09,161.6796417236328,32.77115249633789,20.3700008392334,19.334000062942504,0.9890834085458272
2024-08-12,160.76986694335938,32.99872970581055,20.709999084472656,19.713500022888184,0.9031943887015303
2024-08-13,161.66085815429688,33.33061599731445,18.1200008392334,19.96000008583069,0.9701189779082098
2024-08-14,162.91763305664062,33.48233413696289,16.190000534057617,20.045500135421754,1.074323746319451
2024-08-15,161.8015594482422,33.50129699707031,15.229999542236328,20.01050009727478,0.9770224065374913
2024-08-16,161.8953399658203,33.558189392089844,14.800000190734863,19.92450008392334,0.9833859977067545
2024-08-19,163.0207977294922,33.77628707885742,14.649999618530273,19.91150007247925,1.0741544585764478
2024-08-20,164.92466735839844,33.880592346191406,15.880000114440918,19.969500064849854,1.2359026645832243
2024-08-21,164.32443237304688,33.643531799316406,16.270000457763672,19.88100004196167,1.1912351755836692
2024-08-22,164.82151794433594,33.823699951171875,17.549999237060547,19.835500049591065,1.2287272086885375
2024-08-23,164.94342041015625,33.880592346191406,15.859999656677246,19.809000062942506,1.237527716289325
2024-08-26,165.03721618652344,34.259891510009766,16.149999618530273,19.786500024795533,1.2339018429753976
2024-08-27,164.40882873535156,34.487464904785156,15.430000305175781,19.67350001335144,1.1723966504645098
2024-08-28,163.11456298828125,34.34523391723633,17.110000610351562,19.71100001335144,1.0646491116797325
2024-08-29,161.3982696533203,34.297813415527344,15.649999618530273,19.56399998664856,0.9173926363039877
2024-08-30,162.13919067382812,34.71504211425781,15.0,19.144500017166138,0.968668242460981
2024-09-03,166.50967407226562,35.22709655761719,20.719999313354492,18.25199999809265,1.3315262652736832
