Date,XOM,TXN,VIX,AvgVIX,zscore
2024-01-30,97.15435791015625,152.04049682617188,13.3100004196167,13.347500038146972,-0.254179274811751
2024-01-31,95.26409149169922,150.22972106933594,14.350000381469727,13.405000066757202,-0.3408224078313429
2024-02-01,94.87492370605469,149.82626342773438,13.880000114440918,13.397000074386597,-0.3576032332939673
2024-02-02,94.48574829101562,149.3665313720703,13.850000381469727,13.383000087738036,-0.3724438541862186
2024-02-05,94.0965805053711,149.08506774902344,13.670000076293945,13.399000072479248,-0.3934320404521581
2024-02-06,94.74519348144531,148.58779907226562,13.0600004196167,13.39800009727478,-0.3251231525418721
2024-02-07,94.71739959716797,148.96311950683594,12.829999923706055,13.40150008201599,-0.3402595252780861
2024-02-08,96.33895111083984,150.3141632080078,12.789999961853027,13.406500101089478,-0.2589557627304946
2024-02-09,94.3004150390625,152.36886596679688,12.930000305175781,13.431000137329102,-0.49060718383560925
2024-02-12,95.5976791381836,151.1304473876953,13.930000305175781,13.492500162124633,-0.34557536133188727
2024-02-13,94.77467346191406,147.16168212890625,15.850000381469727,13.593000173568726,-0.27361365217976036
2024-02-14,94.30706787109375,148.11868286132812,14.380000114440918,13.57250018119812,-0.34350104756035876
2024-02-15,97.00984191894531,150.78326416015625,14.010000228881836,13.566500186920166,-0.2222181262453574
2024-02-16,97.00984191894531,150.47366333007812,14.239999771118164,13.613500165939332,-0.211540533912744
2024-02-20,96.09333038330078,152.6879119873047,15.420000076293945,13.725000190734864,-0.3601954030154136
2024-02-21,98.05728149414062,153.94509887695312,15.34000015258789,13.864500188827515,-0.24864812018611424
2024-02-22,97.9731216430664,155.21170043945312,14.539999961853027,13.934500169754028,-0.2989690554025666
2024-02-23,97.11270904541016,153.57920837402344,13.75,13.949500179290771,-0.3105317800304761
2024-02-26,97.49615478515625,154.15151977539062,13.739999771118164,13.973500156402588,-0.30002574900337364
2024-02-27,97.29039764404297,154.7519989013672,13.430000305175781,13.96500015258789,-0.3369641971042836
2024-02-28,97.5616226196289,152.96932983398438,13.84000015258789,13.99150013923645,-0.25409034487487403
2024-02-29,97.7486572265625,156.99436950683594,13.399999618530273,13.944000101089477,-0.3781546966100171
2024-03-01,98.98314666748047,160.484619140625,13.109999656677246,13.905500078201294,-0.40115770205609014
2024-03-04,97.5990219116211,161.7887420654297,13.489999771118164,13.887500047683716,-0.5553066349278192
2024-03-05,98.79611206054688,160.09994506835938,14.460000038146973,13.927000045776367,-0.4026432069376674
2024-03-06,99.85289001464844,161.25393676757812,14.5,13.999000024795532,-0.35908964013989536
2024-03-07,100.41401672363281,164.44393920898438,14.4399995803833,14.079500007629395,-0.4248487250797476
2024-03-08,101.35858917236328,161.65740966796875,14.739999771118164,14.17699999809265,-0.25424359933390955
2024-03-11,101.95713806152344,163.43063354492188,15.220000267028809,14.291499996185303,-0.26818881207005424
2024-03-12,101.30248260498047,164.00296020507812,13.84000015258789,14.286999988555909,-0.33956291586005566
2024-03-13,102.43408966064453,162.01390075683594,13.75,14.181999969482423,-0.18170889959312342
2024-03-14,104.2484130859375,160.5690460205078,14.399999618530273,14.18299994468689,0.011225289616146095
2024-03-15,104.06135559082031,161.86380004882812,14.40999984741211,14.202999925613403,-0.04818256490928611
2024-03-18,105.02464294433594,158.7582550048828,14.329999923706055,14.207499933242797,0.13490097568415488
2024-03-19,105.7634506225586,156.45956420898438,13.819999694824219,14.127499914169311,0.27245182172777943
2024-03-20,105.66993713378906,159.48068237304688,13.039999961853027,14.012499904632568,0.16088290824329865
2024-03-21,106.13752746582031,161.92947387695312,12.920000076293945,13.931499910354614,0.11330926944924978
2024-03-22,106.13752746582031,161.82627868652344,13.0600004196167,13.896999931335449,0.11686829147711952
2024-03-25,107.22238159179688,160.2969512939453,13.1899995803833,13.869499921798706,0.25517934218293464
2024-03-26,106.41809844970703,157.53854370117188,13.239999771118164,13.859999895095825,0.2868746563198889
2024-03-27,107.52165222167969,162.19216918945312,12.779999732971191,13.80699987411499,0.21342137563346023
2024-03-28,108.7093734741211,163.44940185546875,13.010000228881836,13.787499904632568,0.26374241569287404
2024-04-01,109.4107894897461,162.4736328125,13.649999618530273,13.81449990272522,0.35271875422461296
2024-04-02,111.55242919921875,159.8372039794922,14.609999656677246,13.870499897003175,0.6125651299545909
2024-04-03,111.57113647460938,159.81846618652344,14.329999923706055,13.863999891281129,0.6146868888483606
2024-04-04,111.96392822265625,158.12025451660156,16.350000381469727,13.956499910354614,0.7042364590169368
2024-04-05,113.50704193115234,157.15386962890625,16.030000686645508,14.035999965667724,0.8592775545691347
2024-04-08,112.74015808105469,158.99281311035156,15.1899995803833,14.058499956130982,0.7353680998782386
2024-04-09,113.32933807373047,162.7457275390625,14.979999542236328,14.046499919891357,0.6524078487640623
2024-04-10,114.28325653076172,158.4861602783203,15.800000190734863,14.144499921798706,0.8745526355995398
2024-04-11,113.89981842041016,160.6253204345703,14.90999984741211,14.202499914169312,0.770533284211506
2024-04-12,112.57182312011719,156.05612182617188,17.309999465942383,14.347999906539917,0.8233721383587896
2024-04-15,111.92652130126953,156.0749053955078,19.229999542236328,14.588999891281128,0.7718265323181859
2024-04-16,111.00066375732422,157.23829650878906,18.399999618530273,14.792499876022339,0.6586767452194344
2024-04-17,110.94453430175781,155.4650421142578,18.209999084472656,15.01199984550476,0.7154060176027504
2024-04-18,110.84165954589844,153.56044006347656,18.0,15.259999847412109,0.7729782339359504
2024-04-19,112.11355590820312,149.81687927246094,18.709999084472656,15.549499797821046,1.0024071744945213
