Date,XOM,CVX,VIX,AvgVIX,zscore
2024-01-30,97.15435791015625,136.21121215820312,13.3100004196167,13.347500038146972,-0.8132116469061167
2024-01-31,95.26409149169922,133.77041625976562,14.350000381469727,13.405000066757202,-0.7631418684817639
2024-02-01,94.87492370605469,134.1878204345703,13.880000114440918,13.397000074386597,-0.9015661105936928
2024-02-02,94.48574829101562,138.1348114013672,13.850000381469727,13.383000087738036,-1.6106582566622154
2024-02-05,94.0965805053711,138.21644592285156,13.670000076293945,13.399000072479248,-1.694794983376054
2024-02-06,94.74519348144531,138.23460388183594,13.0600004196167,13.39800009727478,-1.5795007943308346
2024-02-07,94.71739959716797,138.03497314453125,12.829999923706055,13.40150008201599,-1.552290635447538
2024-02-08,96.33895111083984,139.78619384765625,12.789999961853027,13.406500101089478,-1.5398510139255641
2024-02-09,94.3004150390625,137.04595947265625,12.930000305175781,13.431000137329102,-1.46839455230322
2024-02-12,95.5976791381836,137.98963928222656,13.930000305175781,13.492500162124633,-1.3845025655724055
2024-02-13,94.77467346191406,136.64675903320312,15.850000381469727,13.593000173568726,-1.317403077626022
2024-02-14,94.30706787109375,137.01873779296875,14.380000114440918,13.57250018119812,-1.462780642078675
2024-02-15,97.00984191894531,141.67837524414062,14.010000228881836,13.566500186920166,-1.723489653979113
2024-02-16,97.00984191894531,141.8343048095703,14.239999771118164,13.613500165939332,-1.7487004751494402
2024-02-20,96.09333038330078,141.25643920898438,15.420000076293945,13.725000190734864,-1.8223335533729432
2024-02-21,98.05728149414062,142.57730102539062,15.34000015258789,13.864500188827515,-1.6779001249684573
2024-02-22,97.9731216430664,142.56809997558594,14.539999961853027,13.934500169754028,-1.6917532543245621
2024-02-23,97.11270904541016,141.8618621826172,13.75,13.949500179290771,-1.7344052258162999
2024-02-26,97.49615478515625,141.669189453125,13.739999771118164,13.973500156402588,-1.6333587714163225
2024-02-27,97.29039764404297,139.56871032714844,13.430000305175781,13.96500015258789,-1.3312572366915765
2024-02-28,97.5616226196289,139.7338104248047,13.84000015258789,13.99150013923645,-1.3085115300072536
2024-02-29,97.7486572265625,139.43112182617188,13.399999618530273,13.944000101089477,-1.2254796852965728
2024-03-01,98.98314666748047,140.16493225097656,13.109999656677246,13.905500078201294,-1.119098485822801
2024-03-04,97.5990219116211,136.56011962890625,13.489999771118164,13.887500047683716,-0.7885693862722124
2024-03-05,98.79611206054688,137.2113800048828,14.460000038146973,13.927000045776367,-0.6756586162200227
2024-03-06,99.85289001464844,136.05564880371094,14.5,13.999000024795532,-0.2961682347002986
2024-03-07,100.41401672363281,137.0095977783203,14.4399995803833,14.079500007629395,-0.34812061739380334
2024-03-08,101.35858917236328,137.47738647460938,14.739999771118164,14.17699999809265,-0.2515752359319629
2024-03-11,101.95713806152344,139.42193603515625,15.220000267028809,14.291499996185303,-0.4568673793685298
2024-03-12,101.30248260498047,139.321044921875,13.84000015258789,14.286999988555909,-0.5598866344474646
2024-03-13,102.43408966064453,141.1555633544922,13.75,14.181999969482423,-0.650222346114471
2024-03-14,104.2484130859375,142.81578063964844,14.399999618530273,14.18299994468689,-0.5879305120012273
2024-03-15,104.06135559082031,142.67820739746094,14.40999984741211,14.202999925613403,-0.5997846300582479
