Date,MS,GOOGL,VIX,AvgVIX,zscore
2024-01-30,82.146728515625,150.2184600830078,13.3100004196167,13.347500038146972,-1.3933747945157033
2024-01-31,81.79046630859375,138.95155334472656,14.350000381469727,13.405000066757202,-1.0244876378751822
2024-02-01,81.39671325683594,140.0028839111328,13.880000114440918,13.397000074386597,-1.09110240346406
2024-02-02,81.818603515625,141.21286010742188,13.850000381469727,13.383000087738036,-1.1017941213532054
2024-02-05,80.5248031616211,142.50221252441406,13.670000076293945,13.399000072479248,-1.2446284303965458
2024-02-06,80.7216796875,142.9187774658203,13.0600004196167,13.39800009727478,-1.2444166711465086
2024-02-07,80.62792205810547,144.3469696044922,12.829999923706055,13.40150008201599,-1.3016504548843872
2024-02-08,80.29978942871094,144.71395874023438,12.789999961853027,13.406500101089478,-1.3392804297687109
2024-02-09,80.5248031616211,147.7786102294922,12.930000305175781,13.431000137329102,-1.4299607064761062
2024-02-12,81.44359588623047,146.32066345214844,13.930000305175781,13.492500162124633,-1.309478264468969
2024-02-13,78.7247314453125,143.95025634765625,15.850000381469727,13.593000173568726,-1.4312070761104783
2024-02-14,78.75285339355469,144.74368286132812,14.380000114440918,13.57250018119812,-1.4569557482543147
2024-02-15,80.31855010986328,141.5996856689453,14.010000228881836,13.566500186920166,-1.228477830628956
2024-02-16,81.09669494628906,139.3681182861328,14.239999771118164,13.613500165939332,-1.0914262894453484
2024-02-20,80.0185317993164,139.9632110595703,15.420000076293945,13.725000190734864,-1.1936169150808043
2024-02-21,80.12165832519531,141.38150024414062,15.34000015258789,13.864500188827515,-1.2356587759706965
2024-02-22,80.4873046875,142.9088592529297,14.539999961853027,13.934500169754028,-1.2617390027842674
2024-02-23,81.14358520507812,142.7799072265625,13.75,13.949500179290771,-1.2077293126058586
2024-02-26,80.31855010986328,136.44232177734375,13.739999771118164,13.973500156402588,-1.0473265903270466
2024-02-27,80.14979553222656,137.74156188964844,13.430000305175781,13.96500015258789,-1.1056853593344518
2024-02-28,80.67481231689453,135.26206970214844,13.84000015258789,13.99150013923645,-0.9790101086964824
2024-02-29,80.66543579101562,137.32504272460938,13.399999618530273,13.944000101089477,-1.0521785128565335
2024-03-01,81.07795715332031,136.0158233642578,13.109999656677246,13.905500078201294,-0.9750904246507651
2024-03-04,84.41556549072266,132.2568817138672,13.489999771118164,13.887500047683716,-0.5914194189003295
2024-03-05,83.56240844726562,131.58248901367188,14.460000038146973,13.927000045776367,-0.6320553158493672
