Date,KO,MNST,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,55.310001373291016,13.3100004196167,13.347500038146972,-1.8373257022963663
2024-01-31,55.6896858215332,55.02000045776367,14.350000381469727,13.405000066757202,-1.8988247096556772
2024-02-01,57.084495544433594,55.939998626708984,13.880000114440918,13.397000074386597,-1.6616495465580556
2024-02-02,56.672603607177734,55.349998474121094,13.850000381469727,13.383000087738036,-1.6991762262877865
2024-02-05,56.20454788208008,55.119998931884766,13.670000076293945,13.399000072479248,-1.7868054976836192
2024-02-06,56.110931396484375,56.34000015258789,13.0600004196167,13.39800009727478,-1.9336362483267968
2024-02-07,56.157737731933594,56.459999084472656,12.829999923706055,13.40150008201599,-1.9347801768540054
2024-02-08,56.00796127319336,56.4900016784668,12.789999961853027,13.406500101089478,-1.9734027030038195
2024-02-09,55.755210876464844,55.65999984741211,12.930000305175781,13.431000137329102,-1.9486351504933117
2024-02-12,55.886268615722656,55.93000030517578,13.930000305175781,13.492500162124633,-1.9450975611389834
2024-02-13,55.558624267578125,56.15999984741211,15.850000381469727,13.593000173568726,-2.0463742108100993
2024-02-14,55.5024528503418,55.869998931884766,14.380000114440918,13.57250018119812,-2.0300903982436376
2024-02-15,55.60543441772461,56.16999816894531,14.010000228881836,13.566500186920166,-2.0362822689518842
2024-02-16,55.596065521240234,55.02000045776367,14.239999771118164,13.613500165939332,-1.9210509600383707
2024-02-20,56.822383880615234,55.400001525878906,15.420000076293945,13.725000190734864,-1.6687242092412702
2024-02-21,57.327884674072266,55.13999938964844,15.34000015258789,13.864500188827515,-1.5221586073317157
2024-02-22,57.24363708496094,55.11000061035156,14.539999961853027,13.934500169754028,-1.5390957572649993
2024-02-23,57.290443420410156,55.290000915527344,13.75,13.949500179290771,-1.5463679546387645
2024-02-26,56.83173751831055,55.720001220703125,13.739999771118164,13.973500156402588,-1.699186897897125
2024-02-27,56.48537826538086,56.11000061035156,13.430000305175781,13.96500015258789,-1.8212482847470646
