Date,KO,LRCX,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,81.88839721679688,13.3100004196167,13.347500038146972,-1.6706778850004294
2024-01-31,55.6896858215332,80.8478775024414,14.350000381469727,13.405000066757202,-1.7388845474669503
2024-02-01,57.084495544433594,81.53765106201172,13.880000114440918,13.397000074386597,-1.4398129370914876
2024-02-02,56.672603607177734,82.17351531982422,13.850000381469727,13.383000087738036,-1.5420326555410813
2024-02-05,56.20454788208008,83.40999603271484,13.670000076293945,13.399000072479248,-1.6667008951981013
2024-02-06,56.110931396484375,81.77376556396484,13.0600004196167,13.39800009727478,-1.6604449319570143
2024-02-07,56.157737731933594,83.13760375976562,12.829999923706055,13.40150008201599,-1.672610394321681
2024-02-08,56.00796127319336,84.68760681152344,12.789999961853027,13.406500101089478,-1.7316193717032011
2024-02-09,55.755210876464844,89.31409454345703,12.930000305175781,13.431000137329102,-1.8644969786551482
2024-02-12,55.886268615722656,88.96334075927734,13.930000305175781,13.492500162124633,-1.8295142280808645
2024-02-13,55.558624267578125,87.45350646972656,15.850000381469727,13.593000173568726,-1.8774475497178766
2024-02-14,55.5024528503418,89.71776580810547,14.380000114440918,13.57250018119812,-1.9274473415387214
2024-02-15,55.60543441772461,89.5296401977539,14.010000228881836,13.566500186920166,-1.901407625399649
2024-02-16,55.596065521240234,90.72987365722656,14.239999771118164,13.613500165939332,-1.9233688161392324
2024-02-20,56.822383880615234,88.2226333618164,15.420000076293945,13.725000190734864,-1.6088626578143175
2024-02-21,57.327884674072266,88.36860656738281,15.34000015258789,13.864500188827515,-1.4987520345378247
2024-02-22,57.24363708496094,92.5257797241211,14.539999961853027,13.934500169754028,-1.5863480230020501
2024-02-23,57.290443420410156,90.97187805175781,13.75,13.949500179290771,-1.550196333809699
2024-02-26,56.83173751831055,91.97711944580078,13.739999771118164,13.973500156402588,-1.6689539654596124
2024-02-27,56.48537826538086,91.19036865234375,13.430000305175781,13.96500015258789,-1.7330274608402518
2024-02-28,56.54155349731445,90.40066528320312,13.84000015258789,13.99150013923645,-1.7074451530258679
2024-02-29,56.18582534790039,91.9271469116211,13.399999618530273,13.944000101089477,-1.8119108652070377
2024-03-01,55.72712326049805,96.1676025390625,13.109999656677246,13.905500078201294,-1.9842421071917944
2024-03-04,55.98923873901367,95.77470397949219,13.489999771118164,13.887500047683716,-1.9193871055816625
2024-03-05,55.7177619934082,94.36188507080078,14.460000038146973,13.927000045776367,-1.9564236916370572
2024-03-06,55.74584197998047,96.1999282836914,14.5,13.999000024795532,-1.9806105006068486
2024-03-07,55.64287185668945,97.44522857666016,14.4399995803833,14.079500007629395,-2.024154257076002
2024-03-08,55.7177619934082,93.72994232177734,14.739999771118164,14.17699999809265,-1.945958854139691
2024-03-11,56.39176559448242,91.23641967773438,15.220000267028809,14.291499996185303,-1.7546288721107681
2024-03-12,56.635154724121094,93.3602066040039,13.84000015258789,14.286999988555909,-1.7356182591931075
2024-03-13,57.21555709838867,90.99191284179688,13.75,14.181999969482423,-1.5671983093622412
2024-03-14,57.08816909790039,90.89078521728516,14.399999618530273,14.18299994468689,-1.5938810911682713
2024-03-15,56.50312805175781,89.36003875732422,14.40999984741211,14.202999925613403,-1.6987663641730995
2024-03-18,56.739036560058594,90.85151672363281,14.329999923706055,14.207499933242797,-1.6709500864792053
2024-03-19,56.83338928222656,91.41805267333984,13.819999694824219,14.127499914169311,-1.6593282447703255
2024-03-20,57.32406997680664,93.18840026855469,13.039999961853027,14.012499904632568,-1.5794159704753792
2024-03-21,57.05985641479492,96.47672271728516,12.920000076293945,13.931499910354614,-1.6926856234075538
2024-03-22,57.078731536865234,96.01817321777344,13.0600004196167,13.896999931335449,-1.6808904109204166
2024-03-25,56.99380874633789,95.38584899902344,13.1899995803833,13.869499921798706,-1.68932364608461
2024-03-26,57.125911712646484,94.97051239013672,13.239999771118164,13.859999895095825,-1.6530387430335611
2024-03-27,57.58827590942383,94.81733703613281,12.779999732971191,13.80699987411499,-1.5475767825240216
2024-03-28,57.72981643676758,95.39664459228516,13.010000228881836,13.787499904632568,-1.5256621101071504
2024-04-01,57.25801467895508,96.4001235961914,13.649999618530273,13.81449990272522,-1.64730578334181
2024-04-02,56.757904052734375,94.9803237915039,14.609999656677246,13.870499897003175,-1.735122221283358
