Date,BP,CL,VIX,AvgVIX,zscore
2024-01-30,31.658245086669922,79.9580078125,13.3100004196167,13.347500038146972,-0.5580787109391462
2024-01-31,30.961395263671875,79.92949676513672,14.350000381469727,13.405000066757202,-0.7195975920738843
2024-02-01,30.98786163330078,81.75214385986328,13.880000114440918,13.397000074386597,-0.6278977368133487
2024-02-02,30.555631637573242,80.3282241821289,13.850000381469727,13.383000087738036,-0.7941377700255535
2024-02-05,30.202800750732422,79.8250961303711,13.670000076293945,13.399000072479248,-0.8988740640329312
2024-02-06,32.09929656982422,79.49285125732422,13.0600004196167,13.39800009727478,-0.4785475926929582
2024-02-07,31.905231475830078,79.60675811767578,12.829999923706055,13.40150008201599,-0.5178052616703263
2024-02-08,31.94051742553711,79.98648071289062,12.789999961853027,13.406500101089478,-0.49185742269425076
2024-02-09,32.07283401489258,79.22705078125,12.930000305175781,13.431000137329102,-0.4971159364452874
2024-02-12,32.13457489013672,79.32198333740234,13.930000305175781,13.492500162124633,-0.4784647063607893
2024-02-13,31.790559768676758,79.23654174804688,15.850000381469727,13.593000173568726,-0.5615543649639178
2024-02-14,31.543575286865234,79.46436309814453,14.380000114440918,13.57250018119812,-0.6076252450848879
2024-02-15,31.798969268798828,79.33148193359375,14.010000228881836,13.566500186920166,-0.5551616576610479
2024-02-16,31.656091690063477,79.24604034423828,14.239999771118164,13.613500165939332,-0.5920173455906302
2024-02-20,31.59358024597168,80.31871795654297,15.420000076293945,13.725000190734864,-0.5559988892723656
2024-02-21,31.879337310791016,80.98321533203125,15.34000015258789,13.864500188827515,-0.4591002568034368
2024-02-22,31.691810607910156,81.63822174072266,14.539999961853027,13.934500169754028,-0.47143762071119377
2024-02-23,31.59358024597168,81.87554168701172,13.75,13.949500179290771,-0.48286932975942276
2024-02-26,31.53999900817871,81.78063201904297,13.739999771118164,13.973500156402588,-0.4996438903547699
2024-02-27,31.629297256469727,82.02743530273438,13.430000305175781,13.96500015258789,-0.46752434529268616
2024-02-28,31.218530654907227,82.40715026855469,13.84000015258789,13.99150013923645,-0.544107602095851
2024-02-29,31.245319366455078,82.13184356689453,13.399999618530273,13.944000101089477,-0.5508820199547073
2024-03-01,31.825756072998047,82.10337829589844,13.109999656677246,13.905500078201294,-0.4187985250714308
2024-03-04,31.85254669189453,82.42613983154297,13.489999771118164,13.887500047683716,-0.3974791077377273
2024-03-05,31.968637466430664,82.3311996459961,14.460000038146973,13.927000045776367,-0.37525387544850014
2024-03-06,32.522281646728516,82.75838470458984,14.5,13.999000024795532,-0.22792545657031224
2024-03-07,32.53120803833008,83.66969299316406,14.4399995803833,14.079500007629395,-0.1830662157888996
2024-03-08,32.51334762573242,83.60324096679688,14.739999771118164,14.17699999809265,-0.19029314272166264
2024-03-11,32.58478927612305,83.66019439697266,15.220000267028809,14.291499996185303,-0.17119608349722662
2024-03-12,32.72766876220703,84.25824737548828,13.84000015258789,14.286999988555909,-0.11026077312111564
2024-03-13,33.32596206665039,84.67593383789062,13.75,14.181999969482423,0.046884620419216046
2024-03-14,33.47776412963867,83.86903381347656,14.399999618530273,14.18299994468689,0.04387524614882965
2024-03-15,33.47776412963867,83.96395874023438,14.40999984741211,14.202999925613403,0.048334208293830984
2024-03-18,33.745662689208984,83.79309844970703,14.329999923706055,14.207499933242797,0.10188811379961155
2024-03-19,33.790313720703125,84.26773834228516,13.819999694824219,14.127499914169311,0.13444723729269878
2024-03-20,33.83495330810547,83.86903381347656,13.039999961853027,14.012499904632568,0.12597962993734746
2024-03-21,33.69208526611328,84.26773834228516,12.920000076293945,13.931499910354614,0.11186820292996759
2024-03-22,33.75459289550781,84.67593383789062,13.0600004196167,13.896999931335449,0.14541075782114082
2024-03-25,34.16536331176758,84.14432525634766,13.1899995803833,13.869499921798706,0.21485990696427248
2024-03-26,33.5492057800293,84.39115142822266,13.239999771118164,13.859999895095825,0.08482272507915127
