Date,XLU,UPS,VIX,AvgVIX,zscore
2024-01-30,28.81212043762207,127.704345703125,13.3100004196167,13.347500038146972,-1.6731021156390329
2024-01-31,28.75129508972168,124.92242431640625,14.350000381469727,13.405000066757202,-1.8715019219007174
2024-02-01,29.29871368408203,125.37140655517578,13.880000114440918,13.397000074386597,-1.6791890761876052
2024-02-02,28.770008087158203,124.87841033935547,13.850000381469727,13.383000087738036,-1.8687744478648782
2024-02-05,28.17112159729004,122.43983459472656,13.670000076293945,13.399000072479248,-2.205355501584746
2024-02-06,28.27405548095703,128.46145629882812,13.0600004196167,13.39800009727478,-1.7844732035416773
2024-02-07,28.29277229309082,129.62351989746094,12.829999923706055,13.40150008201599,-1.7035927241232223
2024-02-08,28.09157943725586,130.22215270996094,12.789999961853027,13.406500101089478,-1.724790392295585
2024-02-09,28.19919204711914,128.76077270507812,12.930000305175781,13.431000137329102,-1.7873994318076616
2024-02-12,28.526714324951172,129.8083953857422,13.930000305175781,13.492500162124633,-1.621860424659234
2024-02-13,28.054149627685547,127.56349182128906,15.850000381469727,13.593000173568726,-1.9082274535850285
2024-02-14,28.20855140686035,126.96482849121094,14.380000114440918,13.57250018119812,-1.9009830927009992
2024-02-15,28.68111228942871,129.39463806152344,14.010000228881836,13.566500186920166,-1.6026355923197113
2024-02-16,28.64835548400879,132.11874389648438,14.239999771118164,13.613500165939332,-1.435884799505165
2024-02-20,28.6296443939209,132.323486328125,15.420000076293945,13.725000190734864,-1.4281967620406908
2024-02-21,29.00862693786621,131.9940948486328,15.34000015258789,13.864500188827515,-1.3365425303710838
2024-02-22,28.784046173095703,133.29380798339844,14.539999961853027,13.934500169754028,-1.3192847224629605
2024-02-23,28.989912033081055,132.31460571289062,13.75,13.949500179290771,-1.3213540239034485
2024-02-26,28.419099807739258,131.30860900878906,13.739999771118164,13.973500156402588,-1.556735598463218
2024-02-27,28.95716094970703,131.9940948486328,13.430000305175781,13.96500015258789,-1.3518877420114757
