Date,PEP,AVGO,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,117.89543151855469,13.3100004196167,13.347500038146972,0.16241475669158123
2024-01-31,155.63519287109375,115.14751434326172,14.350000381469727,13.405000066757202,0.05763228209187152
2024-02-01,158.56263732910156,117.10012817382812,13.880000114440918,13.397000074386597,0.3361531415490078
2024-02-02,157.8885040283203,119.47431182861328,13.850000381469727,13.383000087738036,0.28427138324606765
2024-02-05,157.84231567382812,121.30496215820312,13.670000076293945,13.399000072479248,0.28795616907482247
2024-02-06,158.30404663085938,119.30941772460938,13.0600004196167,13.39800009727478,0.3218879815510539
2024-02-07,158.3502197265625,122.66722869873047,12.829999923706055,13.40150008201599,0.3407210414394762
2024-02-08,160.5481414794922,124.3944320678711,12.789999961853027,13.406500101089478,0.5509677677419407
2024-02-09,154.84100341796875,125.241455078125,12.930000305175781,13.431000137329102,0.02818151047750912
2024-02-12,157.55606079101562,123.4420166015625,13.930000305175781,13.492500162124633,0.27082557061260737
2024-02-13,155.9584197998047,122.1393051147461,15.850000381469727,13.593000173568726,0.11779494664860171
2024-02-14,154.7024688720703,123.1707534790039,14.380000114440918,13.57250018119812,0.006414830483853959
2024-02-15,155.01644897460938,123.4488754272461,14.010000228881836,13.566500186920166,0.0365854639917567
2024-02-16,153.5942840576172,121.5372085571289,14.239999771118164,13.613500165939332,-0.10290115831435671
2024-02-20,155.74600219726562,119.68997955322266,15.420000076293945,13.725000190734864,0.08756950051418586
2024-02-21,155.9122314453125,119.77780151367188,15.34000015258789,13.864500188827515,0.10328470881885195
2024-02-22,155.3765869140625,127.3355712890625,14.539999961853027,13.934500169754028,0.08667612531733529
2024-02-23,156.62332153320312,126.5031967163086,13.75,13.949500179290771,0.19807010214876972
2024-02-26,155.38583374023438,127.74832153320312,13.739999771118164,13.973500156402588,0.08932055307839072
2024-02-27,155.29348754882812,126.48951721191406,13.430000305175781,13.96500015258789,0.0753384218822887
2024-02-28,154.2499542236328,125.82500457763672,13.84000015258789,13.99150013923645,-0.023807855393150924
2024-02-29,153.8544921875,126.90523529052734,13.399999618530273,13.944000101089477,-0.05559929936091208
2024-03-01,153.1565704345703,136.5347137451172,13.109999656677246,13.905500078201294,-0.0781856141729516
2024-03-04,153.88238525390625,136.83621215820312,13.489999771118164,13.887500047683716,-0.009923278646385366
2024-03-05,150.7837371826172,131.02908325195312,14.460000038146973,13.927000045776367,-0.3209666279140675
2024-03-06,151.6770477294922,131.73655700683594,14.5,13.999000024795532,-0.23549138868960243
2024-03-07,151.77938842773438,137.29974365234375,14.4399995803833,14.079500007629395,-0.20190517721265894
2024-03-08,151.7235565185547,127.70834350585938,14.739999771118164,14.17699999809265,-0.2486846036067762
2024-03-11,153.286865234375,126.18605041503906,15.220000267028809,14.291499996185303,-0.11108225081999218
2024-03-12,153.1100311279297,126.06504821777344,13.84000015258789,14.286999988555909,-0.12791972915810546
2024-03-13,153.81729125976562,122.74626159667969,13.75,14.181999969482423,-0.07708196142235546
2024-03-14,153.33338928222656,123.17562866210938,14.399999618530273,14.18299994468689,-0.11985658084399901
2024-03-15,153.2217254638672,120.56334686279297,14.40999984741211,14.202999925613403,-0.14149513179877132
2024-03-18,159.36325073242188,120.7331314086914,14.329999923706055,14.207499933242797,0.4257749578193302
2024-03-19,159.86572265625,120.80827331542969,13.819999694824219,14.127499914169311,0.47245228506158143
2024-03-20,159.9215545654297,125.04571533203125,13.039999961853027,14.012499904632568,0.4959941594833587
2024-03-21,160.4705810546875,132.10157775878906,12.920000076293945,13.931499910354614,0.5772640927722951
2024-03-22,160.07044982910156,132.63763427734375,13.0600004196167,13.896999931335449,0.5426800775777939
2024-03-25,160.6101837158203,132.4524383544922,13.1899995803833,13.869499921798706,0.5916647512568328
2024-03-26,160.7311248779297,130.48362731933594,13.239999771118164,13.859999895095825,0.5942759848537913
2024-03-27,161.5127716064453,129.23316955566406,12.779999732971191,13.80699987411499,0.6609527212315265
2024-03-28,162.85272216796875,129.88780212402344,13.010000228881836,13.787499904632568,0.7873995193857626
2024-04-01,160.96376037597656,132.3230743408203,13.649999618530273,13.81449990272522,0.6237194283538656
2024-04-02,159.53073120117188,131.1961212158203,14.609999656677246,13.870499897003175,0.48663647710199714
2024-04-03,157.89297485351562,133.59213256835938,14.329999923706055,13.863999891281129,0.34595876475499454
2024-04-04,157.86509704589844,129.11264038085938,16.350000381469727,13.956499910354614,0.32394499383122566
2024-04-05,157.39051818847656,131.26171875,16.030000686645508,14.035999965667724,0.28949438633857233
2024-04-08,157.7999267578125,130.93540954589844,15.1899995803833,14.058499956130982,0.32584455962858117
