Date,INTC,ADI,VIX,AvgVIX,zscore
2024-01-30,42.3527717590332,187.79685974121094,13.3100004196167,13.347500038146972,2.2014018065846543
2024-01-31,42.51066589355469,185.50172424316406,14.350000381469727,13.405000066757202,2.265692503638449
2024-02-01,42.786964416503906,185.16419982910156,13.880000114440918,13.397000074386597,2.3039367486422626
2024-02-02,42.03700256347656,185.2509765625,13.850000381469727,13.383000087738036,2.216871223970048
2024-02-05,42.20475769042969,185.69459533691406,13.670000076293945,13.399000072479248,2.2269998681830767
2024-02-06,42.29877853393555,182.94619750976562,13.0600004196167,13.39800009727478,2.2931739332286996
2024-02-07,42.33836364746094,185.12564086914062,12.829999923706055,13.40150008201599,2.2536833371262426
2024-02-08,42.061256408691406,187.14109802246094,12.789999961853027,13.406500101089478,2.181476759609413
2024-02-09,42.86289596557617,188.06687927246094,12.930000305175781,13.431000137329102,2.253981771759535
2024-02-12,43.57545852661133,187.1314697265625,13.930000305175781,13.492500162124633,2.3539231340968727
2024-02-13,42.71444320678711,178.10519409179688,15.850000381469727,13.593000173568726,2.4381782513346
2024-02-14,43.73380661010742,179.67706298828125,14.380000114440918,13.57250018119812,2.522409243468197
2024-02-15,43.595252990722656,180.85357666015625,14.010000228881836,13.566500186920166,2.4828989005576627
2024-02-16,43.060829162597656,181.52859497070312,14.239999771118164,13.613500165939332,2.4084783684634186
2024-02-20,44.060401916503906,182.647216796875,15.420000076293945,13.725000190734864,2.4996071567073237
2024-02-21,43.021240234375,186.813232421875,15.34000015258789,13.864500188827515,2.297300442979914
2024-02-22,42.53630065917969,185.06776428222656,14.539999961853027,13.934500169754028,2.2773684617641567
2024-02-23,42.54619598388672,183.33192443847656,13.75,13.949500179290771,2.3135333637010826
2024-02-26,42.54619598388672,182.27114868164062,13.739999771118164,13.973500156402588,2.3349459205515277
2024-02-27,42.28887939453125,182.32904052734375,13.430000305175781,13.96500015258789,2.3045056088295675
2024-02-28,41.556522369384766,181.0657196044922,13.84000015258789,13.99150013923645,2.24669550446773
2024-02-29,42.60557556152344,184.98098754882812,13.399999618530273,13.944000101089477,2.2870006630270345
2024-03-01,43.36762619018555,189.166259765625,13.109999656677246,13.905500078201294,2.289206855336584
2024-03-04,45.1391487121582,188.60426330566406,13.489999771118164,13.887500047683716,2.5020753520600394
2024-03-05,42.71444320678711,183.8954620361328,14.460000038146973,13.927000045776367,2.3212973358928486
2024-03-06,44.05050277709961,185.73635864257812,14.5,13.999000024795532,2.4361244015950674
2024-03-07,45.67357635498047,192.07290649414062,14.4399995803833,14.079500007629395,2.492853392778974
2024-03-08,43.54576873779297,189.84446716308594,14.739999771118164,14.17699999809265,2.2957817998627537
2024-03-11,44.39689254760742,192.04383850097656,15.220000267028809,14.291499996185303,2.3482076482995473
2024-03-12,44.77296829223633,193.0030517578125,13.84000015258789,14.286999988555909,2.3716266863365822
2024-03-13,42.78371810913086,192.42169189453125,13.75,14.181999969482423,2.1570695180973996
2024-03-14,42.30867385864258,188.3814239501953,14.399999618530273,14.18299994468689,2.184585466228995
2024-03-15,42.199806213378906,189.12750244140625,14.40999984741211,14.202999925613403,2.1571407869145123
2024-03-18,42.26908493041992,185.2712860107422,14.329999923706055,14.207499933242797,2.242862398796394
2024-03-19,41.61589813232422,184.6124725341797,13.819999694824219,14.127499914169311,2.1818560728906324
2024-03-20,41.76435470581055,188.27487182617188,13.039999961853027,14.012499904632568,2.1248158529337857
2024-03-21,41.98208236694336,189.07901000976562,12.920000076293945,13.931499910354614,2.13335189784876
2024-03-22,42.13053512573242,187.49005126953125,13.0600004196167,13.896999931335449,2.1823138572949734
2024-03-25,41.39817428588867,184.69964599609375,13.1899995803833,13.869499921798706,2.1553286656793755
