Date,MNST,ADI,VIX,AvgVIX,zscore
2024-01-30,55.310001373291016,187.79685974121094,13.3100004196167,13.347500038146972,0.4354283768985301
2024-01-31,55.02000045776367,185.50172424316406,14.350000381469727,13.405000066757202,0.4518749131050247
2024-02-01,55.939998626708984,185.16419982910156,13.880000114440918,13.397000074386597,0.6074696372031221
2024-02-02,55.349998474121094,185.2509765625,13.850000381469727,13.383000087738036,0.5112223780946046
2024-02-05,55.119998931884766,185.69459533691406,13.670000076293945,13.399000072479248,0.4625268012423803
2024-02-06,56.34000015258789,182.94619750976562,13.0600004196167,13.39800009727478,0.7316057381359622
2024-02-07,56.459999084472656,185.12564086914062,12.829999923706055,13.40150008201599,0.6912635910878435
2024-02-08,56.4900016784668,187.14109802246094,12.789999961853027,13.406500101089478,0.6410733645522112
2024-02-09,55.65999984741211,188.06687927246094,12.930000305175781,13.431000137329102,0.48375628760551026
2024-02-12,55.93000030517578,187.1314697265625,13.930000305175781,13.492500162124633,0.5522286021285275
2024-02-13,56.15999984741211,178.10519409179688,15.850000381469727,13.593000173568726,0.8349848079105426
2024-02-14,55.869998931884766,179.67706298828125,14.380000114440918,13.57250018119812,0.7459729184354151
2024-02-15,56.16999816894531,180.85357666015625,14.010000228881836,13.566500186920166,0.7616236397369684
2024-02-16,55.02000045776367,181.52859497070312,14.239999771118164,13.613500165939332,0.5602275073497721
2024-02-20,55.400001525878906,182.647216796875,15.420000076293945,13.725000190734864,0.5901868973716948
2024-02-21,55.13999938964844,186.813232421875,15.34000015258789,13.864500188827515,0.43520252911069846
2024-02-22,55.11000061035156,185.06776428222656,14.539999961853027,13.934500169754028,0.4780303980745028
2024-02-23,55.290000915527344,183.33192443847656,13.75,13.949500179290771,0.5540107149394917
2024-02-26,55.720001220703125,182.27114868164062,13.739999771118164,13.973500156402588,0.651361088141746
2024-02-27,56.11000061035156,182.32904052734375,13.430000305175781,13.96500015258789,0.7118389469544635
2024-02-28,55.849998474121094,181.0657196044922,13.84000015258789,13.99150013923645,0.7049199094807427
2024-02-29,59.099998474121094,184.98098754882812,13.399999618530273,13.944000101089477,1.1152848104396031
2024-03-01,58.790000915527344,189.166259765625,13.109999656677246,13.905500078201294,0.9518200244360632
2024-03-04,58.5,188.60426330566406,13.489999771118164,13.887500047683716,0.9210015214038165
2024-03-05,57.88999938964844,183.8954620361328,14.460000038146973,13.927000045776367,0.952353672743789
2024-03-06,58.310001373291016,185.73635864257812,14.5,13.999000024795532,0.9689805952999037
2024-03-07,59.380001068115234,192.07290649414062,14.4399995803833,14.079500007629395,0.966432588187541
2024-03-08,59.18000030517578,189.84446716308594,14.739999771118164,14.17699999809265,0.9953810414663607
2024-03-11,59.15999984741211,192.04383850097656,15.220000267028809,14.291499996185303,0.9322187485537577
2024-03-12,59.81999969482422,193.0030517578125,13.84000015258789,14.286999988555909,1.0110787912956023
2024-03-13,60.849998474121094,192.42169189453125,13.75,14.181999969482423,1.190826518488106
2024-03-14,60.29999923706055,188.3814239501953,14.399999618530273,14.18299994468689,1.213494274329884
2024-03-15,60.45000076293945,189.12750244140625,14.40999984741211,14.202999925613403,1.2170159290674374
2024-03-18,60.790000915527344,185.2712860107422,14.329999923706055,14.207499933242797,1.376280928448587
2024-03-19,60.540000915527344,184.6124725341797,13.819999694824219,14.127499914169311,1.3544676960480964
2024-03-20,60.13999938964844,188.27487182617188,13.039999961853027,14.012499904632568,1.1909409414581136
2024-03-21,59.880001068115234,189.07901000976562,12.920000076293945,13.931499910354614,1.1276401125423166
2024-03-22,59.5,187.49005126953125,13.0600004196167,13.896999931335449,1.1105074445606196
2024-03-25,59.09000015258789,184.69964599609375,13.1899995803833,13.869499921798706,1.1213664425547913
2024-03-26,59.31999969482422,183.0816192626953,13.239999771118164,13.859999895095825,1.2020897084982436
2024-03-27,59.20000076293945,187.31565856933594,12.779999732971191,13.80699987411499,1.0675275326935385
2024-03-28,59.279998779296875,191.63687133789062,13.010000228881836,13.787499904632568,0.9624115050218733
2024-04-01,57.7400016784668,190.5032958984375,13.649999618530273,13.81449990272522,0.7482815161111899
2024-04-02,56.900001525878906,188.8174285888672,14.609999656677246,13.870499897003175,0.6605966864905919
2024-04-03,55.95000076293945,189.28250122070312,14.329999923706055,13.863999891281129,0.49674954195766674
2024-04-04,55.75,185.97857666015625,16.350000381469727,13.956499910354614,0.555027928066788
2024-04-05,55.900001525878906,188.70115661621094,16.030000686645508,14.035999965667724,0.5046477219389603
2024-04-08,55.650001525878906,190.5711212158203,15.1899995803833,14.058499956130982,0.4138713005675894
2024-04-09,55.75,197.76995849609375,14.979999542236328,14.046499919891357,0.23346104110192828
2024-04-10,54.810001373291016,190.22232055664062,15.800000190734863,14.144499921798706,0.2897228599459256
2024-04-11,54.72999954223633,192.46044921875,14.90999984741211,14.202499914169312,0.21595619252338918
2024-04-12,55.0099983215332,186.2886199951172,17.309999465942383,14.347999906539917,0.42882366608129907
2024-04-15,54.11000061035156,184.3701934814453,19.229999542236328,14.588999891281128,0.3379342366257927
2024-04-16,54.689998626708984,185.28097534179688,18.399999618530273,14.792499876022339,0.4053851888712589
2024-04-17,54.25,183.53697204589844,18.209999084472656,15.01199984550476,0.38293399203946027
2024-04-18,53.459999084472656,181.74452209472656,18.0,15.259999847412109,0.30611168631965735
2024-04-19,53.13999938964844,177.6558380126953,18.709999084472656,15.549499797821046,0.3666973100582397
2024-04-22,53.599998474121094,180.51405334472656,16.940000534057617,15.743499803543092,0.3619449118084365
2024-04-23,53.72999954223633,184.02142333984375,15.6899995803833,15.868499803543092,0.28697995278426486
2024-04-24,54.33000183105469,190.38705444335938,15.970000267028809,16.004999828338622,0.2088528856244468
2024-04-25,53.150001525878906,191.78224182128906,15.369999885559082,16.13449983596802,-0.016957237097599453
2024-04-26,53.369998931884766,195.68685913085938,15.029999732971191,16.235499811172485,-0.08843546168450812
2024-04-29,54.130001068115234,197.5568389892578,14.670000076293945,16.28649983406067,-0.018500902611783915
2024-04-30,53.45000076293945,194.3691864013672,15.649999618530273,16.33849983215332,-0.03977086906188571
2024-05-01,53.540000915527344,187.8582305908203,15.390000343322754,16.391499853134157,0.15211248942123026
2024-05-02,53.38999938964844,190.37733459472656,14.680000305175781,16.307999849319458,0.05954490394069109
2024-05-03,55.0,193.419677734375,13.489999771118164,16.18099980354309,0.2327591716075039
2024-05-06,54.220001220703125,196.994873046875,13.489999771118164,16.095999813079835,0.011145478127077162
2024-05-07,54.66999816894531,197.2371063232422,13.229999542236328,16.008499813079833,0.07614290049281551
2024-05-08,54.29999923706055,198.48696899414062,13.0,15.868499803543092,-0.016816717895347794
