Date,KO,NEE,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,55.481868743896484,13.3100004196167,13.347500038146972,-0.32409061390389227
2024-01-31,55.6896858215332,54.873512268066406,14.350000381469727,13.405000066757202,-0.34790032712692165
2024-02-01,57.084495544433594,55.921749114990234,13.880000114440918,13.397000074386597,-0.10360741205387657
2024-02-02,56.672603607177734,54.42426300048828,13.850000381469727,13.383000087738036,-0.014549747587412011
2024-02-05,56.20454788208008,52.383941650390625,13.670000076293945,13.399000072479248,0.1326040576373414
2024-02-06,56.110931396484375,52.62727355957031,13.0600004196167,13.39800009727478,0.07364164869517727
2024-02-07,56.157737731933594,52.767669677734375,12.829999923706055,13.40150008201599,0.06756161633156607
2024-02-08,56.00796127319336,52.68343734741211,12.789999961853027,13.406500101089478,0.037485047043360316
2024-02-09,55.755210876464844,52.95486068725586,12.930000305175781,13.431000137329102,-0.0693889552061979
2024-02-12,55.886268615722656,53.862709045410156,13.930000305175781,13.492500162124633,-0.15626096888140925
2024-02-13,55.558624267578125,51.71006774902344,15.850000381469727,13.593000173568726,0.045045431441421896
2024-02-14,55.5024528503418,52.4213752746582,14.380000114440918,13.57250018119812,-0.06704237871768255
2024-02-15,55.60543441772461,53.60064697265625,14.010000228881836,13.566500186920166,-0.1985259446011282
2024-02-16,55.596065521240234,53.37601852416992,14.239999771118164,13.613500165939332,-0.1706411588661976
2024-02-20,56.822383880615234,52.98293685913086,15.420000076293945,13.725000190734864,0.22253967257882118
2024-02-21,57.327884674072266,53.44154357910156,15.34000015258789,13.864500188827515,0.30039471167835596
2024-02-22,57.24363708496094,53.039085388183594,14.539999961853027,13.934500169754028,0.33165961063062777
2024-02-23,57.290443420410156,53.14204025268555,13.75,13.949500179290771,0.33066019708578326
2024-02-26,56.83173751831055,52.088932037353516,13.739999771118164,13.973500156402588,0.3464444335484327
2024-02-27,56.48537826538086,52.476173400878906,13.430000305175781,13.96500015258789,0.19791322836162975
2024-02-28,56.54155349731445,51.98503494262695,13.84000015258789,13.99150013923645,0.2801260899825474
2024-02-29,56.18582534790039,52.126708984375,13.399999618530273,13.944000101089477,0.16232098654659202
2024-03-01,55.72712326049805,52.14559555053711,13.109999656677246,13.905500078201294,0.03264114937176052
2024-03-04,55.98923873901367,51.91891860961914,13.489999771118164,13.887500047683716,0.13603853751729014
2024-03-05,55.7177619934082,52.32505416870117,14.460000038146973,13.927000045776367,0.005695153734317473
2024-03-06,55.74584197998047,52.447837829589844,14.5,13.999000024795532,-0.0031844496632476753
2024-03-07,55.64287185668945,53.127872467041016,14.4399995803833,14.079500007629395,-0.1239976711924445
2024-03-08,55.7177619934082,54.601287841796875,14.739999771118164,14.17699999809265,-0.3031800708991314
2024-03-11,56.39176559448242,54.657955169677734,15.220000267028809,14.291499996185303,-0.12408752176967422
2024-03-12,56.635154724121094,53.97792053222656,13.84000015258789,14.286999988555909,0.03563907032204925
2024-03-13,57.21555709838867,56.23527145385742,13.75,14.181999969482423,-0.10983085647928567
2024-03-14,57.08816909790039,56.23527145385742,14.399999618530273,14.18299994468689,-0.14513303242508885
2024-03-15,56.50312805175781,56.745296478271484,14.40999984741211,14.202999925613403,-0.3764697308067264
2024-03-18,56.739036560058594,56.830291748046875,14.329999923706055,14.207499933242797,-0.3226274961670248
2024-03-19,56.83338928222656,57.86924362182617,13.819999694824219,14.127499914169311,-0.4374615125079547
2024-03-20,57.32406997680664,58.747623443603516,13.039999961853027,14.012499904632568,-0.4206748911715248
2024-03-21,57.05985641479492,57.954246520996094,12.920000076293945,13.931499910354614,-0.3862367378157046
2024-03-22,57.078731536865234,58.35093307495117,13.0600004196167,13.896999931335449,-0.43483468032563416
2024-03-25,56.99380874633789,59.13486862182617,13.1899995803833,13.869499921798706,-0.564745477789674
2024-03-26,57.125911712646484,58.020362854003906,13.239999771118164,13.859999895095825,-0.37690298447039405
2024-03-27,57.58827590942383,60.24937438964844,12.779999732971191,13.80699987411499,-0.5512384998358705
2024-03-28,57.72981643676758,60.36271667480469,13.010000228881836,13.787499904632568,-0.5273943955892533
2024-04-01,57.25801467895508,59.862125396728516,13.649999618530273,13.81449990272522,-0.5902135227091891
2024-04-02,56.757904052734375,59.3898811340332,14.609999656677246,13.870499897003175,-0.6647242646549367
2024-04-03,56.45594787597656,59.07819747924805,14.329999923706055,13.863999891281129,-0.7061091940946885
2024-04-04,55.95583724975586,60.19270324707031,16.350000381469727,13.956499910354614,-0.9959351639566881
2024-04-05,56.15399169921875,60.61772155761719,16.030000686645508,14.035999965667724,-0.9986951364970363
2024-04-08,55.92753601074219,61.25998306274414,15.1899995803833,14.058499956130982,-1.148603425100171
2024-04-09,56.35215377807617,61.75111389160156,14.979999542236328,14.046499919891357,-1.097576335780785
2024-04-10,55.59726333618164,60.45716857910156,15.800000190734863,14.144499921798706,-1.1311911504336165
2024-04-11,55.719932556152344,60.39104461669922,14.90999984741211,14.202499914169312,-1.088223917895653
2024-04-12,54.99336624145508,59.57877731323242,17.309999465942383,14.347999906539917,-1.1793511149414693
2024-04-15,54.86125183105469,59.267093658447266,19.229999542236328,14.588999891281128,-1.173668943116473
2024-04-16,54.7857666015625,58.27537536621094,18.399999618530273,14.792499876022339,-1.0600157020468108
2024-04-17,55.21038818359375,60.24937438964844,18.209999084472656,15.01199984550476,-1.2102064603569362
2024-04-18,55.587833404541016,60.45716857910156,18.0,15.259999847412109,-1.1338044036808475
2024-04-19,56.776771545410156,60.73106384277344,18.709999084472656,15.549499797821046,-0.8414884310565862
2024-04-22,57.135345458984375,61.68501281738281,16.940000534057617,15.743499803543092,-0.8715660819422962
2024-04-23,57.22026443481445,62.525604248046875,15.6899995803833,15.868499803543092,-0.9620977405151327
2024-04-24,58.07894515991211,62.8656120300293,15.970000267028809,16.004999828338622,-0.7702749617569095
2024-04-25,58.258235931396484,63.1867561340332,15.369999885559082,16.13449983596802,-0.7641672100639191
2024-04-26,58.258235931396484,62.32726287841797,15.029999732971191,16.235499811172485,-0.6475376322060193
2024-04-29,58.541316986083984,63.677886962890625,14.670000076293945,16.28649983406067,-0.7523632337024637
2024-04-30,58.28654479980469,63.25286865234375,15.649999618530273,16.33849983215332,-0.7652933520583128
2024-05-01,58.43751907348633,64.80184173583984,15.390000343322754,16.391499853134157,-0.933643928507497
2024-05-02,58.494140625,65.02851867675781,14.680000305175781,16.307999849319458,-0.9487118768988317
2024-05-03,58.66398620605469,66.24691772460938,13.489999771118164,16.18099980354309,-1.0669752853026868
2024-05-06,58.83383560180664,67.2953109741211,13.489999771118164,16.095999813079835,-1.1621685730627453
2024-05-07,59.08860778808594,67.9564437866211,13.229999542236328,16.008499813079833,-1.1812781880137153
2024-05-08,59.305641174316406,68.8064956665039,13.0,15.868499803543092,-1.2364816153004259
2024-05-09,59.333946228027344,70.44048309326172,12.6899995803833,15.75749979019165,-1.450362768596341
2024-05-10,59.6925163269043,69.69432067871094,12.550000190734863,15.519499826431275,-1.2497435946635438
2024-05-13,59.994476318359375,70.44048309326172,13.600000381469727,15.237999868392944,-1.2673145271841229
2024-05-14,59.54153823852539,71.23385620117188,13.420000076293945,14.988999891281129,-1.50049155235145
2024-05-15,59.56985092163086,72.77339172363281,12.449999809265137,14.700999927520751,-1.7015538698209731
2024-05-16,59.7491340637207,72.16891479492188,12.420000076293945,14.42199993133545,-1.5698453965574
2024-05-17,59.47549057006836,71.86665344238281,11.989999771118164,14.085999965667725,-1.604662789733026
2024-05-20,59.04143142700195,71.65888214111328,12.149999618530273,13.846499919891357,-1.696756985993161
2024-05-21,59.36225509643555,72.67892456054688,11.859999656677246,13.654999923706054,-1.746264706249594
