Date,KO,AMAT,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,163.11367797851562,13.3100004196167,13.347500038146972,-1.456896876321194
2024-01-31,55.6896858215332,161.21017456054688,14.350000381469727,13.405000066757202,-1.5134168402965982
2024-02-01,57.084495544433594,163.8299560546875,13.880000114440918,13.397000074386597,-1.2618387822879982
2024-02-02,56.672603607177734,165.0172119140625,13.850000381469727,13.383000087738036,-1.357197753014027
2024-02-05,56.20454788208008,167.87246704101562,13.670000076293945,13.399000072479248,-1.4817406264143953
2024-02-06,56.110931396484375,165.5274200439453,13.0600004196167,13.39800009727478,-1.4753206424017493
2024-02-07,56.157737731933594,167.68605041503906,12.829999923706055,13.40150008201599,-1.4891254355404375
2024-02-08,56.00796127319336,170.6198272705078,12.789999961853027,13.406500101089478,-1.5506821401432487
2024-02-09,55.755210876464844,182.34506225585938,12.930000305175781,13.431000137329102,-1.7273425339819888
2024-02-12,55.886268615722656,182.0507049560547,13.930000305175781,13.492500162124633,-1.6978968866458737
2024-02-13,55.558624267578125,176.9190673828125,15.850000381469727,13.593000173568726,-1.7084721199181352
2024-02-14,55.5024528503418,182.68850708007812,14.380000114440918,13.57250018119812,-1.7817221242075028
2024-02-15,55.60543441772461,184.13087463378906,14.010000228881836,13.566500186920166,-1.7765658733332474
2024-02-16,55.596065521240234,195.81687927246094,14.239999771118164,13.613500165939332,-1.9039954896467164
2024-02-20,56.822383880615234,185.58302307128906,15.420000076293945,13.725000190734864,-1.5481123832581436
2024-02-21,57.327884674072266,187.06712341308594,15.34000015258789,13.864500188827515,-1.4626806889033337
2024-02-22,57.24363708496094,196.30599975585938,14.539999961853027,13.934500169754028,-1.5788357940813444
2024-02-23,57.290443420410156,193.7800750732422,13.75,13.949500179290771,-1.5423112175845892
2024-02-26,56.83173751831055,200.0605010986328,13.739999771118164,13.973500156402588,-1.7017779638501602
2024-02-27,56.48537826538086,199.38233947753906,13.430000305175781,13.96500015258789,-1.7639531343519261
2024-02-28,56.54155349731445,194.15350341796875,13.84000015258789,13.99150013923645,-1.6965104385899756
2024-02-29,56.18582534790039,198.16360473632812,13.399999618530273,13.944000101089477,-1.8109337141292685
2024-03-01,55.72712326049805,206.6456298828125,13.109999656677246,13.905500078201294,-1.9940529761379437
2024-03-04,55.98923873901367,205.89866638183594,13.489999771118164,13.887500047683716,-1.9334615055984212
2024-03-05,55.7177619934082,203.83468627929688,14.460000038146973,13.927000045776367,-1.9657304610545399
2024-03-06,55.74584197998047,208.53271484375,14.5,13.999000024795532,-2.0105732438019017
2024-03-07,55.64287185668945,208.96517944335938,14.4399995803833,14.079500007629395,-2.0358697999933812
2024-03-08,55.7177619934082,202.03602600097656,14.739999771118164,14.17699999809265,-1.9464062270647051
2024-03-11,56.39176559448242,197.91786193847656,15.220000267028809,14.291499996185303,-1.7669929435184397
2024-03-12,56.635154724121094,201.42666625976562,13.84000015258789,14.286999988555909,-1.7558795920115886
2024-03-13,57.21555709838867,197.12176513671875,13.75,14.181999969482423,-1.5932314598921813
2024-03-14,57.08816909790039,197.30850219726562,14.399999618530273,14.18299994468689,-1.6207849164726966
2024-03-15,56.50312805175781,195.24449157714844,14.40999984741211,14.202999925613403,-1.715937755612756
2024-03-18,56.739036560058594,197.28884887695312,14.329999923706055,14.207499933242797,-1.6905910632095043
2024-03-19,56.83338928222656,197.88839721679688,13.819999694824219,14.127499914169311,-1.6781103151411128
2024-03-20,57.32406997680664,201.5446014404297,13.039999961853027,14.012499904632568,-1.6189871325020573
