Date,BAC,TXN,VIX,AvgVIX,zscore
2024-01-30,32.9722785949707,152.04049682617188,13.3100004196167,13.347500038146972,-1.0719289340189215
2024-01-31,32.2330322265625,150.22972106933594,14.350000381469727,13.405000066757202,-1.1537268493901622
2024-02-01,31.797061920166016,149.82626342773438,13.880000114440918,13.397000074386597,-1.2181913945491634
2024-02-02,31.72124481201172,149.3665313720703,13.850000381469727,13.383000087738036,-1.2198896822220477
2024-02-05,31.266324996948242,149.08506774902344,13.670000076293945,13.399000072479248,-1.2905631957714698
2024-02-06,31.3137149810791,148.58779907226562,13.0600004196167,13.39800009727478,-1.2703428903671943
2024-02-07,31.446393966674805,148.96311950683594,12.829999923706055,13.40150008201599,-1.2568907193780108
2024-02-08,31.389530181884766,150.3141632080078,12.789999961853027,13.406500101089478,-1.2995731490835376
2024-02-09,31.34214210510254,152.36886596679688,12.930000305175781,13.431000137329102,-1.3578220618679164
2024-02-12,31.86341094970703,151.1304473876953,13.930000305175781,13.492500162124633,-1.2387266067940117
2024-02-13,31.038862228393555,147.16168212890625,15.850000381469727,13.593000173568726,-1.2823721637262586
2024-02-14,31.39900779724121,148.11868286132812,14.380000114440918,13.57250018119812,-1.244349038595901
2024-02-15,32.28989791870117,150.78326416015625,14.010000228881836,13.566500186920166,-1.1575496920676356
2024-02-16,32.3088493347168,150.47366333007812,14.239999771118164,13.613500165939332,-1.1467594747992977
2024-02-20,32.18564224243164,152.6879119873047,15.420000076293945,13.725000190734864,-1.221828333476131
2024-02-21,31.93922996520996,153.94509887695312,15.34000015258789,13.864500188827515,-1.2945296714228332
2024-02-22,31.853933334350586,155.21170043945312,14.539999961853027,13.934500169754028,-1.3399969183738176
2024-02-23,32.147735595703125,153.57920837402344,13.75,13.949500179290771,-1.2500533411899601
2024-02-26,31.853933334350586,154.15151977539062,13.739999771118164,13.973500156402588,-1.3141097624509461
2024-02-27,32.488922119140625,154.7519989013672,13.430000305175781,13.96500015258789,-1.2205310856775393
2024-02-28,32.517356872558594,152.96932983398438,13.84000015258789,13.99150013923645,-1.1721554127879217
2024-02-29,32.94684982299805,156.99436950683594,13.399999618530273,13.944000101089477,-1.197225649722729
2024-03-01,32.78459548950195,160.484619140625,13.109999656677246,13.905500078201294,-1.310107538203095
2024-03-04,33.54814147949219,161.7887420654297,13.489999771118164,13.887500047683716,-1.2117961903038925
2024-03-05,33.77720260620117,160.09994506835938,14.460000038146973,13.927000045776367,-1.1315136322683115
2024-03-06,33.80583190917969,161.25393676757812,14.5,13.999000024795532,-1.1548112494033975
2024-03-07,34.00625991821289,164.44393920898438,14.4399995803833,14.079500007629395,-1.198538509197869
2024-03-08,33.977622985839844,161.65740966796875,14.739999771118164,14.17699999809265,-1.135379400233134
2024-03-11,34.25441360473633,163.43063354492188,15.220000267028809,14.291499996185303,-1.1314953430151506
2024-03-12,34.32122039794922,164.00296020507812,13.84000015258789,14.286999988555909,-1.1340822643652444
2024-03-13,34.435760498046875,162.01390075683594,13.75,14.181999969482423,-1.065989390901311
2024-03-14,34.06352615356445,160.5690460205078,14.399999618530273,14.18299994468689,-1.094160919245716
2024-03-15,33.796287536621094,161.86380004882812,14.40999984741211,14.202999925613403,-1.1713296437293281
2024-03-18,34.36894226074219,158.7582550048828,14.329999923706055,14.207499933242797,-0.9978839839745823
2024-03-19,34.388031005859375,156.45956420898438,13.819999694824219,14.127499914169311,-0.9385013881485393
2024-03-20,35.075225830078125,159.48068237304688,13.039999961853027,14.012499904632568,-0.8951300022385696
2024-03-21,35.80058670043945,161.92947387695312,12.920000076293945,13.931499910354614,-0.8312778928985418
2024-03-22,35.361549377441406,161.82627868652344,13.0600004196167,13.896999931335449,-0.9035969590646047
2024-03-25,35.18021011352539,160.2969512939453,13.1899995803833,13.869499921798706,-0.8971656455572521
2024-03-26,35.39973449707031,157.53854370117188,13.239999771118164,13.859999895095825,-0.7923913197337459
2024-03-27,36.08692169189453,162.19216918945312,12.779999732971191,13.80699987411499,-0.7888832815172154
2024-03-28,36.19190216064453,163.44940185546875,13.010000228881836,13.787499904632568,-0.8016868882634598
2024-04-01,35.81013488769531,162.4736328125,13.649999618530273,13.81449990272522,-0.8429373975725354
2024-04-02,35.60015869140625,159.8372039794922,14.609999656677246,13.870499897003175,-0.8143547189452797
2024-04-03,35.7337760925293,159.81846618652344,14.329999923706055,13.863999891281129,-0.7911205953801348
2024-04-04,35.23747253417969,158.12025451660156,16.350000381469727,13.956499910354614,-0.8342547283750482
2024-04-05,35.418819427490234,157.15386962890625,16.030000686645508,14.035999965667724,-0.7797452287641966
2024-04-08,35.79104232788086,158.99281311035156,15.1899995803833,14.058499956130982,-0.7611983854488064
2024-04-09,36.01055908203125,162.7457275390625,14.979999542236328,14.046499919891357,-0.8154167605206228
2024-04-10,34.97978591918945,158.4861602783203,15.800000190734863,14.144499921798706,-0.8871148835984812
2024-04-11,34.69344711303711,160.6253204345703,14.90999984741211,14.202499914169312,-0.988157891920499
2024-04-12,34.15896987915039,156.05612182617188,17.309999465942383,14.347999906539917,-0.9676963071703567
2024-04-15,34.311683654785156,156.0749053955078,19.229999542236328,14.588999891281128,-0.9421231763638417
2024-04-16,33.09955978393555,157.23829650878906,18.399999618530273,14.792499876022339,-1.1771506502572326
2024-04-17,33.62449645996094,155.4650421142578,18.209999084472656,15.01199984550476,-1.0443705203580336
2024-04-18,34.13988494873047,153.56044006347656,18.0,15.259999847412109,-0.9100107809537721
2024-04-19,35.28519821166992,149.81687927246094,18.709999084472656,15.549499797821046,-0.6233701606191114
2024-04-22,36.01055908203125,153.3352508544922,16.940000534057617,15.743499803543092,-0.5856347191197507
2024-04-23,36.62139129638672,155.24925231933594,15.6899995803833,15.868499803543092,-0.5282469744511025
2024-04-24,36.57367706298828,164.01231384277344,15.970000267028809,16.004999828338622,-0.7503540655164292
2024-04-25,36.1823616027832,164.42515563964844,15.369999885559082,16.13449983596802,-0.8271388308326623
2024-04-26,36.10600662231445,166.5174102783203,15.029999732971191,16.235499811172485,-0.8912424083305767
2024-04-29,35.83876419067383,168.2156219482422,14.670000076293945,16.28649983406067,-0.9782632840762591
2024-04-30,35.32337188720703,165.5229034423828,15.649999618530273,16.33849983215332,-1.0003677553735857
2024-05-01,35.2661018371582,164.37826538085938,15.390000343322754,16.391499853134157,-0.982180670132077
2024-05-02,35.19929504394531,164.9412078857422,14.680000305175781,16.307999849319458,-1.0073143919572494
2024-05-03,35.55243682861328,167.85910034179688,13.489999771118164,16.18099980354309,-1.0183655741905486
2024-05-06,35.972381591796875,170.44862365722656,13.489999771118164,16.095999813079835,-1.010011423026054
