Date,XOM,ADI,VIX,AvgVIX,zscore
2024-01-30,97.15435791015625,187.79685974121094,13.3100004196167,13.347500038146972,-0.426546502132019
2024-01-31,95.26409149169922,185.50172424316406,14.350000381469727,13.405000066757202,-0.5899068826872194
2024-02-01,94.87492370605469,185.16419982910156,13.880000114440918,13.397000074386597,-0.628902947762267
2024-02-02,94.48574829101562,185.2509765625,13.850000381469727,13.383000087738036,-0.6847574988725991
2024-02-05,94.0965805053711,185.69459533691406,13.670000076293945,13.399000072479248,-0.7547883350727603
2024-02-06,94.74519348144531,182.94619750976562,13.0600004196167,13.39800009727478,-0.5582515083957775
2024-02-07,94.71739959716797,185.12564086914062,12.829999923706055,13.40150008201599,-0.6485834239519842
2024-02-08,96.33895111083984,187.14109802246094,12.789999961853027,13.406500101089478,-0.5102969724305437
2024-02-09,94.3004150390625,188.06687927246094,12.930000305175781,13.431000137329102,-0.8215903816014553
2024-02-12,95.5976791381836,187.1314697265625,13.930000305175781,13.492500162124633,-0.6097351825604613
2024-02-13,94.77467346191406,178.10519409179688,15.850000381469727,13.593000173568726,-0.3619489222994359
2024-02-14,94.30706787109375,179.67706298828125,14.380000114440918,13.57250018119812,-0.4873676136637137
2024-02-15,97.00984191894531,180.85357666015625,14.010000228881836,13.566500186920166,-0.17015101940155183
2024-02-16,97.00984191894531,181.52859497070312,14.239999771118164,13.613500165939332,-0.1969694556141735
2024-02-20,96.09333038330078,182.647216796875,15.420000076293945,13.725000190734864,-0.3648309837649765
2024-02-21,98.05728149414062,186.813232421875,15.34000015258789,13.864500188827515,-0.26587807044776174
2024-02-22,97.9731216430664,185.06776428222656,14.539999961853027,13.934500169754028,-0.20786381361758272
2024-02-23,97.11270904541016,183.33192443847656,13.75,13.949500179290771,-0.25476339107154666
2024-02-26,97.49615478515625,182.27114868164062,13.739999771118164,13.973500156402588,-0.160983484554825
2024-02-27,97.29039764404297,182.32904052734375,13.430000305175781,13.96500015258789,-0.19099107431227438
2024-02-28,97.5616226196289,181.0657196044922,13.84000015258789,13.99150013923645,-0.1042758689884371
2024-02-29,97.7486572265625,184.98098754882812,13.399999618530273,13.944000101089477,-0.23464287797326397
2024-03-01,98.98314666748047,189.166259765625,13.109999656677246,13.905500078201294,-0.23468537738712672
2024-03-04,97.5990219116211,188.60426330566406,13.489999771118164,13.887500047683716,-0.3987455073539302
2024-03-05,98.79611206054688,183.8954620361328,14.460000038146973,13.927000045776367,-0.05046325290466494
2024-03-06,99.85289001464844,185.73635864257812,14.5,13.999000024795532,0.018705264929710842
2024-03-07,100.41401672363281,192.07290649414062,14.4399995803833,14.079500007629395,-0.15748327040661508
2024-03-08,101.35858917236328,189.84446716308594,14.739999771118164,14.17699999809265,0.058249961970537
2024-03-11,101.95713806152344,192.04383850097656,15.220000267028809,14.291499996185303,0.05147052079656488
2024-03-12,101.30248260498047,193.0030517578125,13.84000015258789,14.286999988555909,-0.07479580132222163
2024-03-13,102.43408966064453,192.42169189453125,13.75,14.181999969482423,0.1006854115844061
2024-03-14,104.2484130859375,188.3814239501953,14.399999618530273,14.18299994468689,0.505524391767021
2024-03-15,104.06135559082031,189.12750244140625,14.40999984741211,14.202999925613403,0.4506933096708253
2024-03-18,105.02464294433594,185.2712860107422,14.329999923706055,14.207499933242797,0.7336182024929111
2024-03-19,105.7634506225586,184.6124725341797,13.819999694824219,14.127499914169311,0.8592817179740113
2024-03-20,105.66993713378906,188.27487182617188,13.039999961853027,14.012499904632568,0.7011821581393501
2024-03-21,106.13752746582031,189.07901000976562,12.920000076293945,13.931499910354614,0.732200178692535
2024-03-22,106.13752746582031,187.49005126953125,13.0600004196167,13.896999931335449,0.7953294123053812
2024-03-25,107.22238159179688,184.69964599609375,13.1899995803833,13.869499921798706,1.052280048078809
2024-03-26,106.41809844970703,183.0816192626953,13.239999771118164,13.859999895095825,1.008258235543969
2024-03-27,107.52165222167969,187.31565856933594,12.779999732971191,13.80699987411499,0.9886462385880462
2024-03-28,108.7093734741211,191.63687133789062,13.010000228881836,13.787499904632568,0.9769049583581566
2024-04-01,109.4107894897461,190.5032958984375,13.649999618530273,13.81449990272522,1.1163955229530542
2024-04-02,111.55242919921875,188.8174285888672,14.609999656677246,13.870499897003175,1.4717711878003619
2024-04-03,111.57113647460938,189.28250122070312,14.329999923706055,13.863999891281129,1.4558130289704856
2024-04-04,111.96392822265625,185.97857666015625,16.350000381469727,13.956499910354614,1.6399716471457018
2024-04-05,113.50704193115234,188.70115661621094,16.030000686645508,14.035999965667724,1.7396016061557706
2024-04-08,112.74015808105469,190.5711212158203,15.1899995803833,14.058499956130982,1.562038353223106
2024-04-09,113.32933807373047,197.76995849609375,14.979999542236328,14.046499919891357,1.355368806815681
2024-04-10,114.28325653076172,190.22232055664062,15.800000190734863,14.144499921798706,1.7836920215456338
2024-04-11,113.89981842041016,192.46044921875,14.90999984741211,14.202499914169312,1.643136983461818
2024-04-12,112.57182312011719,186.2886199951172,17.309999465942383,14.347999906539917,1.7095136388450562
2024-04-15,111.92652130126953,184.3701934814453,19.229999542236328,14.588999891281128,1.6988353430928829
2024-04-16,111.00066375732422,185.28097534179688,18.399999618530273,14.792499876022339,1.5379727372625362
2024-04-17,110.94453430175781,183.53697204589844,18.209999084472656,15.01199984550476,1.5997034090024809
2024-04-18,110.84165954589844,181.74452209472656,18.0,15.259999847412109,1.657064074545208
2024-04-19,112.11355590820312,177.6558380126953,18.709999084472656,15.549499797821046,1.9907826224968765
2024-04-22,112.74950408935547,180.51405334472656,16.940000534057617,15.743499803543092,1.9628635917460544
2024-04-23,113.18905639648438,184.02142333984375,15.6899995803833,15.868499803543092,1.8827067372345705
2024-04-24,113.207763671875,190.38705444335938,15.970000267028809,16.004999828338622,1.6323197510394356
2024-04-25,113.4696273803711,191.78224182128906,15.369999885559082,16.13449983596802,1.612151982507736
2024-04-26,110.31794738769531,195.68685913085938,15.029999732971191,16.235499811172485,1.0326120497918425
2024-04-29,111.88910675048828,197.5568389892578,14.670000076293945,16.28649983406067,1.169892426393123
2024-04-30,110.60786437988281,194.3691864013672,15.649999618530273,16.33849983215332,1.1240037427025678
2024-05-01,108.51299285888672,187.8582305908203,15.390000343322754,16.391499853134157,1.1005852303320987
2024-05-02,108.7093734741211,190.37733459472656,14.680000305175781,16.307999849319458,1.0269462761657162
2024-05-03,108.48493194580078,193.419677734375,13.489999771118164,16.18099980354309,0.8758505526995727
2024-05-06,109.18634033203125,196.994873046875,13.489999771118164,16.095999813079835,0.8282609157920946
2024-05-07,108.64391326904297,197.2371063232422,13.229999542236328,16.008499813079833,0.7455930001085056
2024-05-08,108.62521362304688,198.48696899414062,13.0,15.868499803543092,0.6934179115838
2024-05-09,110.76685333251953,198.4191436767578,12.6899995803833,15.75749979019165,0.9845088669960895
2024-05-10,110.31794738769531,200.7444610595703,12.550000190734863,15.519499826431275,0.8316738343468787
2024-05-13,110.27120208740234,201.89744567871094,13.600000381469727,15.237999868392944,0.7795710370634205
2024-05-14,110.94058990478516,205.34671020507812,13.420000076293945,14.988999891281129,0.7326726870916782
2024-05-15,111.79854583740234,209.03819274902344,12.449999809265137,14.700999927520751,0.7015438815996065
2024-05-16,111.12915802001953,207.45889282226562,12.420000076293945,14.42199993133545,0.6741486523440622
2024-05-17,112.79792785644531,207.42015075683594,11.989999771118164,14.085999965667725,0.9004067999778002
2024-05-20,111.88340759277344,210.71435546875,12.149999618530273,13.846499919891357,0.6463776443004584
2024-05-21,111.11029052734375,209.90048217773438,11.859999656677246,13.654999923706054,0.5746037330209172
2024-05-22,108.87583923339844,232.6888427734375,12.289999961853027,13.470999908447265,-0.6316708404612686
2024-05-23,107.01848602294922,227.26303100585938,12.770000457763672,13.340999937057495,-0.666217504651247
2024-05-24,106.93363189697266,225.2767791748047,11.930000305175781,13.185999965667724,-0.598730418530331
2024-05-28,108.2912826538086,226.1778564453125,12.920000076293945,13.098499965667724,-0.45170697492839235
2024-05-29,107.13162231445312,221.0524139404297,14.279999732971191,13.02999997138977,-0.4042349738355556
2024-05-30,107.47103881835938,222.84486389160156,14.470000267028809,12.983999967575073,-0.4297425900079113
2024-05-31,110.55402374267578,227.1951904296875,12.920000076293945,12.895999956130982,-0.1874216476586949
2024-06-03,107.90472412109375,224.9861297607422,13.109999656677246,12.876999950408935,-0.45641427029221215
2024-06-04,106.22653198242188,224.3441162109375,13.15999984741211,12.860499954223632,-0.6568948596162405
2024-06-05,106.65079498291016,229.2564697265625,12.630000114440918,12.830499982833862,-0.7949305033598772
2024-06-06,107.45217895507812,230.9393310546875,12.579999923706055,12.809499979019165,-0.7538749716692407
