Date,KO,QCOM,VIX,AvgVIX,zscore
2024-01-30,56.073490142822266,139.1292724609375,13.3100004196167,13.347500038146972,-2.4690633096793166
2024-01-31,55.6896858215332,141.54054260253906,14.350000381469727,13.405000066757202,-2.4665164495453133
2024-02-01,57.084495544433594,134.48782348632812,13.880000114440918,13.397000074386597,-2.4233869992474775
2024-02-02,56.672603607177734,135.0405731201172,13.850000381469727,13.383000087738036,-2.482985743491818
2024-02-05,56.20454788208008,137.27076721191406,13.670000076293945,13.399000072479248,-2.501639211238515
2024-02-06,56.110931396484375,137.33750915527344,13.0600004196167,13.39800009727478,-2.5169888495667463
2024-02-07,56.157737731933594,139.0435028076172,12.829999923706055,13.40150008201599,-2.4560372372238093
2024-02-08,56.00796127319336,141.22604370117188,12.789999961853027,13.406500101089478,-2.417013989078181
2024-02-09,55.755210876464844,143.9136962890625,12.930000305175781,13.431000137329102,-2.381651627002353
2024-02-12,55.886268615722656,145.9151153564453,13.930000305175781,13.492500162124633,-2.2959971388245055
2024-02-13,55.558624267578125,142.99871826171875,15.850000381469727,13.593000173568726,-2.4462034462593794
2024-02-14,55.5024528503418,146.7156982421875,14.380000114440918,13.57250018119812,-2.3427881345151813
2024-02-15,55.60543441772461,148.65997314453125,14.010000228881836,13.566500186920166,-2.264100543305224
2024-02-16,55.596065521240234,145.5243682861328,14.239999771118164,13.613500165939332,-2.3618856003111226
2024-02-20,56.822383880615234,144.82864379882812,15.420000076293945,13.725000190734864,-2.1553456346984827
2024-02-21,57.327884674072266,144.8762969970703,15.34000015258789,13.864500188827515,-2.0599638682737864
2024-02-22,57.24363708496094,147.48770141601562,14.539999961853027,13.934500169754028,-1.995629153782233
2024-02-23,57.290443420410156,147.6401824951172,13.75,13.949500179290771,-1.9822619969725677
2024-02-26,56.83173751831055,149.66070556640625,13.739999771118164,13.973500156402588,-2.0056005386121347
2024-02-27,56.48537826538086,150.87110900878906,13.430000305175781,13.96500015258789,-2.032879207548904
2024-02-28,56.54155349731445,149.29054260253906,13.84000015258789,13.99150013923645,-2.070854960219402
2024-02-29,56.18582534790039,151.1488800048828,13.399999618530273,13.944000101089477,-2.0800280021974786
2024-03-01,55.72712326049805,156.22579956054688,13.109999656677246,13.905500078201294,-2.0097476918282755
2024-03-04,55.98923873901367,159.5498046875,13.489999771118164,13.887500047683716,-1.8592315301759434
2024-03-05,55.7177619934082,154.65484619140625,14.460000038146973,13.927000045776367,-2.059605688140397
2024-03-06,55.74584197998047,160.82382202148438,14.5,13.999000024795532,-1.8654312408851825
2024-03-07,55.64287185668945,168.32424926757812,14.4399995803833,14.079500007629395,-1.6548232574057327
2024-03-08,55.7177619934082,163.39100646972656,14.739999771118164,14.17699999809265,-1.7920150439091207
2024-03-11,56.39176559448242,163.9178466796875,15.220000267028809,14.291499996185303,-1.6506478148363408
2024-03-12,56.635154724121094,165.79537963867188,13.84000015258789,14.286999988555909,-1.5479167948934731
2024-03-13,57.21555709838867,162.12655639648438,13.75,14.181999969482423,-1.5524548489241012
2024-03-14,57.08816909790039,161.3602294921875,14.399999618530273,14.18299994468689,-1.5995963355109943
2024-03-15,56.50312805175781,160.16285705566406,14.40999984741211,14.202999925613403,-1.7449728658016932
2024-03-18,56.739036560058594,159.89463806152344,14.329999923706055,14.207499933242797,-1.7093566336848687
2024-03-19,56.83338928222656,157.1933135986328,13.819999694824219,14.127499914169311,-1.7745680847456837
2024-03-20,57.32406997680664,160.613037109375,13.039999961853027,14.012499904632568,-1.5786525884954445
