Date,JPM,AMD,VIX,AvgVIX,zscore
2024-01-30,168.0081024169922,172.05999755859375,13.3100004196167,13.347500038146972,-1.9506000431675963
2024-01-31,166.1876220703125,167.69000244140625,14.350000381469727,13.405000066757202,-1.946439234745983
2024-02-01,165.587158203125,170.47999572753906,13.880000114440918,13.397000074386597,-1.990389600207205
2024-02-02,166.54031372070312,177.66000366210938,13.850000381469727,13.383000087738036,-2.0449666974755476
2024-02-05,166.3210906982422,174.22999572753906,13.670000076293945,13.399000072479248,-2.013363082310758
2024-02-06,166.8929443359375,167.8800048828125,13.0600004196167,13.39800009727478,-1.9319514699419418
2024-02-07,167.2074737548828,170.94000244140625,12.829999923706055,13.40150008201599,-1.9573592186485977
2024-02-08,166.6070098876953,169.35000610351562,12.789999961853027,13.406500101089478,-1.954395100517456
2024-02-09,166.80712890625,172.47999572753906,12.930000305175781,13.431000137329102,-1.9832327220750858
2024-02-12,167.5506134033203,171.91000366210938,13.930000305175781,13.492500162124633,-1.9597105946548625
2024-02-13,166.09231567382812,171.5399932861328,15.850000381469727,13.593000173568726,-1.9899095015148982
2024-02-14,167.7793731689453,178.6999969482422,14.380000114440918,13.57250018119812,-2.027079923058521
2024-02-15,171.43936157226562,176.75999450683594,14.010000228881836,13.566500186920166,-1.9205613834306872
2024-02-16,170.63877868652344,173.8699951171875,14.239999771118164,13.613500165939332,-1.9083608031939636
2024-02-20,171.3059539794922,165.69000244140625,15.420000076293945,13.725000190734864,-1.8051148601961886
2024-02-21,172.42112731933594,164.2899932861328,15.34000015258789,13.864500188827515,-1.7639951480012208
2024-02-22,174.48941040039062,181.86000061035156,14.539999961853027,13.934500169754028,-1.9037375033219301
2024-02-23,175.36627197265625,176.52000427246094,13.75,13.949500179290771,-1.8259989134199979
2024-02-26,174.7658233642578,176.00999450683594,13.739999771118164,13.973500156402588,-1.8346022762726046
2024-02-27,174.85157775878906,178.0,13.430000305175781,13.96500015258789,-1.853908528714915
2024-02-28,175.7379913330078,176.5399932861328,13.84000015258789,13.99150013923645,-1.817505109599172
2024-02-29,177.33924865722656,192.52999877929688,13.399999618530273,13.944000101089477,-1.951264474026059
2024-03-01,176.60533142089844,202.63999938964844,13.109999656677246,13.905500078201294,-2.0767464133733826
2024-03-04,177.93019104003906,205.36000061035156,13.489999771118164,13.887500047683716,-2.074844405837286
2024-03-05,179.7125701904297,205.1300048828125,14.460000038146973,13.927000045776367,-2.030626836440623
2024-03-06,180.64662170410156,210.6300048828125,14.5,13.999000024795532,-2.067656740571381
2024-03-07,179.06439208984375,211.3800048828125,14.4399995803833,14.079500007629395,-2.1127554163869577
2024-03-08,179.39801025390625,207.38999938964844,14.739999771118164,14.17699999809265,-2.0622027413881696
2024-03-11,179.46473693847656,198.38999938964844,15.220000267028809,14.291499996185303,-1.9642397480400673
2024-03-12,180.94207763671875,202.75999450683594,13.84000015258789,14.286999988555909,-1.976438955377176
2024-03-13,182.409912109375,194.7899932861328,13.75,14.181999969482423,-1.8566859866021135
2024-03-14,179.15972900390625,187.05999755859375,14.399999618530273,14.18299994468689,-1.850028149949712
2024-03-15,181.38050842285156,191.05999755859375,14.40999984741211,14.202999925613403,-1.84084848847484
2024-03-18,183.6299285888672,190.64999389648438,14.329999923706055,14.207499933242797,-1.783761921268979
2024-03-19,184.70692443847656,181.4199981689453,13.819999694824219,14.127499914169311,-1.6596688284425245
2024-03-20,187.12791442871094,179.72999572753906,13.039999961853027,14.012499904632568,-1.584852873654222
2024-03-21,189.7299346923828,178.67999267578125,12.920000076293945,13.931499910354614,-1.512651192724894
2024-03-22,187.40428161621094,179.64999389648438,13.0600004196167,13.896999931335449,-1.577521781071873
2024-03-25,185.68869018554688,178.6300048828125,13.1899995803833,13.869499921798706,-1.6067860745741822
2024-03-26,186.55599975585938,177.8699951171875,13.239999771118164,13.859999895095825,-1.5783279199769273
2024-03-27,190.1683807373047,179.58999633789062,12.779999732971191,13.80699987411499,-1.5121272789142932
2024-03-28,190.9118194580078,180.49000549316406,13.010000228881836,13.787499904632568,-1.5043515461179333
2024-04-01,189.61558532714844,183.33999633789062,13.649999618530273,13.81449990272522,-1.5652436845925073
2024-04-02,189.539306640625,178.6999969482422,14.609999656677246,13.870499897003175,-1.5173311184057106
2024-04-03,189.0055389404297,180.77000427246094,14.329999923706055,13.863999891281129,-1.5520072197986812
2024-04-04,187.56752014160156,165.8300018310547,16.350000381469727,13.956499910354614,-1.4256705072606686
2024-04-05,189.29315185546875,170.4199981689453,16.030000686645508,14.035999965667724,-1.4344096962898527
2024-04-08,190.28060913085938,169.89999389648438,15.1899995803833,14.058499956130982,-1.4057076797859198
2024-04-09,189.00555419921875,170.77999877929688,14.979999542236328,14.046499919891357,-1.445002967581808
2024-04-10,187.3949432373047,167.13999938964844,15.800000190734863,14.144499921798706,-1.4437448064944873
2024-04-11,187.3566131591797,170.5,14.90999984741211,14.202499914169312,-1.4806320126539878
2024-04-12,175.23878479003906,163.27999877929688,17.309999465942383,14.347999906539917,-1.6871704791958726
2024-04-15,175.3346405029297,160.32000732421875,19.229999542236328,14.588999891281128,-1.6532202118597739
2024-04-16,173.33099365234375,163.4600067138672,18.399999618530273,14.792499876022339,-1.7337905292996267
2024-04-17,172.64073181152344,154.02000427246094,18.209999084472656,15.01199984550476,-1.6488478623171003
2024-04-18,173.76242065429688,155.0800018310547,18.0,15.259999847412109,-1.6339248826135615
2024-04-19,178.1244659423828,146.63999938964844,18.709999084472656,15.549499797821046,-1.4413378234759506
2024-04-22,181.5853271484375,148.63999938964844,16.940000534057617,15.743499803543092,-1.3816857823088469
2024-04-23,184.20252990722656,152.27000427246094,15.6899995803833,15.868499803543092,-1.3592564439526318
2024-04-24,185.10369873046875,151.74000549316406,15.970000267028809,16.004999828338622,-1.3324687710114127
2024-04-25,185.38168334960938,153.75999450683594,15.369999885559082,16.13449983596802,-1.347592989210975
2024-04-26,185.4967498779297,157.39999389648438,15.029999732971191,16.235499811172485,-1.3838858156533973
2024-04-29,185.29544067382812,160.1999969482422,14.670000076293945,16.28649983406067,-1.4185927884607439
2024-04-30,183.81906127929688,158.3800048828125,15.649999618530273,16.33849983215332,-1.4336843857365724
2024-05-01,183.93409729003906,144.27000427246094,15.390000343322754,16.391499853134157,-1.2798559963848193
2024-05-02,183.74237060546875,146.16000366210938,14.680000305175781,16.307999849319458,-1.304591353433362
2024-05-03,182.63986206054688,150.60000610351562,13.489999771118164,16.18099980354309,-1.3779760357280095
2024-05-06,184.06829833984375,155.77999877929688,13.489999771118164,16.095999813079835,-1.3999968398854616
2024-05-07,183.82864379882812,154.42999267578125,13.229999542236328,16.008499813079833,-1.3911509506028692
2024-05-08,187.56752014160156,153.6199951171875,13.0,15.868499803543092,-1.2948879692157091
2024-05-09,189.3411102294922,152.38999938964844,12.6899995803833,15.75749979019165,-1.2401651979534745
2024-05-10,190.55865478515625,151.9199981689453,12.550000190734863,15.519499826431275,-1.2066087378662935
2024-05-13,190.52027893066406,150.55999755859375,13.600000381469727,15.237999868392944,-1.1929406363850563
2024-05-14,193.18544006347656,153.16000366210938,13.420000076293945,14.988999891281129,-1.1583554093767847
2024-05-15,193.7606658935547,159.6699981689453,12.449999809265137,14.700999927520751,-1.2146093207137827
2024-05-16,194.1057891845703,162.6199951171875,12.420000076293945,14.42199993133545,-1.238122149572176
2024-05-17,196.32994079589844,164.47000122070312,11.989999771118164,14.085999965667725,-1.2058347028226835
2024-05-20,187.50042724609375,166.3300018310547,12.149999618530273,13.846499919891357,-1.4325977746341825
2024-05-21,191.27764892578125,164.66000366210938,11.859999656677246,13.654999923706054,-1.3262249663529886
2024-05-22,190.1176300048828,165.52000427246094,12.289999961853027,13.470999908447265,-1.3626111497161641
2024-05-23,188.78506469726562,160.42999267578125,12.770000457763672,13.340999937057495,-1.3393082653771007
2024-05-24,192.41851806640625,166.36000061035156,11.930000305175781,13.185999965667724,-1.3177077625226834
2024-05-28,191.25848388671875,171.61000061035156,12.920000076293945,13.098499965667724,-1.4011160024784453
2024-05-29,189.92588806152344,165.13999938964844,14.279999732971191,13.02999997138977,-1.363032633514588
2024-05-30,191.0955047607422,166.75,14.470000267028809,12.983999967575073,-1.3528780292831781
2024-05-31,194.25917053222656,166.89999389648438,12.920000076293945,12.895999956130982,-1.2803725060571653
2024-06-03,193.48263549804688,163.5500030517578,13.109999656677246,12.876999950408935,-1.2626815681524803
2024-06-04,190.93251037597656,159.99000549316406,13.15999984741211,12.860499954223632,-1.2842893990101658
2024-06-05,189.1110382080078,166.1699981689453,12.630000114440918,12.830499982833862,-1.3931537432220467
2024-06-06,188.77548217773438,166.77999877929688,12.579999923706055,12.809499979019165,-1.407548262385021
2024-06-07,191.6898956298828,167.8699951171875,12.220000267028809,12.78600001335144,-1.3509501860567945
2024-06-10,191.3639373779297,160.33999633789062,12.739999771118164,12.795499992370605,-1.2779315631816097
2024-06-11,186.33082580566406,158.9600067138672,12.850000381469727,12.757999992370605,-1.381056174851654
2024-06-12,183.6177215576172,160.24000549316406,12.039999961853027,12.68899998664856,-1.4583236182933423
2024-06-13,185.6597137451172,159.89999389648438,11.9399995803833,12.663499975204468,-1.4068459563018874
2024-06-14,185.77476501464844,159.6300048828125,12.65999984741211,12.675499963760377,-1.401258884182866
2024-06-17,186.92520141601562,158.39999389648438,12.75,12.713499975204467,-1.3611339650154657
2024-06-18,188.8617401123047,154.6300048828125,12.300000190734863,12.721000003814698,-1.2753878465433461
2024-06-20,190.4627685546875,161.77999877929688,13.279999732971191,12.792000007629394,-1.3144663715134839
2024-06-21,188.190673828125,161.22999572753906,13.199999809265137,12.8375,-1.3618013907905253
