Date,AMAT,XLU,VIX,AvgVIX,zscore
2024-01-30,163.11367797851562,28.81212043762207,13.3100004196167,13.347500038146972,0.3083758261309772
2024-01-31,161.21017456054688,28.75129508972168,14.350000381469727,13.405000066757202,0.2808141879225787
2024-02-01,163.8299560546875,29.29871368408203,13.880000114440918,13.397000074386597,0.25873807502077545
2024-02-02,165.0172119140625,28.770008087158203,13.850000381469727,13.383000087738036,0.34925941828528495
2024-02-05,167.87246704101562,28.17112159729004,13.670000076293945,13.399000072479248,0.47991235237114444
2024-02-06,165.5274200439453,28.27405548095703,13.0600004196167,13.39800009727478,0.4229390763658215
2024-02-07,167.68605041503906,28.29277229309082,12.829999923706055,13.40150008201599,0.4606991852679332
2024-02-08,170.6198272705078,28.09157943725586,12.789999961853027,13.406500101089478,0.5413474023641167
2024-02-09,182.34506225585938,28.19919204711914,12.930000305175781,13.431000137329102,0.7456829452996029
2024-02-12,182.0507049560547,28.526714324951172,13.930000305175781,13.492500162124633,0.6978182151390432
2024-02-13,176.9190673828125,28.054149627685547,15.850000381469727,13.593000173568726,0.6634498389693481
2024-02-14,182.68850708007812,28.20855140686035,14.380000114440918,13.57250018119812,0.7508648585615191
2024-02-15,184.13087463378906,28.68111228942871,14.010000228881836,13.566500186920166,0.7165590148226973
2024-02-16,195.81687927246094,28.64835548400879,14.239999771118164,13.613500165939332,0.9383297997437716
2024-02-20,185.58302307128906,28.6296443939209,15.420000076293945,13.725000190734864,0.7502509150613328
2024-02-21,187.06712341308594,29.00862693786621,15.34000015258789,13.864500188827515,0.7288320865947876
2024-02-22,196.30599975585938,28.784046173095703,14.539999961853027,13.934500169754028,0.9298746187544761
2024-02-23,193.7800750732422,28.989912033081055,13.75,13.949500179290771,0.85621371063833
2024-02-26,200.0605010986328,28.419099807739258,13.739999771118164,13.973500156402588,1.0469920780556468
2024-02-27,199.38233947753906,28.95716094970703,13.430000305175781,13.96500015258789,0.9647366585156716
2024-02-28,194.15350341796875,29.046058654785156,13.84000015258789,13.99150013923645,0.8558989198149646
2024-02-29,198.16360473632812,29.0554141998291,13.399999618530273,13.944000101089477,0.9293350959691364
2024-03-01,206.6456298828125,28.87762451171875,13.109999656677246,13.905500078201294,1.1102337256013468
2024-03-04,205.89866638183594,29.364219665527344,13.489999771118164,13.887500047683716,1.0333579012925411
2024-03-05,203.83468627929688,29.279998779296875,14.460000038146973,13.927000045776367,1.0058367014157088
2024-03-06,208.53271484375,29.560726165771484,14.5,13.999000024795532,1.056959642306292
2024-03-07,208.96517944335938,29.7525634765625,14.4399995803833,14.079500007629395,1.0401837747335625
2024-03-08,202.03602600097656,29.82741928100586,14.739999771118164,14.17699999809265,0.9015123030239478
2024-03-11,197.91786193847656,29.977140426635742,15.220000267028809,14.291499996185303,0.8054781176478886
2024-03-12,201.42666625976562,29.687057495117188,13.84000015258789,14.286999988555909,0.9083337609239855
2024-03-13,197.12176513671875,29.88824462890625,13.75,14.181999969482423,0.8021631955195564
2024-03-14,197.30850219726562,29.649625778198242,14.399999618530273,14.18299994468689,0.8365194244301066
2024-03-15,195.24449157714844,29.69173240661621,14.40999984741211,14.202999925613403,0.792649344873664
2024-03-18,197.28884887695312,29.828540802001953,14.329999923706055,14.207499933242797,0.8129998107562572
2024-03-19,197.88839721679688,30.09272003173828,13.819999694824219,14.127499914169311,0.789972238388906
2024-03-20,201.5446014404297,30.130460739135742,13.039999961853027,14.012499904632568,0.8531473365762491
2024-03-21,207.18621826171875,30.083284378051758,12.920000076293945,13.931499910354614,0.9642696243024892
2024-03-22,206.6456298828125,30.12574005126953,13.0600004196167,13.896999931335449,0.9487124464516131
2024-03-25,204.88633728027344,30.267269134521484,13.1899995803833,13.869499921798706,0.8976481354965155
