Date,AMAT,UPS,VIX,AvgVIX,zscore
2024-01-30,163.11367797851562,127.704345703125,13.3100004196167,13.347500038146972,-0.7873518929334921
2024-01-31,161.21017456054688,124.92242431640625,14.350000381469727,13.405000066757202,-0.81994075587991
2024-02-01,163.8299560546875,125.37140655517578,13.880000114440918,13.397000074386597,-0.7781889075728793
2024-02-02,165.0172119140625,124.87841033935547,13.850000381469727,13.383000087738036,-0.7599062590810363
2024-02-05,167.87246704101562,122.43983459472656,13.670000076293945,13.399000072479248,-0.7170872112360734
2024-02-06,165.5274200439453,128.46145629882812,13.0600004196167,13.39800009727478,-0.7485687115210634
2024-02-07,167.68605041503906,129.62351989746094,12.829999923706055,13.40150008201599,-0.713439744264383
2024-02-08,170.6198272705078,130.22215270996094,12.789999961853027,13.406500101089478,-0.6665957997028439
2024-02-09,182.34506225585938,128.76077270507812,12.930000305175781,13.431000137329102,-0.48291257666215204
2024-02-12,182.0507049560547,129.8083953857422,13.930000305175781,13.492500162124633,-0.48659660683392014
2024-02-13,176.9190673828125,127.56349182128906,15.850000381469727,13.593000173568726,-0.5696327023788107
2024-02-14,182.68850708007812,126.96482849121094,14.380000114440918,13.57250018119812,-0.4791403328196431
2024-02-15,184.13087463378906,129.39463806152344,14.010000228881836,13.566500186920166,-0.4541511403572164
2024-02-16,195.81687927246094,132.11874389648438,14.239999771118164,13.613500165939332,-0.26724790503872287
2024-02-20,185.58302307128906,132.323486328125,15.420000076293945,13.725000190734864,-0.4285498713089392
2024-02-21,187.06712341308594,131.9940948486328,15.34000015258789,13.864500188827515,-0.40543296739683604
2024-02-22,196.30599975585938,133.29380798339844,14.539999961853027,13.934500169754028,-0.25845179970910515
2024-02-23,193.7800750732422,132.31460571289062,13.75,13.949500179290771,-0.2992089272592946
2024-02-26,200.0605010986328,131.30860900878906,13.739999771118164,13.973500156402588,-0.20102683738148866
2024-02-27,199.38233947753906,131.9940948486328,13.430000305175781,13.96500015258789,-0.21109944525956506
2024-02-28,194.15350341796875,131.5489959716797,13.84000015258789,13.99150013923645,-0.2940184882260903
2024-02-29,198.16360473632812,131.9851837158203,13.399999618530273,13.944000101089477,-0.23033919493386015
2024-03-01,206.6456298828125,131.80714416503906,13.109999656677246,13.905500078201294,-0.09665654639447285
2024-03-04,205.89866638183594,134.0772247314453,13.489999771118164,13.887500047683716,-0.1063614022534747
2024-03-05,203.83468627929688,133.2314910888672,14.460000038146973,13.927000045776367,-0.1397066445464757
2024-03-06,208.53271484375,135.80426025390625,14.5,13.999000024795532,-0.06321214936709876
2024-03-07,208.96517944335938,136.5698699951172,14.4399995803833,14.079500007629395,-0.055685636174802086
2024-03-08,202.03602600097656,137.0594940185547,14.739999771118164,14.17699999809265,-0.16457824775919952
2024-03-11,197.91786193847656,137.76275634765625,15.220000267028809,14.291499996185303,-0.2289176249151463
2024-03-12,201.42666625976562,140.1040802001953,13.84000015258789,14.286999988555909,-0.1714013208273478
2024-03-13,197.12176513671875,137.7716522216797,13.75,14.181999969482423,-0.24147183488973145
2024-03-14,197.30850219726562,136.99717712402344,14.399999618530273,14.18299994468689,-0.23923550701338303
2024-03-15,195.24449157714844,136.53424072265625,14.40999984741211,14.202999925613403,-0.2722301166520662
2024-03-18,197.28884887695312,135.0386505126953,14.329999923706055,14.207499933242797,-0.2413420604964947
2024-03-19,197.88839721679688,136.38290405273438,13.819999694824219,14.127499914169311,-0.23064822272767083
2024-03-20,201.5446014404297,137.7716522216797,13.039999961853027,14.012499904632568,-0.17167968895916771
2024-03-21,207.18621826171875,138.27020263671875,12.920000076293945,13.931499910354614,-0.08219795775100522
