Date,GOOGL,TXN,VIX,AvgVIX,zscore
2024-01-30,150.2184600830078,152.04049682617188,13.3100004196167,13.347500038146972,-0.312874364009886
2024-01-31,138.95155334472656,150.22972106933594,14.350000381469727,13.405000066757202,-0.4710375939393297
2024-02-01,140.0028839111328,149.82626342773438,13.880000114440918,13.397000074386597,-0.44375858112915134
2024-02-02,141.21286010742188,149.3665313720703,13.850000381469727,13.383000087738036,-0.4124639440986321
2024-02-05,142.50221252441406,149.08506774902344,13.670000076293945,13.399000072479248,-0.383675254533516
2024-02-06,142.9187774658203,148.58779907226562,13.0600004196167,13.39800009727478,-0.3654864838016418
2024-02-07,144.3469696044922,148.96311950683594,12.829999923706055,13.40150008201599,-0.34862650816154667
2024-02-08,144.71395874023438,150.3141632080078,12.789999961853027,13.406500101089478,-0.37173596661267183
2024-02-09,147.7786102294922,152.36886596679688,12.930000305175781,13.431000137329102,-0.3628839205570553
2024-02-12,146.32066345214844,151.1304473876953,13.930000305175781,13.492500162124633,-0.36138769606497606
2024-02-13,143.95025634765625,147.16168212890625,15.850000381469727,13.593000173568726,-0.3161873716504369
2024-02-14,144.74368286132812,148.11868286132812,14.380000114440918,13.57250018119812,-0.3231926157081863
2024-02-15,141.5996856689453,150.78326416015625,14.010000228881836,13.566500186920166,-0.4366620229923201
2024-02-16,139.3681182861328,150.47366333007812,14.239999771118164,13.613500165939332,-0.4690612814253229
2024-02-20,139.9632110595703,152.6879119873047,15.420000076293945,13.725000190734864,-0.5070476176627671
2024-02-21,141.38150024414062,153.94509887695312,15.34000015258789,13.864500188827515,-0.5096504776334345
2024-02-22,142.9088592529297,155.21170043945312,14.539999961853027,13.934500169754028,-0.5105447402495567
2024-02-23,142.7799072265625,153.57920837402344,13.75,13.949500179290771,-0.47710086842663774
2024-02-26,136.44232177734375,154.15151977539062,13.739999771118164,13.973500156402588,-0.6008638704104191
2024-02-27,137.74156188964844,154.7519989013672,13.430000305175781,13.96500015258789,-0.5911922961032394
2024-02-28,135.26206970214844,152.96932983398438,13.84000015258789,13.99150013923645,-0.595723102008039
2024-02-29,137.32504272460938,156.99436950683594,13.399999618530273,13.944000101089477,-0.647550763334265
2024-03-01,136.0158233642578,160.484619140625,13.109999656677246,13.905500078201294,-0.7468737471669916
2024-03-04,132.2568817138672,161.7887420654297,13.489999771118164,13.887500047683716,-0.8413801775629997
2024-03-05,131.58248901367188,160.09994506835938,14.460000038146973,13.927000045776367,-0.816278978087955
2024-03-06,130.32290649414062,161.25393676757812,14.5,13.999000024795532,-0.8636298602209869
2024-03-07,133.2784423828125,164.44393920898438,14.4399995803833,14.079500007629395,-0.8815254770536038
2024-03-08,134.3000030517578,161.65740966796875,14.739999771118164,14.17699999809265,-0.8026442457104698
2024-03-11,136.54148864746094,163.43063354492188,15.220000267028809,14.291499996185303,-0.8020846218552997
2024-03-12,137.3647003173828,164.00296020507812,13.84000015258789,14.286999988555909,-0.8001530905110522
2024-03-13,138.6441192626953,162.01390075683594,13.75,14.181999969482423,-0.7341886336312483
2024-03-14,141.92697143554688,160.5690460205078,14.399999618530273,14.18299994468689,-0.6449608769159879
2024-03-15,140.022705078125,161.86380004882812,14.40999984741211,14.202999925613403,-0.7067069052608114
2024-03-18,146.46945190429688,158.7582550048828,14.329999923706055,14.207499933242797,-0.5256185190554244
2024-03-19,145.8247833251953,156.45956420898438,13.819999694824219,14.127499914169311,-0.486655399234055
