Date,PEP,LRCX,VIX,AvgVIX,zscore
2024-01-30,156.6417999267578,81.88839721679688,13.3100004196167,13.347500038146972,0.7085757440969572
2024-01-31,155.63519287109375,80.8478775024414,14.350000381469727,13.405000066757202,0.6234408550866936
2024-02-01,158.56263732910156,81.53765106201172,13.880000114440918,13.397000074386597,0.8766883799026056
2024-02-02,157.8885040283203,82.17351531982422,13.850000381469727,13.383000087738036,0.8164465921945603
2024-02-05,157.84231567382812,83.40999603271484,13.670000076293945,13.399000072479248,0.8094313031298613
2024-02-06,158.30404663085938,81.77376556396484,13.0600004196167,13.39800009727478,0.8535991150079951
2024-02-07,158.3502197265625,83.13760375976562,12.829999923706055,13.40150008201599,0.8543182104349512
2024-02-08,160.5481414794922,84.68760681152344,12.789999961853027,13.406500101089478,1.0419575794792737
2024-02-09,154.84100341796875,89.31409454345703,12.930000305175781,13.431000137329102,0.5337890065658396
2024-02-12,157.55606079101562,88.96334075927734,13.930000305175781,13.492500162124633,0.7710611065333018
2024-02-13,155.9584197998047,87.45350646972656,15.850000381469727,13.593000173568726,0.6355960163185492
2024-02-14,154.7024688720703,89.71776580810547,14.380000114440918,13.57250018119812,0.52074842334181
2024-02-15,155.01644897460938,89.5296401977539,14.010000228881836,13.566500186920166,0.5485447400794274
2024-02-16,153.5942840576172,90.72987365722656,14.239999771118164,13.613500165939332,0.4217992893283001
2024-02-20,155.74600219726562,88.2226333618164,15.420000076293945,13.725000190734864,0.6152371140866995
2024-02-21,155.9122314453125,88.36860656738281,15.34000015258789,13.864500188827515,0.6293587270430229
2024-02-22,155.3765869140625,92.5257797241211,14.539999961853027,13.934500169754028,0.5726519249543877
2024-02-23,156.62332153320312,90.97187805175781,13.75,13.949500179290771,0.6849773386793497
2024-02-26,155.38583374023438,91.97711944580078,13.739999771118164,13.973500156402588,0.5747853237905911
2024-02-27,155.29348754882812,91.19036865234375,13.430000305175781,13.96500015258789,0.5686485306110534
2024-02-28,154.2499542236328,90.40066528320312,13.84000015258789,13.99150013923645,0.4796909817534774
2024-02-29,153.8544921875,91.9271469116211,13.399999618530273,13.944000101089477,0.4415594454685521
2024-03-01,153.1565704345703,96.1676025390625,13.109999656677246,13.905500078201294,0.37052018348291405
2024-03-04,153.88238525390625,95.77470397949219,13.489999771118164,13.887500047683716,0.43467414526122533
2024-03-05,150.7837371826172,94.36188507080078,14.460000038146973,13.927000045776367,0.16826882657465783
2024-03-06,151.6770477294922,96.1999282836914,14.5,13.999000024795532,0.24160738212349023
2024-03-07,151.77938842773438,97.44522857666016,14.4399995803833,14.079500007629395,0.24750442258267827
2024-03-08,151.7235565185547,93.72994232177734,14.739999771118164,14.17699999809265,0.251636649766369
2024-03-11,153.286865234375,91.23641967773438,15.220000267028809,14.291499996185303,0.3938034849257676
2024-03-12,153.1100311279297,93.3602066040039,13.84000015258789,14.286999988555909,0.3732637707175341
2024-03-13,153.81729125976562,90.99191284179688,13.75,14.181999969482423,0.440584065544095
2024-03-14,153.33338928222656,90.89078521728516,14.399999618530273,14.18299994468689,0.3986914406171932
2024-03-15,153.2217254638672,89.36003875732422,14.40999984741211,14.202999925613403,0.392673566787694
2024-03-18,159.36325073242188,90.85151672363281,14.329999923706055,14.207499933242797,0.9238575035696605
2024-03-19,159.86572265625,91.41805267333984,13.819999694824219,14.127499914169311,0.9662405078907765
2024-03-20,159.9215545654297,93.18840026855469,13.039999961853027,14.012499904632568,0.966816597871979
2024-03-21,160.4705810546875,96.47672271728516,12.920000076293945,13.931499910354614,1.0066645874180533
2024-03-22,160.07044982910156,96.01817321777344,13.0600004196167,13.896999931335449,0.9729318385540282
2024-03-25,160.6101837158203,95.38584899902344,13.1899995803833,13.869499921798706,1.0214617635753795
2024-03-26,160.7311248779297,94.97051239013672,13.239999771118164,13.859999895095825,1.0329985816947387
2024-03-27,161.5127716064453,94.81733703613281,12.779999732971191,13.80699987411499,1.1014339765770105
2024-03-28,162.85272216796875,95.39664459228516,13.010000228881836,13.787499904632568,1.21671240678487
2024-04-01,160.96376037597656,96.4001235961914,13.649999618530273,13.81449990272522,1.0497953108667633
2024-04-02,159.53073120117188,94.9803237915039,14.609999656677246,13.870499897003175,0.9284464068974964
2024-04-03,157.89297485351562,96.06432342529297,14.329999923706055,13.863999891281129,0.7832089674959275
2024-04-04,157.86509704589844,93.43877410888672,16.350000381469727,13.956499910354614,0.7871373539823783
