,Ticker1,Ticker2,PnL
0,ADI,GILD,0.0
1,AMAT,UPS,0.0
2,AMAT,XLU,0.0
3,AMD,CL,0.0
4,AMD,UPS,0.0
5,ASML,ADI,0.0
6,ASML,GILD,0.0
7,AVGO,UPS,0.0
8,BAC,ADI,0.0
9,BAC,CL,0.0
10,BAC,KLAC,0.0
11,BAC,MS,0.0
12,BAC,TXN,0.0
13,BP,CL,0.0
14,CL,XLU,0.0
15,CVX,JPM,0.0
16,CVX,LOW,0.0
17,CVX,UPS,0.0
18,FDX,ADI,0.0
19,GOOGL,TXN,0.0
20,INTC,ADI,0.0
21,INTC,GILD,1169.9
22,INTC,XLU,1131.36
23,JPM,AMD,0.0
24,JPM,CL,0.0
25,KDP,GILD,0.0
26,KDP,V,0.0
27,KLAC,ASML,4189.17
28,KLAC,CL,0.0
29,KLAC,MNST,0.0
30,KLAC,UPS,0.0
31,KLAC,XLU,0.0
32,KO,ADI,0.0
33,KO,AMAT,0.0
34,KO,AMD,-366.018
35,KO,ASML,0.0
36,KO,AVGO,0.0
37,KO,CL,197.604
38,KO,GILD,0.0
39,KO,GOOGL,0.0
40,KO,KBE,0.0
41,KO,KDP,1264.89
42,KO,KRE,0.0
43,KO,LRCX,0.0
44,KO,META,0.0
45,KO,MNST,1376.18
46,KO,NEE,0.0
47,KO,PEP,0.0
48,KO,PG,2258.98
49,KO,QCOM,0.0
50,KO,TXN,-661.202
51,KO,UPS,233.542
52,KO,XLU,-8967.08
53,KO,XOM,0.0
54,KRE,ADI,0.0
55,KRE,AMAT,0.0
56,KRE,AMD,0.0
57,KRE,AVGO,0.0
58,KRE,GILD,0.0
59,KRE,HD,5227.79
60,KRE,UPS,0.0
61,KRE,XLU,0.0
62,LRCX,XOM,0.0
63,MNST,ADI,0.0
64,MS,GOOGL,0.0
65,MS,XLU,0.0
66,NEE,FDX,88.5516
67,NEE,TXN,-288.999
68,PEP,AMAT,0.0
69,PEP,AMD,-165.269
70,PEP,ASML,0.0
71,PEP,AVGO,-179.291
72,PEP,CL,0.0
73,PEP,CVX,0.0
74,PEP,FDX,0.0
75,PEP,GILD,0.0
76,PEP,GOOGL,0.0
77,PEP,HD,0.0
78,PEP,INTC,0.0
79,PEP,KBE,0.0
80,PEP,KDP,0.0
81,PEP,KLAC,0.0
82,PEP,KRE,0.0
83,PEP,LOW,0.0
84,PEP,LRCX,0.0
85,PEP,META,0.0
86,PEP,MNST,0.0
87,PEP,MS,0.0
88,PEP,NEE,0.0
89,PEP,PG,0.0
90,PEP,QCOM,0.0
91,PEP,UPS,0.0
92,PEP,V,0.0
93,PEP,XLF,0.0
94,PEP,XOM,-455.946
95,PG,CL,1614.39
96,QCOM,GILD,0.0
97,UPS,GILD,640.436
98,XLU,GILD,0.0
99,XLU,UPS,-1309.31
100,XOM,ADI,0.0
101,XOM,CVX,0.0
102,XOM,FDX,0.0
103,XOM,GILD,2027.91
104,XOM,LOW,1853.31
105,XOM,TXN,0.0
106,XOM,UPS,1410.88
