EntryDate,ExitDate,Side,EntryPrice,ExitPrice,PnL,TotalValue
2017-06-13,2017-10-20,SHORT,35.0602,36.636,-449.454,99550.5
2018-01-10,2018-03-09,SHORT,39.7726,41.7278,-489.394,99061.2
2018-12-06,2018-12-11,LONG,33.8967,32.4403,-425.636,98635.5
2018-12-12,2018-12-14,LONG,32.8146,31.4883,-398.651,98236.9
2018-12-17,2018-12-20,LONG,31.2198,29.9017,-414.761,97822.1
